;index_2Ln,MPR_ 0%,MPR_ 5%,MPR_ 10%,MPR_ 15%,MPR_ 20%,MPR_ 25%,MPR_ 30%,MPR_ 35%,MPR_ 40%,MPR_ 45%,MPR_ 50%,MPR_ 55%,MPR_ 60%,MPR_ 65%,MPR_ 70%,MPR_ 75%,MPR_ 80%,MPR_ 85%,MPR_ 90%,MPR_ 95%,MPR_ 100%
1500,1,1.055,1.11,1.165,1.22,1.273,1.325,1.378,1.43,1.485,1.54,1.595,1.65,1.713,1.775,1.838,1.9,1.975,2.05,2.125,2.2
1800,1,1.035,1.07,1.105,1.14,1.173,1.205,1.238,1.27,1.31,1.35,1.39,1.43,1.473,1.515,1.558,1.6,1.653,1.705,1.758,1.81
2100,1,1.018,1.035,1.053,1.07,1.09,1.11,1.13,1.15,1.175,1.2,1.225,1.25,1.28,1.31,1.34,1.37,1.408,1.445,1.483,1.52
2400,1,1.005,1.01,1.015,1.02,1.033,1.045,1.058,1.07,1.085,1.1,1.115,1.13,1.153,1.175,1.198,1.22,1.25,1.28,1.31,1.34
