;ExtTAZID,P_IX_Total,P_IX_Per,P_IX_Trk,P_IX_HBW,P_IX_HBO,P_IX_NHB,P_IX_HBS,P_IX_HBC,P_IX_Rec,P_IX_LT,P_IX_MD,P_IX_HV,P_IX_LH_MD,P_IX_LH_HV,A_IX_Total,A_IX_Per,A_IX_Trk,A_IX_HBW,A_IX_HBO,A_IX_NHB,A_IX_HBS,A_IX_HBC,A_IX_Rec,A_IX_LT,A_IX_MD,A_IX_HV,A_IX_LH_MD,A_IX_LH_HV,P_XI_Total,P_XI_Per,P_XI_Trk,P_XI_HBW,P_XI_HBO,P_XI_NHB,P_XI_HBS,P_XI_HBC,P_XI_Rec,P_XI_LT,P_XI_MD,P_XI_HV,P_XI_LH_MD,P_XI_LH_HV,A_XI_Total,A_XI_Per,A_XI_Trk,A_XI_HBW,A_XI_HBO,A_XI_NHB,A_XI_HBS,A_XI_HBC,A_XI_Rec,A_XI_LT,A_XI_MD,A_XI_HV,A_XI_LH_MD,A_XI_LH_HV,P_XX_Total,P_XX_Per,P_XX_Trk,P_XX_HBW,P_XX_HBO,P_XX_NHB,P_XX_HBS,P_XX_HBC,P_XX_Rec,P_XX_LT,P_XX_MD,P_XX_HV,P_XX_LH_MD,P_XX_LH_HV,A_XX_Total,A_XX_Per,A_XX_Trk,A_XX_HBW,A_XX_HBO,A_XX_NHB,A_XX_HBS,A_XX_HBC,A_XX_Rec,A_XX_LT,A_XX_MD,A_XX_HV,A_XX_LH_MD,A_XX_LH_HV
   3601.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      4.00,         0,      4.00,         0,         0,         0,         0,         0,         0,      2.00,      1.00,      1.00,         0,         0,     32.00,     23.00,      9.00,      9.00,     13.00,      1.00,         0,         0,         0,      7.00,      1.00,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      5.00,      4.00,      1.00,      2.00,      2.00,         0,         0,         0,         0,      1.00,         0,         0,         0,         0,      2.00,         0,      2.00,         0,         0,         0,         0,         0,         0,      1.00,         0,      1.00,         0,         0
   3602.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   4439.00,   2149.00,   2290.00,    754.00,    619.00,    776.00,         0,         0,         0,    904.00,    785.00,    520.00,         0,     81.00,   6948.00,   3328.00,   3620.00,   1008.00,   1606.00,    663.00,     51.00,         0,         0,   1601.00,   1170.00,    771.00,         0,     78.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    519.00,    206.00,    313.00,     77.00,     53.00,     67.00,      1.00,         0,      8.00,     93.00,    106.00,     67.00,         0,     47.00,    621.00,    302.00,    319.00,    142.00,     79.00,     81.00,         0,         0,         0,     80.00,    130.00,     84.00,         0,     25.00
   3603.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    102.00,     61.00,     41.00,      8.00,     27.00,     23.00,      3.00,         0,         0,     20.00,     10.00,     11.00,         0,         0,    169.00,     99.00,     70.00,     44.00,     36.00,     19.00,         0,         0,         0,     26.00,     23.00,     21.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     13.00,      7.00,      6.00,      4.00,      2.00,      1.00,         0,         0,         0,      4.00,      2.00,         0,         0,         0,      6.00,      4.00,      2.00,         0,      2.00,      2.00,         0,         0,         0,      1.00,      1.00,         0,         0,         0
   3604.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  21508.00,  10199.00,  11309.00,   2789.00,   3779.00,   2053.00,      6.00,         0,   1572.00,   1238.00,   2666.00,   1052.00,         0,   6353.00,  28274.00,  13593.00,  14681.00,   6494.00,   4935.00,   2146.00,     15.00,         0,      3.00,   2891.00,   4087.00,   1895.00,         0,   5808.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  11877.00,   6308.00,   5569.00,    859.00,   1679.00,     78.00,         0,         0,   3692.00,     69.00,    714.00,     62.00,         0,   4724.00,  11231.00,   4757.00,   6474.00,    873.00,   1724.00,    112.00,      1.00,         0,   2047.00,     36.00,    655.00,     22.00,         0,   5761.00
   3605.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    486.00,    319.00,    167.00,     53.00,    181.00,     83.00,      1.00,         0,      1.00,    102.00,     42.00,     23.00,         0,         0,   1072.00,    857.00,    215.00,    302.00,    450.00,     92.00,     13.00,         0,         0,    133.00,     51.00,     31.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     43.00,     18.00,     25.00,     11.00,      2.00,      5.00,         0,         0,         0,     14.00,      4.00,      7.00,         0,         0,     38.00,     25.00,     13.00,      6.00,     13.00,      6.00,         0,         0,         0,      1.00,      7.00,      5.00,         0,         0
   3606.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  16956.00,  10874.00,   6082.00,   3834.00,   3590.00,   1491.00,      4.00,         0,   1955.00,   1454.00,   2995.00,   1274.00,         0,    359.00,  31217.00,  18721.00,  12496.00,   7677.00,   6609.00,   4405.00,      8.00,         0,     22.00,   1874.00,   6897.00,   3386.00,         0,    339.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   4863.00,   4032.00,    831.00,    434.00,   1010.00,    213.00,         0,         0,   2375.00,     50.00,    304.00,    115.00,         0,    362.00,   2558.00,   1790.00,    768.00,    319.00,    895.00,     88.00,         0,         0,    488.00,     77.00,    225.00,     79.00,         0,    387.00
   3607.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   2589.00,   1330.00,   1259.00,    289.00,    802.00,    209.00,     25.00,         0,      5.00,    691.00,    360.00,    208.00,         0,         0,   6908.00,   5586.00,   1322.00,   1612.00,   3383.00,    511.00,     79.00,         0,      1.00,    707.00,    380.00,    235.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    116.00,     74.00,     42.00,     22.00,     26.00,     20.00,         0,         0,      6.00,      9.00,     20.00,     10.00,         0,      3.00,    103.00,     27.00,     76.00,      9.00,     14.00,      4.00,         0,         0,         0,     27.00,     31.00,     16.00,         0,      2.00
   3608.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   3864.00,   1697.00,   2167.00,    433.00,    755.00,    418.00,      7.00,         0,     84.00,   1167.00,    645.00,    352.00,         0,      3.00,  12565.00,   9908.00,   2657.00,   3671.00,   5273.00,    893.00,     71.00,         0,         0,   1414.00,    809.00,    431.00,         0,      3.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     88.00,     61.00,     27.00,     18.00,     23.00,     14.00,         0,         0,      6.00,      6.00,     16.00,      4.00,         0,      1.00,     48.00,     19.00,     29.00,      3.00,     10.00,      2.00,         0,         0,      4.00,      4.00,     16.00,      9.00,         0,         0
   3609.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  16292.00,   7713.00,   8579.00,   3019.00,   2603.00,   1558.00,     30.00,         0,    503.00,   3336.00,   3205.00,   1889.00,         0,    149.00,  46003.00,  34909.00,  11094.00,  13675.00,  17273.00,   3859.00,     99.00,         0,      3.00,   4779.00,   3828.00,   2258.00,         0,    229.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   5312.00,   1109.00,   4203.00,    278.00,    495.00,     35.00,         0,         0,    301.00,      5.00,    298.00,     46.00,         0,   3854.00,   5910.00,   3513.00,   2397.00,    291.00,    461.00,     55.00,         0,         0,   2706.00,     23.00,    330.00,     81.00,         0,   1963.00
   3610.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    443.00,    312.00,    131.00,    158.00,     77.00,     77.00,         0,         0,         0,     19.00,     67.00,     45.00,         0,         0,    200.00,     99.00,    101.00,     50.00,     24.00,     25.00,         0,         0,         0,     37.00,     42.00,     22.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
