;ExtTAZID,P_IX_Total,P_IX_Per,P_IX_Trk,P_IX_HBW,P_IX_HBO,P_IX_NHB,P_IX_HBS,P_IX_HBC,P_IX_Rec,P_IX_LT,P_IX_MD,P_IX_HV,P_IX_LH_MD,P_IX_LH_HV,A_IX_Total,A_IX_Per,A_IX_Trk,A_IX_HBW,A_IX_HBO,A_IX_NHB,A_IX_HBS,A_IX_HBC,A_IX_Rec,A_IX_LT,A_IX_MD,A_IX_HV,A_IX_LH_MD,A_IX_LH_HV,P_XI_Total,P_XI_Per,P_XI_Trk,P_XI_HBW,P_XI_HBO,P_XI_NHB,P_XI_HBS,P_XI_HBC,P_XI_Rec,P_XI_LT,P_XI_MD,P_XI_HV,P_XI_LH_MD,P_XI_LH_HV,A_XI_Total,A_XI_Per,A_XI_Trk,A_XI_HBW,A_XI_HBO,A_XI_NHB,A_XI_HBS,A_XI_HBC,A_XI_Rec,A_XI_LT,A_XI_MD,A_XI_HV,A_XI_LH_MD,A_XI_LH_HV,P_XX_Total,P_XX_Per,P_XX_Trk,P_XX_HBW,P_XX_HBO,P_XX_NHB,P_XX_HBS,P_XX_HBC,P_XX_Rec,P_XX_LT,P_XX_MD,P_XX_HV,P_XX_LH_MD,P_XX_LH_HV,A_XX_Total,A_XX_Per,A_XX_Trk,A_XX_HBW,A_XX_HBO,A_XX_NHB,A_XX_HBS,A_XX_HBC,A_XX_Rec,A_XX_LT,A_XX_MD,A_XX_HV,A_XX_LH_MD,A_XX_LH_HV
   3601.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      5.00,         0,      5.00,         0,         0,         0,         0,         0,         0,      2.00,      2.00,      1.00,         0,         0,     42.00,     35.00,      7.00,     11.00,     22.00,      2.00,         0,         0,         0,      4.00,      2.00,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      9.00,      8.00,      1.00,      4.00,      2.00,      2.00,         0,         0,         0,      1.00,         0,         0,         0,         0,      2.00,         0,      2.00,         0,         0,         0,         0,         0,         0,      1.00,         0,      1.00,         0,         0
   3602.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   3405.00,   1431.00,   1974.00,    566.00,    392.00,    473.00,         0,         0,         0,    779.00,    673.00,    450.00,         0,     72.00,   5582.00,   2464.00,   3118.00,    694.00,   1270.00,    453.00,     47.00,         0,         0,   1362.00,    990.00,    698.00,         0,     68.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    504.00,    187.00,    317.00,     54.00,     73.00,     53.00,      2.00,         0,      5.00,     93.00,    108.00,     75.00,         0,     41.00,    615.00,    259.00,    356.00,    133.00,     58.00,     68.00,         0,         0,         0,     69.00,    148.00,    110.00,         0,     29.00
   3603.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     88.00,     48.00,     40.00,      8.00,     23.00,     16.00,      1.00,         0,         0,     23.00,     10.00,      7.00,         0,         0,    161.00,     95.00,     66.00,     53.00,     26.00,     16.00,         0,         0,         0,     37.00,     15.00,     14.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     16.00,      6.00,     10.00,      3.00,      2.00,      1.00,         0,         0,         0,      7.00,      2.00,      1.00,         0,         0,     10.00,      6.00,      4.00,      1.00,      4.00,      1.00,         0,         0,         0,      4.00,         0,         0,         0,         0
   3604.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  16717.00,   7749.00,   8968.00,   1941.00,   3009.00,   1499.00,      4.00,         0,   1296.00,    974.00,   2094.00,    799.00,         0,   5101.00,  21881.00,  10245.00,  11636.00,   4763.00,   3774.00,   1688.00,     19.00,         0,      1.00,   2211.00,   3111.00,   1402.00,         0,   4912.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   7111.00,   3277.00,   3834.00,    455.00,    861.00,     60.00,         0,         0,   1901.00,     61.00,    465.00,     41.00,         0,   3267.00,   6294.00,   1785.00,   4509.00,    411.00,    631.00,     95.00,      2.00,         0,    646.00,     26.00,    407.00,     27.00,         0,   4049.00
   3605.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    318.00,    221.00,     97.00,     36.00,    133.00,     51.00,         0,         0,      1.00,     64.00,     27.00,      6.00,         0,         0,    840.00,    713.00,    127.00,    246.00,    393.00,     62.00,     12.00,         0,         0,     85.00,     25.00,     17.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     27.00,     17.00,     10.00,      5.00,      7.00,      5.00,         0,         0,         0,      3.00,      6.00,      1.00,         0,         0,     41.00,     29.00,     12.00,      9.00,     11.00,      9.00,         0,         0,         0,      4.00,      3.00,      5.00,         0,         0
   3606.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  12958.00,   8110.00,   4848.00,   2769.00,   2715.00,   1253.00,      5.00,         0,   1368.00,   1220.00,   2357.00,   1014.00,         0,    257.00,  24690.00,  14647.00,  10043.00,   5902.00,   5163.00,   3555.00,      8.00,         0,     19.00,   1670.00,   5461.00,   2658.00,         0,    254.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   3235.00,   2572.00,    663.00,    283.00,    508.00,    191.00,         0,         0,   1590.00,     49.00,    219.00,    138.00,         0,    257.00,   1214.00,    650.00,    564.00,    105.00,    357.00,     83.00,         0,         0,    105.00,     76.00,    121.00,     61.00,         0,    306.00
   3607.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   1917.00,    930.00,    987.00,    163.00,    605.00,    147.00,     11.00,         0,      4.00,    533.00,    279.00,    175.00,         0,         0,   5133.00,   4108.00,   1025.00,   1250.00,   2392.00,    389.00,     76.00,         0,      1.00,    530.00,    300.00,    195.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    107.00,     69.00,     38.00,     23.00,     18.00,     21.00,         0,         0,      7.00,      8.00,     17.00,     13.00,         0,         0,    100.00,     29.00,     71.00,      8.00,     17.00,      4.00,         0,         0,         0,     21.00,     31.00,     19.00,         0,         0
   3608.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   2869.00,   1212.00,   1657.00,    264.00,    568.00,    314.00,      7.00,         0,     59.00,    947.00,    459.00,    249.00,         0,      2.00,   9835.00,   7793.00,   2042.00,   2794.00,   4302.00,    631.00,     66.00,         0,         0,   1106.00,    616.00,    317.00,         0,      3.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     44.00,     30.00,     14.00,      6.00,     12.00,      9.00,         0,         0,      3.00,      3.00,      8.00,      2.00,         0,      1.00,     51.00,     19.00,     32.00,      2.00,     16.00,         0,         0,         0,      1.00,     12.00,      9.00,      7.00,         0,      4.00
   3609.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  11962.00,   5476.00,   6486.00,   1961.00,   1984.00,   1109.00,     17.00,         0,    405.00,   2526.00,   2444.00,   1361.00,         0,    155.00,  29578.00,  22153.00,   7425.00,   8382.00,  11248.00,   2467.00,     53.00,         0,      3.00,   3359.00,   2493.00,   1424.00,         0,    149.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   3042.00,    744.00,   2298.00,    177.00,    324.00,     24.00,         0,         0,    219.00,      9.00,    193.00,     25.00,         0,   2071.00,   5761.00,   3562.00,   2199.00,    298.00,    583.00,     67.00,         0,         0,   2614.00,     21.00,    295.00,     68.00,         0,   1815.00
   3610.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   1241.00,    903.00,    338.00,    431.00,    219.00,    253.00,         0,         0,         0,     50.00,    175.00,    112.00,         0,      1.00,    262.00,    144.00,    118.00,     67.00,     46.00,     30.00,      1.00,         0,         0,     41.00,     43.00,     34.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
