;ExtTAZID,P_IX_Total,P_IX_Per,P_IX_Trk,P_IX_HBW,P_IX_HBO,P_IX_NHB,P_IX_HBS,P_IX_HBC,P_IX_Rec,P_IX_LT,P_IX_MD,P_IX_HV,P_IX_LH_MD,P_IX_LH_HV,A_IX_Total,A_IX_Per,A_IX_Trk,A_IX_HBW,A_IX_HBO,A_IX_NHB,A_IX_HBS,A_IX_HBC,A_IX_Rec,A_IX_LT,A_IX_MD,A_IX_HV,A_IX_LH_MD,A_IX_LH_HV,P_XI_Total,P_XI_Per,P_XI_Trk,P_XI_HBW,P_XI_HBO,P_XI_NHB,P_XI_HBS,P_XI_HBC,P_XI_Rec,P_XI_LT,P_XI_MD,P_XI_HV,P_XI_LH_MD,P_XI_LH_HV,A_XI_Total,A_XI_Per,A_XI_Trk,A_XI_HBW,A_XI_HBO,A_XI_NHB,A_XI_HBS,A_XI_HBC,A_XI_Rec,A_XI_LT,A_XI_MD,A_XI_HV,A_XI_LH_MD,A_XI_LH_HV,P_XX_Total,P_XX_Per,P_XX_Trk,P_XX_HBW,P_XX_HBO,P_XX_NHB,P_XX_HBS,P_XX_HBC,P_XX_Rec,P_XX_LT,P_XX_MD,P_XX_HV,P_XX_LH_MD,P_XX_LH_HV,A_XX_Total,A_XX_Per,A_XX_Trk,A_XX_HBW,A_XX_HBO,A_XX_NHB,A_XX_HBS,A_XX_HBC,A_XX_Rec,A_XX_LT,A_XX_MD,A_XX_HV,A_XX_LH_MD,A_XX_LH_HV
   3601.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      8.00,         0,      8.00,         0,         0,         0,         0,         0,         0,      5.00,      1.00,      2.00,         0,         0,     34.00,     24.00,     10.00,      8.00,     15.00,      1.00,         0,         0,         0,      7.00,      1.00,      2.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      4.00,      3.00,      1.00,      1.00,      1.00,      1.00,         0,         0,         0,      1.00,         0,         0,         0,         0,      1.00,         0,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,      1.00,         0,         0
   3602.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   4227.00,   1986.00,   2241.00,    709.00,    563.00,    714.00,         0,         0,         0,    874.00,    770.00,    518.00,         0,     79.00,   6738.00,   3221.00,   3517.00,    961.00,   1596.00,    613.00,     51.00,         0,         0,   1562.00,   1138.00,    752.00,         0,     65.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    577.00,    240.00,    337.00,     89.00,     68.00,     79.00,      1.00,         0,      3.00,    100.00,    114.00,     78.00,         0,     45.00,    667.00,    293.00,    374.00,    141.00,     67.00,     85.00,         0,         0,         0,     93.00,    149.00,     98.00,         0,     34.00
   3603.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    108.00,     60.00,     48.00,      5.00,     29.00,     25.00,      1.00,         0,         0,     24.00,     16.00,      8.00,         0,         0,    171.00,    114.00,     57.00,     55.00,     36.00,     22.00,      1.00,         0,         0,     25.00,     17.00,     15.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     18.00,      9.00,      9.00,      4.00,      3.00,      2.00,         0,         0,         0,      7.00,      1.00,      1.00,         0,         0,      9.00,      4.00,      5.00,      2.00,      1.00,      1.00,         0,         0,         0,      4.00,         0,      1.00,         0,         0
   3604.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  19987.00,   9293.00,  10694.00,   2516.00,   3466.00,   1840.00,      8.00,         0,   1463.00,   1130.00,   2418.00,    926.00,         0,   6220.00,  26335.00,  12171.00,  14164.00,   5786.00,   4486.00,   1880.00,     19.00,         0,         0,   2607.00,   3710.00,   1760.00,         0,   6087.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  10789.00,   5740.00,   5049.00,    777.00,   1547.00,     66.00,         0,         0,   3350.00,     63.00,    652.00,     54.00,         0,   4280.00,  10274.00,   4364.00,   5910.00,    787.00,   1576.00,    132.00,      1.00,         0,   1868.00,     37.00,    603.00,     30.00,         0,   5240.00
   3605.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    399.00,    260.00,    139.00,     40.00,    160.00,     58.00,      1.00,         0,      1.00,     86.00,     33.00,     19.00,         0,      1.00,    970.00,    793.00,    177.00,    268.00,    427.00,     82.00,     16.00,         0,         0,    116.00,     43.00,     18.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     33.00,     15.00,     18.00,      5.00,      6.00,      4.00,         0,         0,         0,      7.00,      8.00,      3.00,         0,         0,     38.00,     20.00,     18.00,      4.00,     10.00,      6.00,         0,         0,         0,      6.00,      6.00,      6.00,         0,         0
   3606.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  15814.00,  10078.00,   5736.00,   3571.00,   3309.00,   1397.00,      3.00,         0,   1798.00,   1396.00,   2795.00,   1199.00,         0,    346.00,  28846.00,  17231.00,  11615.00,   7056.00,   6039.00,   4112.00,      5.00,         0,     19.00,   1784.00,   6380.00,   3120.00,         0,    331.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   4522.00,   3684.00,    838.00,    406.00,    893.00,    209.00,         0,         0,   2176.00,     58.00,    318.00,    135.00,         0,    327.00,   2417.00,   1666.00,    751.00,    287.00,    849.00,     83.00,         0,         0,    447.00,     73.00,    227.00,     77.00,         0,    374.00
   3607.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   2386.00,   1244.00,   1142.00,    266.00,    768.00,    167.00,     37.00,         0,      6.00,    637.00,    324.00,    180.00,         0,      1.00,   5920.00,   4786.00,   1134.00,   1391.00,   2902.00,    420.00,     72.00,         0,      1.00,    615.00,    322.00,    197.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    115.00,     75.00,     40.00,     19.00,     23.00,     29.00,         0,         0,      4.00,     11.00,     18.00,     10.00,         0,      1.00,    115.00,     39.00,     76.00,     14.00,     21.00,      4.00,         0,         0,         0,     22.00,     32.00,     21.00,         0,      1.00
   3608.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   3426.00,   1496.00,   1930.00,    373.00,    689.00,    363.00,     12.00,         0,     59.00,   1061.00,    568.00,    299.00,         0,      2.00,  11660.00,   9225.00,   2435.00,   3370.00,   4980.00,    794.00,     81.00,         0,         0,   1301.00,    727.00,    403.00,         0,      4.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     74.00,     49.00,     25.00,     13.00,     18.00,     13.00,         0,         0,      5.00,      3.00,     13.00,      9.00,         0,         0,     62.00,     23.00,     39.00,      3.00,     14.00,      4.00,         0,         0,      2.00,      7.00,     19.00,     11.00,         0,      2.00
   3609.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  14728.00,   6854.00,   7874.00,   2555.00,   2307.00,   1479.00,     23.00,         0,    490.00,   3057.00,   2913.00,   1733.00,         0,    171.00,  39627.00,  29872.00,   9755.00,  11816.00,  14678.00,   3294.00,     82.00,         0,      2.00,   4304.00,   3311.00,   1948.00,         0,    192.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   3851.00,    883.00,   2968.00,    207.00,    391.00,     31.00,         0,         0,    254.00,      6.00,    212.00,     35.00,         0,   2715.00,   6055.00,   3663.00,   2392.00,    304.00,    503.00,     61.00,         0,         0,   2795.00,     14.00,    333.00,     79.00,         0,   1966.00
   3610.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    143.00,     97.00,     46.00,     53.00,     19.00,     24.00,      1.00,         0,         0,      7.00,     19.00,     20.00,         0,         0,    132.00,     61.00,     71.00,     27.00,     19.00,     15.00,         0,         0,         0,     29.00,     24.00,     18.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
