;index,ENSIGN,WESTMIN,UOFU_MAIN,UOFU_MED,WSU_MAIN,WSU_DAVIS,WSU_WEST,SLCC_MAIN,SLCC_SC,SLCC_JD,SLCC_MEAD,SLCC_ML,SLCC_LB,SLCC_HL,SLCC_AIRP,SLCC_WEST,SLCC_HM,BYU,UVU_MAIN,UVU_GENEVA,UVU_LEHI,UVU_VINE,UVU_PAYSON,Var_Name
1,0.101,0.012,0.026,0,0.215,0.309,0,0.341,0.341,0.341,0,0.341,0,0,0,0,0,0.026,0.27,0,0.27,0.27,0.27,Pct_Remove
2,1.179,1.098,1.025,1,1.038,1.038,1,1.208,1.208,1.208,1,1.208,1,1,1,1,1,1.025,1.097,1,1.097,1.097,1.097,FTERate
3,0.93,0.93,0.93,0,0.83,0.677,0,0.622,0.642,0.569,0,0.616,0,0,0,0,0,0.93,0.945,0,0.945,0.945,0.945,HBCRates
