;ExtTAZID,P_IX_Total,P_IX_Per,P_IX_Trk,P_IX_HBW,P_IX_HBO,P_IX_NHB,P_IX_HBS,P_IX_HBC,P_IX_Rec,P_IX_LT,P_IX_MD,P_IX_HV,P_IX_LH_MD,P_IX_LH_HV,A_IX_Total,A_IX_Per,A_IX_Trk,A_IX_HBW,A_IX_HBO,A_IX_NHB,A_IX_HBS,A_IX_HBC,A_IX_Rec,A_IX_LT,A_IX_MD,A_IX_HV,A_IX_LH_MD,A_IX_LH_HV,P_XI_Total,P_XI_Per,P_XI_Trk,P_XI_HBW,P_XI_HBO,P_XI_NHB,P_XI_HBS,P_XI_HBC,P_XI_Rec,P_XI_LT,P_XI_MD,P_XI_HV,P_XI_LH_MD,P_XI_LH_HV,A_XI_Total,A_XI_Per,A_XI_Trk,A_XI_HBW,A_XI_HBO,A_XI_NHB,A_XI_HBS,A_XI_HBC,A_XI_Rec,A_XI_LT,A_XI_MD,A_XI_HV,A_XI_LH_MD,A_XI_LH_HV,P_XX_Total,P_XX_Per,P_XX_Trk,P_XX_HBW,P_XX_HBO,P_XX_NHB,P_XX_HBS,P_XX_HBC,P_XX_Rec,P_XX_LT,P_XX_MD,P_XX_HV,P_XX_LH_MD,P_XX_LH_HV,A_XX_Total,A_XX_Per,A_XX_Trk,A_XX_HBW,A_XX_HBO,A_XX_NHB,A_XX_HBS,A_XX_HBC,A_XX_Rec,A_XX_LT,A_XX_MD,A_XX_HV,A_XX_LH_MD,A_XX_LH_HV
   3601.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     11.00,         0,     11.00,         0,         0,         0,         0,         0,         0,      6.00,      3.00,      2.00,         0,         0,     59.00,     46.00,     13.00,     16.00,     25.00,      4.00,      1.00,         0,         0,      9.00,      1.00,      3.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      3.00,      1.00,      2.00,         0,      1.00,         0,         0,         0,         0,      1.00,      1.00,         0,         0,         0,      5.00,         0,      5.00,         0,         0,         0,         0,         0,         0,      3.00,      1.00,      1.00,         0,         0
   3602.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   2944.00,   1131.00,   1813.00,    479.00,    304.00,    347.00,      1.00,         0,         0,    673.00,    628.00,    437.00,         0,     75.00,   5205.00,   2398.00,   2807.00,    645.00,   1320.00,    390.00,     43.00,         0,         0,   1175.00,    919.00,    640.00,         0,     73.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    472.00,    168.00,    304.00,     42.00,     62.00,     58.00,         0,         0,      6.00,     74.00,    105.00,     68.00,         0,     57.00,    638.00,    239.00,    399.00,    129.00,     45.00,     65.00,         0,         0,         0,     90.00,    154.00,    112.00,         0,     43.00
   3603.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     63.00,     31.00,     32.00,      2.00,     18.00,     11.00,         0,         0,         0,     13.00,      9.00,      9.00,         0,      1.00,    102.00,     57.00,     45.00,     26.00,     21.00,     10.00,         0,         0,         0,     23.00,     10.00,     11.00,         0,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     14.00,      7.00,      7.00,      3.00,         0,      4.00,         0,         0,         0,      6.00,      1.00,         0,         0,         0,      8.00,      1.00,      7.00,         0,      1.00,         0,         0,         0,         0,      5.00,      1.00,      1.00,         0,         0
   3604.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  14133.00,   6590.00,   7543.00,   1727.00,   2643.00,   1144.00,      4.00,         0,   1072.00,    805.00,   1841.00,    647.00,         0,   4250.00,  18839.00,   8852.00,   9987.00,   3928.00,   3381.00,   1526.00,     16.00,         0,      1.00,   1904.00,   2718.00,   1232.00,         0,   4133.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   7572.00,   4061.00,   3511.00,    544.00,   1078.00,     58.00,         0,         0,   2381.00,     50.00,    455.00,     42.00,         0,   2964.00,   7085.00,   3143.00,   3942.00,    574.00,   1147.00,    100.00,         0,         0,   1322.00,     12.00,    436.00,     26.00,         0,   3468.00
   3605.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    314.00,    221.00,     93.00,     30.00,    138.00,     52.00,         0,         0,      1.00,     57.00,     23.00,     13.00,         0,         0,    769.00,    645.00,    124.00,    206.00,    370.00,     60.00,      9.00,         0,         0,     77.00,     32.00,     15.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     35.00,     21.00,     14.00,      9.00,      4.00,      8.00,         0,         0,         0,      8.00,      5.00,      1.00,         0,         0,     32.00,     21.00,     11.00,      2.00,     11.00,      8.00,         0,         0,         0,      5.00,      4.00,      2.00,         0,         0
   3606.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  11173.00,   7010.00,   4163.00,   2416.00,   2302.00,   1034.00,      5.00,         0,   1253.00,   1002.00,   2070.00,    857.00,         0,    234.00,  20684.00,  12117.00,   8567.00,   4662.00,   4372.00,   3060.00,      8.00,         0,     15.00,   1462.00,   4664.00,   2205.00,         0,    236.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   3405.00,   2690.00,    715.00,    330.00,    650.00,    161.00,         0,         0,   1549.00,     67.00,    275.00,    131.00,         0,    242.00,   1766.00,   1178.00,    588.00,    209.00,    591.00,     77.00,         0,         0,    301.00,     61.00,    179.00,     53.00,         0,    295.00
   3607.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   1548.00,    772.00,    776.00,    132.00,    486.00,    121.00,     31.00,         0,      2.00,    423.00,    223.00,    129.00,         0,      1.00,   4090.00,   3312.00,    778.00,    969.00,   1967.00,    317.00,     59.00,         0,         0,    411.00,    222.00,    145.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     82.00,     55.00,     27.00,     16.00,     22.00,     16.00,         0,         0,      1.00,      6.00,     14.00,      6.00,         0,      1.00,     63.00,     18.00,     45.00,      4.00,      7.00,      7.00,         0,         0,         0,     16.00,     19.00,      8.00,         0,      2.00
   3608.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   2853.00,   1240.00,   1613.00,    266.00,    554.00,    338.00,     20.00,         0,     62.00,    868.00,    475.00,    265.00,         0,      5.00,   9057.00,   7144.00,   1913.00,   2588.00,   3923.00,    562.00,     71.00,         0,         0,   1003.00,    600.00,    309.00,         0,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     53.00,     40.00,     13.00,     13.00,     17.00,      7.00,         0,         0,      3.00,         0,      6.00,      5.00,         0,      2.00,     39.00,     14.00,     25.00,      2.00,      9.00,      1.00,         0,         0,      2.00,      7.00,      8.00,      9.00,         0,      1.00
   3609.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  10098.00,   4585.00,   5513.00,   1610.00,   1705.00,    854.00,     13.00,         0,    403.00,   2082.00,   2081.00,   1186.00,         0,    164.00,  24523.00,  18413.00,   6110.00,   6740.00,   9574.00,   2054.00,     42.00,         0,      3.00,   2749.00,   2034.00,   1188.00,         0,    139.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   2680.00,    727.00,   1953.00,    163.00,    318.00,     23.00,         0,         0,    223.00,      4.00,    167.00,     19.00,         0,   1763.00,   5297.00,   3243.00,   2054.00,    275.00,    534.00,     50.00,         0,         0,   2384.00,     17.00,    286.00,     59.00,         0,   1692.00
   3610.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    688.00,    516.00,    172.00,    229.00,    160.00,    127.00,         0,         0,         0,     30.00,     83.00,     59.00,         0,         0,    334.00,    179.00,    155.00,     86.00,     51.00,     42.00,         0,         0,         0,     54.00,     64.00,     37.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
