TAZID,AreaTAZ,WalkBuff,AreaPrem,WalkPrem
638,1513119.170000388,1,291279.9632852635,19.0
639,1053656.0676748303,1,344425.06605698884,33.0
640,531797.3783874776,1,261585.26047062827,49.0
641,2000849.5527559645,1,355961.38863312785,18.0
642,1018087.7749998649,1,46528.04923462304,5.0
657,1898459.0091774205,1,121152.78506655835,6.0
658,343039.691319041,1,159710.57718482596,47.0
659,335904.1450356338,1,63194.52717363842,19.0
660,868096.8036985812,1,3814.675028126677,0.0
663,2368115.9808769356,1,552800.1316929208,23.0
664,592350.372016415,1,387947.17595292977,65.0
666,1257189.2684876553,1,11159.854474491012,1.0
698,2479068.6706659524,1,406807.14906939,16.0
699,2023226.5478572666,1,580506.0305194637,29.0
704,1050859.2599999558,1,327904.18669965095,31.0
705,1946938.5566220272,1,650341.2031821952,33.0
707,2249088.340410382,1,312466.54809180833,14.0
710,645256.2150001002,1,573.8675291301781,0.0
711,360579.03499964305,1,320315.83259545726,89.0
720,1120841.9554461641,1,115127.34425401248,10.0
721,876654.9896286188,1,644.6376742259918,0.0
722,843064.7174819119,1,83021.30818831385,10.0
729,1247106.97713918,1,4504.5994924653505,0.0
737,648877.33522436,1,560960.3710769427,86.0
738,297442.7299367308,1,212723.79735035475,72.0
739,1766559.4364780656,1,2352.874242643491,0.0
742,705612.9600979756,1,321089.43307592656,46.0
745,1278900.3778211242,1,7526.192176625132,1.0
747,1094450.2549999654,1,68145.763531294,6.0
748,1636546.316281335,1,402836.994960338,25.0
751,1097713.459999806,1,223542.77102013727,20.0
752,625243.1849993875,1,356547.6551469377,57.0
756,1706311.4099997415,1,431995.6974412743,25.0
757,1048260.4404999862,1,219547.84054101023,21.0
767,1390113.8102641718,1,547015.3847874035,39.0
768,1211395.8348422537,1,342401.15575630707,28.0
775,1689292.9324715063,1,235670.40829334845,14.0
776,1122642.20904569,1,227669.3918329705,20.0
777,728403.8252506815,1,59990.45559639555,8.0
780,761830.5953917105,1,548545.422828838,72.0
781,873191.0797167144,1,226626.88030505134,26.0
786,2019340.34967429,1,1277.1688240550093,0.0
822,898900.2400003215,1,173746.48867849412,19.0
823,519526.26530998,1,100930.15367536798,19.0
863,719695.9441050448,1,495768.60007607087,69.0
864,618141.6378740647,1,494300.38013042946,80.0
865,390294.61238637666,1,35034.10512027396,9.0
906,208856982.8709044,1,69676.25045755926,0.0
908,4654740.097636746,1,54486.60674610299,1.0
909,2497414.293321073,1,4946.160606906529,0.0
965,8259307.555050059,1,1299779.7276806538,16.0
973,740255.9485606166,1,145501.01448705993,20.0
979,1394065.1097042575,1,70079.02791607464,5.0
981,745883.1449999829,1,72600.37731402424,10.0
984,846362.7000001244,1,488529.76657250273,58.0
985,606524.104999769,1,532455.1438173279,88.0
986,392346.8850005119,1,391333.728217611,100.0
987,524407.7750000311,1,59917.56970275116,11.0
988,267236.4049996333,1,267236.4049996333,100.0
989,397621.9650000028,1,68169.84385609011,17.0
990,195818.18500004322,1,195818.18500004328,100.0
991,301276.4249998443,1,39085.58027801399,13.0
992,115740.82762563431,1,115740.82762563427,100.0
993,174810.8002925189,1,30939.06570426821,18.0
994,290306.7948790796,1,151129.90493569014,52.0
995,351162.3956747948,1,351162.39567479485,100.0
996,251557.54331918413,1,59494.129719453835,24.0
997,245926.0400000501,1,54480.91090712244,22.0
998,196272.39521327865,1,196272.39521327865,100.0
999,171766.33762806002,1,56329.5869824726,33.0
1007,858079.8281642515,1,659376.1922576106,77.0
1015,472889.83095562673,1,51609.00382940723,11.0
1016,555552.045000175,1,519525.0982311345,94.0
1017,589946.460000295,1,589186.5367806358,100.0
1018,127930.39999974072,1,63430.44669183552,50.0
1019,328811.7899997685,1,239466.17086843104,73.0
1020,244478.41499951755,1,244478.4149995176,100.0
1021,186168.43000006882,1,174542.93750355177,94.0
1022,123220.97500019065,1,123220.97500019062,100.0
1023,229820.86000008922,1,229820.86000008936,100.0
1024,162721.38500010702,1,162721.38500010702,100.0
1025,90375.86499992677,1,90375.86499992677,100.0
1026,138759.95999986888,1,138759.9599998689,100.0
1027,117315.21500009109,1,117315.2150000911,100.0
1028,58209.73499989646,1,58209.73499989646,100.0
1029,58973.904649957585,1,58973.90464995758,100.0
1030,58292.94000012804,1,58292.94000012804,100.0
1031,58952.17499986105,1,58952.17499986105,100.0
1032,116421.56499995617,1,116421.56499995616,100.0
1033,58964.264999933854,1,58964.264999933854,100.0
1034,58244.29500006402,1,58244.29500006401,100.0
1035,118158.08499998237,1,118158.08499998237,100.0
1036,58347.6500000176,1,58347.6500000176,100.0
1037,58307.900000129644,1,58307.900000129644,100.0
1038,102286.85499983776,1,102286.85499983771,100.0
1039,184152.53606631444,1,133750.00227219178,73.0
1040,58216.15500002815,1,58216.15500002813,100.0
1041,58303.15499995595,1,39323.523963313,67.0
1048,233277.6350000385,1,4833.318127874989,2.0
1050,178366.65239409782,1,18695.467759721647,10.0
1051,1580237.5684007278,1,1236174.7628931988,78.0
1052,622972.2021675175,1,618011.779852845,99.0
1058,758723.2800000705,1,16652.291310179025,2.0
1060,342820.52499979455,1,17134.981524868876,5.0
1064,454073.61000063975,1,103881.60095805096,23.0
1065,116609.81999985885,1,116609.81999985885,100.0
1066,116629.41000007938,1,116629.41000007936,100.0
1067,58219.26499999462,1,58219.26499999462,100.0
1068,58280.14500015734,1,58280.14500015734,100.0
1069,58302.75499996597,1,58302.75499996597,100.0
1070,58277.74499996367,1,58277.744999963674,100.0
1071,58252.189999965885,1,58252.18999996589,100.0
1072,58270.744999987655,1,58270.74499998764,100.0
1073,58224.125000037544,1,58224.12500003754,100.0
1074,58242.869999836825,1,58242.86999983682,100.0
1075,58357.74000023849,1,58357.74000023849,100.0
1076,58305.35999993431,1,58305.35999993431,100.0
1077,58285.65500015796,1,58285.65500015796,100.0
1078,58309.144999806,1,58309.144999806005,100.0
1079,58434.10000019055,1,58434.10000019054,100.0
