N,MODE,OPERATOR,NAME,LONGNAME,STOP,STOP4,STOP5,STOP6,STOP7,STOP8,STOP9,X,Y,TAZID
28875,4,0,S470,S470,1,1,0,0,0,0,0,418312.0,4564411.0,371
28887,4,0,S470,S470,1,1,0,0,0,0,0,418430.0,4564414.0,372
28891,4,0,S470,S470,0,0,0,0,0,0,0,418546.2239,4564411.073,374
28905,4,0,S470,S470,1,1,0,0,0,0,0,418672.0,4564405.0,376
28886,4,0,S470,S470,1,1,0,0,0,0,0,418667.0,4564166.0,375
28865,4,0,S470,S470,1,1,0,0,0,0,0,418659.0,4563940.0,394
28848,4,0,S470,S470,1,1,0,0,0,0,0,418651.0,4563717.0,396
28823,4,0,S470,S470,1,1,0,0,0,0,0,418642.0,4563473.0,393
28804,4,0,S470,S470,1,1,0,0,0,0,0,418637.0,4563244.0,393
28785,4,0,S470,S470,1,1,0,0,0,0,0,418631.0,4563010.0,413
28767,4,0,S470,S470,1,1,0,0,0,0,0,418622.0,4562779.0,413
28740,4,0,S470,S470,1,1,0,0,0,0,0,418618.0,4562544.0,412
28720,4,0,S470,S470,1,1,0,0,0,0,0,418618.0,4562317.0,429
28703,4,0,S470,S470,1,1,0,0,0,0,0,418613.0,4562088.0,429
28684,4,0,S470,S470,0,0,0,0,0,0,0,418601.0,4561805.0,429
28659,4,0,S470,S470,1,1,0,0,0,0,0,418587.0,4561458.0,427
28647,4,0,S470,S470,0,0,0,0,0,0,0,418475.0,4561324.0,427
28632,4,0,S470,S470,1,1,0,0,0,0,0,418350.0,4561175.0,554
28616,4,0,S470,S470,1,1,0,0,0,0,0,418110.0,4561182.0,553
28601,4,0,S470,S470,0,0,0,0,0,0,0,418024.8424,4561187.351,425
28590,4,0,S470,S470,1,1,0,0,0,0,0,417877.0,4561181.0,553
28578,4,0,S470,S470,0,0,0,0,0,0,0,417871.0,4561046.0,553
28555,4,0,S470,S470,1,1,0,0,0,0,0,417864.0,4560830.0,434
28536,4,0,S470,S470,1,1,0,0,0,0,0,417874.0,4560590.0,434
28504,4,0,S470,S470,0,0,0,0,0,0,0,417717.0,4560386.0,533
28459,4,0,S470,S470,1,1,0,0,0,0,0,417553.0,4560177.0,533
28408,4,0,S470,S470,0,0,0,0,0,0,0,417326.0,4559894.0,533
28371,4,0,S470,S470,1,1,0,0,0,0,0,416989.0,4559481.0,542
28333,4,0,S470,S470,1,1,0,0,0,0,0,416481.0,4559215.0,535
28286,4,0,S470,S470,1,1,0,0,0,0,0,415822.0,4558906.0,535
28248,4,0,S470,S470,1,1,0,0,0,0,0,415452.0,4558734.0,538
28241,4,0,S470,S470,0,0,0,0,0,0,0,415373.0,4558698.0,538
28215,4,0,S470,S470,0,0,0,0,0,0,0,415208.0,4558617.0,537
