A,B,DISTANCE,LINKID,TAZID,HOT_ZONEID,LANES,FT,SEGID,geometry
20692,20796,0.617684819378213,20692_20796,2165,0,3,32,0154_003.2,"LINESTRING (419157 4483709, 420150 4483755)"
20696,20729,0.20369750790407265,20696_20729,2064,0,1,41,,"LINESTRING (416704 4486186, 416648 4486509)"
20709,20630,0.3205240471871091,20709_20630,2184,0,1,38,,"LINESTRING (422807 4480159, 422568.1446 4479701.801)"
20710,20763,0.2535604321096384,20710_20763,2184,0,1,38,0015_286.8,"LINESTRING (422815 4480152, 423009 4480511)"
20715,20629,0.3572439529823433,20715_20629,2184,0,5,33,,"LINESTRING (422826.0327 4480218.714, 422556.4005 4479710.935)"
20718,20764,0.19961748301603033,20718_20764,2157,0,5,33,0015_286.8,"LINESTRING (422866.209 4480222.87, 423018 4480506)"
20723,20682,0.20053018127995992,20723_20682,2063,0,1,42,,"LINESTRING (416627 4486508, 416572 4486190)"
20760,20715,0.20004916743958642,20760_20715,2184,0,5,33,0015_286.8,"LINESTRING (422979 4480502, 422826.0327 4480218.714)"
20761,20709,0.23765781078797216,20761_20709,2184,0,1,38,0015_286.8,"LINESTRING (422986 4480497, 422807 4480159)"
20763,20928,0.7541338845317102,20763_20928,2184,0,1,38,0015_286.8,"LINESTRING (423009 4480511, 423599.0875 4481571.548)"
20764,20914,0.7171814998770167,20764_20914,2157,0,5,33,0015_286.8,"LINESTRING (423018 4480506, 423581.3522 4481513.366)"
20796,20820,0.19341467886117242,20796_20820,2166,0,1,42,,"LINESTRING (420150 4483755, 420458 4483710)"
20796,20848,0.3858999849845524,20796_20848,2167,0,3,32,,"LINESTRING (420150 4483755, 420770 4483719)"
20797,20693,0.619490855774985,20797_20693,2165,0,3,32,0154_003.2,"LINESTRING (420152 4483768, 419156 4483724)"
20820,20848,0.19394893602363217,20820_20848,2167,0,1,41,,"LINESTRING (420458 4483710, 420770 4483719)"
20824,20797,0.19222926616619565,20824_20797,2097,0,1,41,,"LINESTRING (420460 4483797, 420152 4483768)"
