N,X,Y,TAZID,HOT_ZONEID,geometry
1,411935.0,4605642.0,0,0,POINT (411935 4605642)
2,412641.0,4606013.0,0,0,POINT (412641 4606013)
3,408993.0,4603544.0,0,0,POINT (408993 4603544)
4,410051.0,4604806.0,0,0,POINT (410051 4604806)
5,413394.0,4603600.0,0,0,POINT (413394 4603600)
6,410126.0,4602742.0,0,0,POINT (410126 4602742)
7,408249.0,4601825.0,0,0,POINT (408249 4601825)
8,414376.0,4600355.0,0,0,POINT (414376 4600355)
9,409373.0,4600722.0,0,0,POINT (409373 4600722)
10,410283.0,4600358.0,0,0,POINT (410283 4600358)
11,408607.0,4598032.0,0,0,POINT (408607 4598032)
12,409823.0,4596661.0,0,0,POINT (409823 4596661)
13,410935.0,4596548.0,0,0,POINT (410935 4596548)
14,411629.0,4596947.0,0,0,POINT (411629 4596947)
15,411821.0,4601943.0,0,0,POINT (411821 4601943)
16,413129.0,4598915.0,0,0,POINT (413129 4598915)
17,410463.0,4598152.0,0,0,POINT (410463 4598152)
18,411691.0,4598033.0,0,0,POINT (411691 4598033)
19,414524.0,4598638.0,0,0,POINT (414524 4598638)
20,415761.0,4598442.0,0,0,POINT (415761 4598442)
21,412716.5921,4597881.895,0,0,POINT (412716.5921 4597881.895)
22,413171.0,4597755.0,0,0,POINT (413171 4597755)
23,413750.1656,4597639.109,0,0,POINT (413750.1656 4597639.109)
24,414372.0,4597691.0,0,0,POINT (414372 4597691)
25,414952.0,4597663.0,0,0,POINT (414952 4597663)
26,415471.0,4597589.0,0,0,POINT (415471 4597589)
27,412397.0,4597091.0,0,0,POINT (412397 4597091)
28,413461.0,4596950.0,0,0,POINT (413461 4596950)
29,414353.0,4596960.0,0,0,POINT (414353 4596960)
30,414934.0,4596975.0,0,0,POINT (414934 4596975)
31,415460.0,4596961.0,0,0,POINT (415460 4596961)
32,415844.0,4597575.0,0,0,POINT (415844 4597575)
33,415850.0,4596949.0,0,0,POINT (415850 4596949)
34,416186.0,4597507.0,0,0,POINT (416186 4597507)
35,416363.0,4596927.0,0,0,POINT (416363 4596927)
36,416760.0,4597223.0,0,0,POINT (416760 4597223)
37,412234.0,4596259.0,0,0,POINT (412234 4596259)
38,413461.0,4596299.0,0,0,POINT (413461 4596299)
39,414344.0,4596277.0,0,0,POINT (414344 4596277)
40,414855.8391,4596307.266,0,0,POINT (414855.8391 4596307.266)
41,415446.0,4596407.0,0,0,POINT (415446 4596407)
42,415839.0,4596394.0,0,0,POINT (415839 4596394)
43,416350.0,4596476.0,0,0,POINT (416350 4596476)
44,416760.2885,4596394.902,0,0,POINT (416760.2885 4596394.902)
45,417043.0,4596196.0,0,0,POINT (417043 4596196)
46,417503.0,4595783.0,0,0,POINT (417503 4595783)
47,409378.0,4593363.0,0,0,POINT (409378 4593363)
48,408644.0,4595521.0,0,0,POINT (408644 4595521)
49,412223.0,4595505.0,0,0,POINT (412223 4595505)
50,413391.0,4595551.0,0,0,POINT (413391 4595551)
51,414039.0,4595398.0,0,0,POINT (414039 4595398)
52,414375.0,4595701.0,0,0,POINT (414375 4595701)
53,414901.0,4595686.0,0,0,POINT (414901 4595686)
54,415430.0,4595807.0,0,0,POINT (415430 4595807)
55,415826.0,4595797.0,0,0,POINT (415826 4595797)
56,416171.0,4595637.0,0,0,POINT (416171 4595637)
57,416300.0,4596111.0,0,0,POINT (416300 4596111)
58,416835.0,4595384.0,0,0,POINT (416835 4595384)
59,412330.0,4594692.0,0,0,POINT (412330 4594692)
60,413162.0,4594567.0,0,0,POINT (413162 4594567)
61,413883.0,4594716.0,0,0,POINT (413883 4594716)
62,414344.0,4594726.0,0,0,POINT (414344 4594726)
63,414360.0,4595282.0,0,0,POINT (414360 4595282)
64,414872.0,4594590.0,0,0,POINT (414872 4594590)
65,414886.0,4595150.0,0,0,POINT (414886 4595150)
66,415375.6936,4594642.819,0,0,POINT (415375.6936 4594642.819)
67,415304.0,4595163.0,0,0,POINT (415304 4595163)
68,415793.0,4594562.0,0,0,POINT (415793 4594562)
69,415789.0,4595117.0,0,0,POINT (415789 4595117)
