N,STOP,X,Y,TAZID,geometry
10046,1,417871.0,4564006.0,368,"POLYGON ((418514.7376 4564006, 418511.6378275046 4563942.902681326, 418502.3683625221 4563880.413024322, 418487.01847506745 4563819.132838547, 418465.73599294794 4563759.6522856895, 418438.72587810055 4563702.544195988, 418406.2482526966 4563648.358551565, 418368.61589402263 4563597.617189797, 418326.1912222648 4563550.808777736, 418279.38281020365 4563508.384105978, 418228.6414484355 4563470.751747304, 418174.4558040122 4563438.274121899, 418117.34771431045 4563411.264007052, 418057.86716145254 4563389.981524932, 417996.58697567787 4563374.631637478, 417934.0973186746 4563365.362172496, 417871 4563362.2624, 417807.9026813254 4563365.362172496, 417745.41302432213 4563374.631637478, 417684.13283854746 4563389.981524932, 417624.65228568955 4563411.264007052, 417567.5441959878 4563438.274121899, 417513.3585515645 4563470.751747304, 417462.61718979635 4563508.384105978, 417415.8087777352 4563550.808777736, 417373.38410597737 4563597.617189797, 417335.7517473034 4563648.358551565, 417303.27412189945 4563702.544195988, 417276.26400705206 4563759.6522856895, 417254.98152493255 4563819.132838547, 417239.6316374779 4563880.413024322, 417230.3621724954 4563942.902681326, 417227.2624 4564006, 417230.3621724954 4564069.097318674, 417239.6316374779 4564131.586975678, 417254.98152493255 4564192.867161453, 417276.26400705206 4564252.3477143105, 417303.27412189945 4564309.455804012, 417335.7517473034 4564363.641448435, 417373.38410597737 4564414.382810203, 417415.8087777352 4564461.191222264, 417462.61718979635 4564503.615894022, 417513.3585515645 4564541.248252696, 417567.5441959878 4564573.725878101, 417624.65228568955 4564600.735992948, 417684.13283854746 4564622.018475068, 417745.41302432213 4564637.368362522, 417807.9026813254 4564646.637827504, 417871 4564649.7376, 417934.0973186746 4564646.637827504, 417996.58697567787 4564637.368362522, 418057.86716145254 4564622.018475068, 418117.34771431045 4564600.735992948, 418174.4558040122 4564573.725878101, 418228.6414484355 4564541.248252696, 418279.38281020365 4564503.615894022, 418326.1912222648 4564461.191222264, 418368.61589402263 4564414.382810203, 418406.2482526966 4564363.641448435, 418438.72587810055 4564309.455804012, 418465.73599294794 4564252.3477143105, 418487.01847506745 4564192.867161453, 418502.3683625221 4564131.586975678, 418511.6378275046 4564069.097318674, 418514.7376 4564006))"
28790,1,417950.0,4563732.0,390,"POLYGON ((418593.7376 4563732, 418590.6378275046 4563668.902681326, 418581.3683625221 4563606.413024322, 418566.01847506745 4563545.132838547, 418544.73599294794 4563485.6522856895, 418517.72587810055 4563428.544195988, 418485.2482526966 4563374.358551565, 418447.61589402263 4563323.617189797, 418405.1912222648 4563276.808777736, 418358.38281020365 4563234.384105978, 418307.6414484355 4563196.751747304, 418253.4558040122 4563164.274121899, 418196.34771431045 4563137.264007052, 418136.86716145254 4563115.981524932, 418075.58697567787 4563100.631637478, 418013.0973186746 4563091.362172496, 417950 4563088.2624, 417886.9026813254 4563091.362172496, 417824.41302432213 4563100.631637478, 417763.13283854746 4563115.981524932, 417703.65228568955 4563137.264007052, 417646.5441959878 4563164.274121899, 417592.3585515645 4563196.751747304, 417541.61718979635 4563234.384105978, 417494.8087777352 4563276.808777736, 417452.38410597737 4563323.617189797, 417414.7517473034 4563374.358551565, 417382.27412189945 4563428.544195988, 417355.26400705206 4563485.6522856895, 417333.98152493255 4563545.132838547, 417318.6316374779 4563606.413024322, 417309.3621724954 4563668.902681326, 417306.2624 4563732, 417309.3621724954 4563795.097318674, 417318.6316374779 4563857.586975678, 417333.98152493255 4563918.867161453, 417355.26400705206 4563978.3477143105, 417382.27412189945 4564035.455804012, 417414.7517473034 4564089.641448435, 417452.38410597737 4564140.382810203, 417494.8087777352 4564187.191222264, 417541.61718979635 4564229.615894022, 417592.3585515645 4564267.248252696, 417646.5441959878 4564299.725878101, 417703.65228568955 4564326.735992948, 417763.13283854746 4564348.018475068, 417824.41302432213 4564363.368362522, 417886.9026813254 4564372.637827504, 417950 4564375.7376, 418013.0973186746 4564372.637827504, 418075.58697567787 4564363.368362522, 418136.86716145254 4564348.018475068, 418196.34771431045 4564326.735992948, 418253.4558040122 4564299.725878101, 418307.6414484355 4564267.248252696, 418358.38281020365 4564229.615894022, 418405.1912222648 4564187.191222264, 418447.61589402263 4564140.382810203, 418485.2482526966 4564089.641448435, 418517.72587810055 4564035.455804012, 418544.73599294794 4563978.3477143105, 418566.01847506745 4563918.867161453, 418581.3683625221 4563857.586975678, 418590.6378275046 4563795.097318674, 418593.7376 4563732))"
28772,1,417941.0,4563489.0,389,"POLYGON ((418584.7376 4563489, 418581.6378275046 4563425.902681326, 418572.3683625221 4563363.413024322, 418557.01847506745 4563302.132838547, 418535.73599294794 4563242.6522856895, 418508.72587810055 4563185.544195988, 418476.2482526966 4563131.358551565, 418438.61589402263 4563080.617189797, 418396.1912222648 4563033.808777736, 418349.38281020365 4562991.384105978, 418298.6414484355 4562953.751747304, 418244.4558040122 4562921.274121899, 418187.34771431045 4562894.264007052, 418127.86716145254 4562872.981524932, 418066.58697567787 4562857.631637478, 418004.0973186746 4562848.362172496, 417941 4562845.2624, 417877.9026813254 4562848.362172496, 417815.41302432213 4562857.631637478, 417754.13283854746 4562872.981524932, 417694.65228568955 4562894.264007052, 417637.5441959878 4562921.274121899, 417583.3585515645 4562953.751747304, 417532.61718979635 4562991.384105978, 417485.8087777352 4563033.808777736, 417443.38410597737 4563080.617189797, 417405.7517473034 4563131.358551565, 417373.27412189945 4563185.544195988, 417346.26400705206 4563242.6522856895, 417324.98152493255 4563302.132838547, 417309.6316374779 4563363.413024322, 417300.3621724954 4563425.902681326, 417297.2624 4563489, 417300.3621724954 4563552.097318674, 417309.6316374779 4563614.586975678, 417324.98152493255 4563675.867161453, 417346.26400705206 4563735.3477143105, 417373.27412189945 4563792.455804012, 417405.7517473034 4563846.641448435, 417443.38410597737 4563897.382810203, 417485.8087777352 4563944.191222264, 417532.61718979635 4563986.615894022, 417583.3585515645 4564024.248252696, 417637.5441959878 4564056.725878101, 417694.65228568955 4564083.735992948, 417754.13283854746 4564105.018475068, 417815.41302432213 4564120.368362522, 417877.9026813254 4564129.637827504, 417941 4564132.7376, 418004.0973186746 4564129.637827504, 418066.58697567787 4564120.368362522, 418127.86716145254 4564105.018475068, 418187.34771431045 4564083.735992948, 418244.4558040122 4564056.725878101, 418298.6414484355 4564024.248252696, 418349.38281020365 4563986.615894022, 418396.1912222648 4563944.191222264, 418438.61589402263 4563897.382810203, 418476.2482526966 4563846.641448435, 418508.72587810055 4563792.455804012, 418535.73599294794 4563735.3477143105, 418557.01847506745 4563675.867161453, 418572.3683625221 4563614.586975678, 418581.6378275046 4563552.097318674, 418584.7376 4563489))"
28795,1,418295.0,4563482.0,391,"POLYGON ((418938.7376 4563482, 418935.6378275046 4563418.902681326, 418926.3683625221 4563356.413024322, 418911.01847506745 4563295.132838547, 418889.73599294794 4563235.6522856895, 418862.72587810055 4563178.544195988, 418830.2482526966 4563124.358551565, 418792.61589402263 4563073.617189797, 418750.1912222648 4563026.808777736, 418703.38281020365 4562984.384105978, 418652.6414484355 4562946.751747304, 418598.4558040122 4562914.274121899, 418541.34771431045 4562887.264007052, 418481.86716145254 4562865.981524932, 418420.58697567787 4562850.631637478, 418358.0973186746 4562841.362172496, 418295 4562838.2624, 418231.9026813254 4562841.362172496, 418169.41302432213 4562850.631637478, 418108.13283854746 4562865.981524932, 418048.65228568955 4562887.264007052, 417991.5441959878 4562914.274121899, 417937.3585515645 4562946.751747304, 417886.61718979635 4562984.384105978, 417839.8087777352 4563026.808777736, 417797.38410597737 4563073.617189797, 417759.7517473034 4563124.358551565, 417727.27412189945 4563178.544195988, 417700.26400705206 4563235.6522856895, 417678.98152493255 4563295.132838547, 417663.6316374779 4563356.413024322, 417654.3621724954 4563418.902681326, 417651.2624 4563482, 417654.3621724954 4563545.097318674, 417663.6316374779 4563607.586975678, 417678.98152493255 4563668.867161453, 417700.26400705206 4563728.3477143105, 417727.27412189945 4563785.455804012, 417759.7517473034 4563839.641448435, 417797.38410597737 4563890.382810203, 417839.8087777352 4563937.191222264, 417886.61718979635 4563979.615894022, 417937.3585515645 4564017.248252696, 417991.5441959878 4564049.725878101, 418048.65228568955 4564076.735992948, 418108.13283854746 4564098.018475068, 418169.41302432213 4564113.368362522, 418231.9026813254 4564122.637827504, 418295 4564125.7376, 418358.0973186746 4564122.637827504, 418420.58697567787 4564113.368362522, 418481.86716145254 4564098.018475068, 418541.34771431045 4564076.735992948, 418598.4558040122 4564049.725878101, 418652.6414484355 4564017.248252696, 418703.38281020365 4563979.615894022, 418750.1912222648 4563937.191222264, 418792.61589402263 4563890.382810203, 418830.2482526966 4563839.641448435, 418862.72587810055 4563785.455804012, 418889.73599294794 4563728.3477143105, 418911.01847506745 4563668.867161453, 418926.3683625221 4563607.586975678, 418935.6378275046 4563545.097318674, 418938.7376 4563482))"
28823,1,418642.0,4563473.0,393,"POLYGON ((419285.7376 4563473, 419282.6378275046 4563409.902681326, 419273.3683625221 4563347.413024322, 419258.01847506745 4563286.132838547, 419236.73599294794 4563226.6522856895, 419209.72587810055 4563169.544195988, 419177.2482526966 4563115.358551565, 419139.61589402263 4563064.617189797, 419097.1912222648 4563017.808777736, 419050.38281020365 4562975.384105978, 418999.6414484355 4562937.751747304, 418945.4558040122 4562905.274121899, 418888.34771431045 4562878.264007052, 418828.86716145254 4562856.981524932, 418767.58697567787 4562841.631637478, 418705.0973186746 4562832.362172496, 418642 4562829.2624, 418578.9026813254 4562832.362172496, 418516.41302432213 4562841.631637478, 418455.13283854746 4562856.981524932, 418395.65228568955 4562878.264007052, 418338.5441959878 4562905.274121899, 418284.3585515645 4562937.751747304, 418233.61718979635 4562975.384105978, 418186.8087777352 4563017.808777736, 418144.38410597737 4563064.617189797, 418106.7517473034 4563115.358551565, 418074.27412189945 4563169.544195988, 418047.26400705206 4563226.6522856895, 418025.98152493255 4563286.132838547, 418010.6316374779 4563347.413024322, 418001.3621724954 4563409.902681326, 417998.2624 4563473, 418001.3621724954 4563536.097318674, 418010.6316374779 4563598.586975678, 418025.98152493255 4563659.867161453, 418047.26400705206 4563719.3477143105, 418074.27412189945 4563776.455804012, 418106.7517473034 4563830.641448435, 418144.38410597737 4563881.382810203, 418186.8087777352 4563928.191222264, 418233.61718979635 4563970.615894022, 418284.3585515645 4564008.248252696, 418338.5441959878 4564040.725878101, 418395.65228568955 4564067.735992948, 418455.13283854746 4564089.018475068, 418516.41302432213 4564104.368362522, 418578.9026813254 4564113.637827504, 418642 4564116.7376, 418705.0973186746 4564113.637827504, 418767.58697567787 4564104.368362522, 418828.86716145254 4564089.018475068, 418888.34771431045 4564067.735992948, 418945.4558040122 4564040.725878101, 418999.6414484355 4564008.248252696, 419050.38281020365 4563970.615894022, 419097.1912222648 4563928.191222264, 419139.61589402263 4563881.382810203, 419177.2482526966 4563830.641448435, 419209.72587810055 4563776.455804012, 419236.73599294794 4563719.3477143105, 419258.01847506745 4563659.867161453, 419273.3683625221 4563598.586975678, 419282.6378275046 4563536.097318674, 419285.7376 4563473))"
28899,1,419584.9198,4563448.305,400,"POLYGON ((420228.65739999997 4563448.305, 420225.5576275046 4563385.207681325, 420216.2881625221 4563322.718024322, 420200.9382750674 4563261.437838547, 420179.6557929479 4563201.957285689, 420152.6456781005 4563144.849195988, 420120.16805269656 4563090.663551564, 420082.5356940226 4563039.922189796, 420040.11102226475 4562993.113777735, 419993.3026102036 4562950.689105977, 419942.56124843546 4562913.056747303, 419888.37560401217 4562880.579121899, 419831.2675143104 4562853.569007052, 419771.7869614525 4562832.286524932, 419710.50677567784 4562816.936637478, 419648.0171186746 4562807.667172495, 419584.9198 4562804.5674, 419521.82248132536 4562807.667172495, 419459.3328243221 4562816.936637478, 419398.05263854744 4562832.286524932, 419338.5720856895 4562853.569007052, 419281.4639959878 4562880.579121899, 419227.2783515645 4562913.056747303, 419176.5369897963 4562950.689105977, 419129.7285777352 4562993.113777735, 419087.30390597734 4563039.922189796, 419049.6715473034 4563090.663551564, 419017.1939218994 4563144.849195988, 418990.18380705203 4563201.957285689, 418968.9013249325 4563261.437838547, 418953.5514374779 4563322.718024322, 418944.2819724954 4563385.207681325, 418941.1822 4563448.305, 418944.2819724954 4563511.402318674, 418953.5514374779 4563573.891975678, 418968.9013249325 4563635.1721614525, 418990.18380705203 4563694.65271431, 419017.1939218994 4563751.7608040115, 419049.6715473034 4563805.946448435, 419087.30390597734 4563856.687810203, 419129.7285777352 4563903.496222264, 419176.5369897963 4563945.920894022, 419227.2783515645 4563983.553252696, 419281.4639959878 4564016.030878101, 419338.5720856895 4564043.040992947, 419398.05263854744 4564064.3234750675, 419459.3328243221 4564079.673362521, 419521.82248132536 4564088.942827504, 419584.9198 4564092.042599999, 419648.0171186746 4564088.942827504, 419710.50677567784 4564079.673362521, 419771.7869614525 4564064.3234750675, 419831.2675143104 4564043.040992947, 419888.37560401217 4564016.030878101, 419942.56124843546 4563983.553252696, 419993.3026102036 4563945.920894022, 420040.11102226475 4563903.496222264, 420082.5356940226 4563856.687810203, 420120.16805269656 4563805.946448435, 420152.6456781005 4563751.7608040115, 420179.6557929479 4563694.65271431, 420200.9382750674 4563635.1721614525, 420216.2881625221 4563573.891975678, 420225.5576275046 4563511.402318674, 420228.65739999997 4563448.305))"
28935,1,419587.0,4563915.0,377,"POLYGON ((420230.7376 4563915, 420227.6378275046 4563851.902681326, 420218.3683625221 4563789.413024322, 420203.01847506745 4563728.132838547, 420181.73599294794 4563668.6522856895, 420154.72587810055 4563611.544195988, 420122.2482526966 4563557.358551565, 420084.61589402263 4563506.617189797, 420042.1912222648 4563459.808777736, 419995.38281020365 4563417.384105978, 419944.6414484355 4563379.751747304, 419890.4558040122 4563347.274121899, 419833.34771431045 4563320.264007052, 419773.86716145254 4563298.981524932, 419712.58697567787 4563283.631637478, 419650.0973186746 4563274.362172496, 419587 4563271.2624, 419523.9026813254 4563274.362172496, 419461.41302432213 4563283.631637478, 419400.13283854746 4563298.981524932, 419340.65228568955 4563320.264007052, 419283.5441959878 4563347.274121899, 419229.3585515645 4563379.751747304, 419178.61718979635 4563417.384105978, 419131.8087777352 4563459.808777736, 419089.38410597737 4563506.617189797, 419051.7517473034 4563557.358551565, 419019.27412189945 4563611.544195988, 418992.26400705206 4563668.6522856895, 418970.98152493255 4563728.132838547, 418955.6316374779 4563789.413024322, 418946.3621724954 4563851.902681326, 418943.2624 4563915, 418946.3621724954 4563978.097318674, 418955.6316374779 4564040.586975678, 418970.98152493255 4564101.867161453, 418992.26400705206 4564161.3477143105, 419019.27412189945 4564218.455804012, 419051.7517473034 4564272.641448435, 419089.38410597737 4564323.382810203, 419131.8087777352 4564370.191222264, 419178.61718979635 4564412.615894022, 419229.3585515645 4564450.248252696, 419283.5441959878 4564482.725878101, 419340.65228568955 4564509.735992948, 419400.13283854746 4564531.018475068, 419461.41302432213 4564546.368362522, 419523.9026813254 4564555.637827504, 419587 4564558.7376, 419650.0973186746 4564555.637827504, 419712.58697567787 4564546.368362522, 419773.86716145254 4564531.018475068, 419833.34771431045 4564509.735992948, 419890.4558040122 4564482.725878101, 419944.6414484355 4564450.248252696, 419995.38281020365 4564412.615894022, 420042.1912222648 4564370.191222264, 420084.61589402263 4564323.382810203, 420122.2482526966 4564272.641448435, 420154.72587810055 4564218.455804012, 420181.73599294794 4564161.3477143105, 420203.01847506745 4564101.867161453, 420218.3683625221 4564040.586975678, 420227.6378275046 4563978.097318674, 420230.7376 4563915))"
28966,1,420066.0,4563901.0,379,"POLYGON ((420709.7376 4563901, 420706.6378275046 4563837.902681326, 420697.3683625221 4563775.413024322, 420682.01847506745 4563714.132838547, 420660.73599294794 4563654.6522856895, 420633.72587810055 4563597.544195988, 420601.2482526966 4563543.358551565, 420563.61589402263 4563492.617189797, 420521.1912222648 4563445.808777736, 420474.38281020365 4563403.384105978, 420423.6414484355 4563365.751747304, 420369.4558040122 4563333.274121899, 420312.34771431045 4563306.264007052, 420252.86716145254 4563284.981524932, 420191.58697567787 4563269.631637478, 420129.0973186746 4563260.362172496, 420066 4563257.2624, 420002.9026813254 4563260.362172496, 419940.41302432213 4563269.631637478, 419879.13283854746 4563284.981524932, 419819.65228568955 4563306.264007052, 419762.5441959878 4563333.274121899, 419708.3585515645 4563365.751747304, 419657.61718979635 4563403.384105978, 419610.8087777352 4563445.808777736, 419568.38410597737 4563492.617189797, 419530.7517473034 4563543.358551565, 419498.27412189945 4563597.544195988, 419471.26400705206 4563654.6522856895, 419449.98152493255 4563714.132838547, 419434.6316374779 4563775.413024322, 419425.3621724954 4563837.902681326, 419422.2624 4563901, 419425.3621724954 4563964.097318674, 419434.6316374779 4564026.586975678, 419449.98152493255 4564087.867161453, 419471.26400705206 4564147.3477143105, 419498.27412189945 4564204.455804012, 419530.7517473034 4564258.641448435, 419568.38410597737 4564309.382810203, 419610.8087777352 4564356.191222264, 419657.61718979635 4564398.615894022, 419708.3585515645 4564436.248252696, 419762.5441959878 4564468.725878101, 419819.65228568955 4564495.735992948, 419879.13283854746 4564517.018475068, 419940.41302432213 4564532.368362522, 420002.9026813254 4564541.637827504, 420066 4564544.7376, 420129.0973186746 4564541.637827504, 420191.58697567787 4564532.368362522, 420252.86716145254 4564517.018475068, 420312.34771431045 4564495.735992948, 420369.4558040122 4564468.725878101, 420423.6414484355 4564436.248252696, 420474.38281020365 4564398.615894022, 420521.1912222648 4564356.191222264, 420563.61589402263 4564309.382810203, 420601.2482526966 4564258.641448435, 420633.72587810055 4564204.455804012, 420660.73599294794 4564147.3477143105, 420682.01847506745 4564087.867161453, 420697.3683625221 4564026.586975678, 420706.6378275046 4563964.097318674, 420709.7376 4563901))"
28988,1,420526.0,4563892.0,381,"POLYGON ((421169.7376 4563892, 421166.6378275046 4563828.902681326, 421157.3683625221 4563766.413024322, 421142.01847506745 4563705.132838547, 421120.73599294794 4563645.6522856895, 421093.72587810055 4563588.544195988, 421061.2482526966 4563534.358551565, 421023.61589402263 4563483.617189797, 420981.1912222648 4563436.808777736, 420934.38281020365 4563394.384105978, 420883.6414484355 4563356.751747304, 420829.4558040122 4563324.274121899, 420772.34771431045 4563297.264007052, 420712.86716145254 4563275.981524932, 420651.58697567787 4563260.631637478, 420589.0973186746 4563251.362172496, 420526 4563248.2624, 420462.9026813254 4563251.362172496, 420400.41302432213 4563260.631637478, 420339.13283854746 4563275.981524932, 420279.65228568955 4563297.264007052, 420222.5441959878 4563324.274121899, 420168.3585515645 4563356.751747304, 420117.61718979635 4563394.384105978, 420070.8087777352 4563436.808777736, 420028.38410597737 4563483.617189797, 419990.7517473034 4563534.358551565, 419958.27412189945 4563588.544195988, 419931.26400705206 4563645.6522856895, 419909.98152493255 4563705.132838547, 419894.6316374779 4563766.413024322, 419885.3621724954 4563828.902681326, 419882.2624 4563892, 419885.3621724954 4563955.097318674, 419894.6316374779 4564017.586975678, 419909.98152493255 4564078.867161453, 419931.26400705206 4564138.3477143105, 419958.27412189945 4564195.455804012, 419990.7517473034 4564249.641448435, 420028.38410597737 4564300.382810203, 420070.8087777352 4564347.191222264, 420117.61718979635 4564389.615894022, 420168.3585515645 4564427.248252696, 420222.5441959878 4564459.725878101, 420279.65228568955 4564486.735992948, 420339.13283854746 4564508.018475068, 420400.41302432213 4564523.368362522, 420462.9026813254 4564532.637827504, 420526 4564535.7376, 420589.0973186746 4564532.637827504, 420651.58697567787 4564523.368362522, 420712.86716145254 4564508.018475068, 420772.34771431045 4564486.735992948, 420829.4558040122 4564459.725878101, 420883.6414484355 4564427.248252696, 420934.38281020365 4564389.615894022, 420981.1912222648 4564347.191222264, 421023.61589402263 4564300.382810203, 421061.2482526966 4564249.641448435, 421093.72587810055 4564195.455804012, 421120.73599294794 4564138.3477143105, 421142.01847506745 4564078.867161453, 421157.3683625221 4564017.586975678, 421166.6378275046 4563955.097318674, 421169.7376 4563892))"
28963,1,420512.0,4563424.0,402,"POLYGON ((421155.7376 4563424, 421152.6378275046 4563360.902681326, 421143.3683625221 4563298.413024322, 421128.01847506745 4563237.132838547, 421106.73599294794 4563177.6522856895, 421079.72587810055 4563120.544195988, 421047.2482526966 4563066.358551565, 421009.61589402263 4563015.617189797, 420967.1912222648 4562968.808777736, 420920.38281020365 4562926.384105978, 420869.6414484355 4562888.751747304, 420815.4558040122 4562856.274121899, 420758.34771431045 4562829.264007052, 420698.86716145254 4562807.981524932, 420637.58697567787 4562792.631637478, 420575.0973186746 4562783.362172496, 420512 4562780.2624, 420448.9026813254 4562783.362172496, 420386.41302432213 4562792.631637478, 420325.13283854746 4562807.981524932, 420265.65228568955 4562829.264007052, 420208.5441959878 4562856.274121899, 420154.3585515645 4562888.751747304, 420103.61718979635 4562926.384105978, 420056.8087777352 4562968.808777736, 420014.38410597737 4563015.617189797, 419976.7517473034 4563066.358551565, 419944.27412189945 4563120.544195988, 419917.26400705206 4563177.6522856895, 419895.98152493255 4563237.132838547, 419880.6316374779 4563298.413024322, 419871.3621724954 4563360.902681326, 419868.2624 4563424, 419871.3621724954 4563487.097318674, 419880.6316374779 4563549.586975678, 419895.98152493255 4563610.867161453, 419917.26400705206 4563670.3477143105, 419944.27412189945 4563727.455804012, 419976.7517473034 4563781.641448435, 420014.38410597737 4563832.382810203, 420056.8087777352 4563879.191222264, 420103.61718979635 4563921.615894022, 420154.3585515645 4563959.248252696, 420208.5441959878 4563991.725878101, 420265.65228568955 4564018.735992948, 420325.13283854746 4564040.018475068, 420386.41302432213 4564055.368362522, 420448.9026813254 4564064.637827504, 420512 4564067.7376, 420575.0973186746 4564064.637827504, 420637.58697567787 4564055.368362522, 420698.86716145254 4564040.018475068, 420758.34771431045 4564018.735992948, 420815.4558040122 4563991.725878101, 420869.6414484355 4563959.248252696, 420920.38281020365 4563921.615894022, 420967.1912222648 4563879.191222264, 421009.61589402263 4563832.382810203, 421047.2482526966 4563781.641448435, 421079.72587810055 4563727.455804012, 421106.73599294794 4563670.3477143105, 421128.01847506745 4563610.867161453, 421143.3683625221 4563549.586975678, 421152.6378275046 4563487.097318674, 421155.7376 4563424))"
