A,B,DISTANCE,LINKID,TAZID,HOT_ZONEID,LANES,FT,SEGID,geometry,index_right,OBJECTID,Name,EL_Zone,Shape_Leng,Shape_Area
20541,20544,0.009287490281241748,20541_20544,2185,260.0,1,39,,POINT (422446.26714999997 4479189.237),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20541,60999,0.5350197784726456,20541_60999,2185,260.0,5,33,0015_285.8,POINT (422483.76965000003 4478759.495),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20544,20541,0.009287490281241748,20544_20541,2185,260.0,1,39,,POINT (422446.26714999997 4479189.237),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20544,71575,0.5371307128226825,20544_71575,2161,260.0,1,38,0015_285.8,POINT (422496.711 4478760.748),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20546,20548,0.005837921135353572,20546_20548,2161,140.0,1,39,,POINT (422469.75529999996 4479191.847),15.0,27.0,I15,140.0,26827.2583508,2641468.06465
20546,20631,0.3198818706965637,20546_20631,2161,140.0,1,38,0015_285.8,POINT (422521.82075 4479442.9095),15.0,27.0,I15,140.0,26827.2583508,2641468.06465
20548,20546,0.005837921135353572,20548_20546,2161,140.0,1,39,,POINT (422469.75529999996 4479191.847),15.0,27.0,I15,140.0,26827.2583508,2641468.06465
20548,20634,0.3160739746788738,20548_20634,2161,140.0,5,33,0015_285.8,POINT (422531.73795 4479439.647),15.0,27.0,I15,140.0,26827.2583508,2641468.06465
20629,20541,0.3332305340795386,20629_20541,2185,260.0,5,33,0015_285.8,POINT (422497.6801 4479449.302999999),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20630,20544,0.32540314356858835,20630_20544,2161,260.0,1,38,0015_285.8,POINT (422510.85959999997 4479446.302),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20631,20710,0.3202826989466972,20631_20710,2184,140.0,1,38,,POINT (422696.7919 4479922.986),15.0,27.0,I15,140.0,26827.2583508,2641468.06465
20634,20718,0.37463668025287195,20634_20718,2157,140.0,5,33,,POINT (422727.616 4479955.1585),15.0,27.0,I15,140.0,26827.2583508,2641468.06465
20657,20696,0.19814874129485743,20657_20696,2075,340.0,1,42,,POINT (416673.5 4486029.5),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
20682,20655,0.19828119888512918,20682_20655,2074,330.0,1,41,,POINT (416597.5 4486032.5),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
20692,20796,0.617684819378213,20692_20796,2165,330.0,3,32,0154_003.2,POINT (419653.5 4483732),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
20696,20729,0.20369750790407265,20696_20729,2064,340.0,1,41,,POINT (416676 4486347.5),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
20709,20630,0.3205240471871091,20709_20630,2184,260.0,1,38,,POINT (422687.5723 4479930.4004999995),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20710,20763,0.2535604321096384,20710_20763,2184,140.0,1,38,0015_286.8,POINT (422912 4480331.5),15.0,27.0,I15,140.0,26827.2583508,2641468.06465
20715,20629,0.3572439529823433,20715_20629,2184,260.0,5,33,,POINT (422691.2166 4479964.8245),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20718,20764,0.19961748301603033,20718_20764,2157,140.0,5,33,0015_286.8,POINT (422942.1045000001 4480364.4350000005),15.0,27.0,I15,140.0,26827.2583508,2641468.06465
20723,20682,0.20053018127995992,20723_20682,2063,330.0,1,42,,POINT (416599.5 4486349),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
20760,20715,0.20004916743958642,20760_20715,2184,260.0,5,33,0015_286.8,POINT (422902.51635 4480360.357),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20761,20709,0.23765781078797216,20761_20709,2184,260.0,1,38,0015_286.8,POINT (422896.5 4480328),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20763,20928,0.7541338845317102,20763_20928,2184,140.0,1,38,0015_286.8,POINT (423304.04375 4481041.274),15.0,27.0,I15,140.0,26827.2583508,2641468.06465
20764,20914,0.7171814998770167,20764_20914,2157,140.0,5,33,0015_286.8,POINT (423299.67610000004 4481009.683),15.0,27.0,I15,140.0,26827.2583508,2641468.06465
20796,20820,0.19341467886117242,20796_20820,2166,330.0,1,42,,POINT (420304 4483732.5),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
20796,20848,0.3858999849845524,20796_20848,2167,330.0,3,32,,POINT (420460 4483737),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
20797,20693,0.619490855774985,20797_20693,2165,340.0,3,32,0154_003.2,POINT (419654 4483746),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
20820,20848,0.19394893602363217,20820_20848,2167,330.0,1,41,,POINT (420614 4483714.5),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
20824,20797,0.19222926616619565,20824_20797,2097,340.0,1,41,,POINT (420306 4483782.5),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
20848,20865,0.46048918562386076,20848_20865,2167,330.0,3,32,0154_001.4,POINT (421079 4483514.5),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
20849,20797,0.38652031456534297,20849_20797,2167,340.0,3,32,,POINT (420462.5 4483750),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
20849,20824,0.19863917068889908,20849_20824,2098,340.0,1,42,,POINT (420616.50000000006 4483764.5),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
20865,21009,0.7711245675882654,20865_21009,2167,330.0,3,32,0154_001.4,POINT (422008.5 4483311),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
20868,20849,0.46342451933336093,20868_20849,2168,340.0,3,32,0154_001.4,POINT (421084.49999999994 4483527),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
20869,20922,0.18633162591682487,20869_20922,908,,2,35,,POINT (396304.28965 4508628.4555),,,,,,
20878,20870,0.04268579935397893,20878_20870,906,,2,35,,POINT (396207.8225 4508578.491),,,,,,
20899,20947,0.20031441857922966,20899_20947,2014,340.0,1,42,,POINT (416695.50000000006 4488466),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
20902,20878,0.07706812518636383,20902_20878,908,,1,31,,POINT (396283.554 4508637.918),,,,,,
20914,20975,0.23863790075664046,20914_20975,2158,140.0,5,33,,POINT (423692.17610000004 4481670.183),15.0,27.0,I15,140.0,26827.2583508,2641468.06465
20914,20982,0.25638275383928155,20914_20982,2158,140.0,1,42,,POINT (423720.47895 4481665.6975),15.0,27.0,I15,140.0,26827.2583508,2641468.06465
20922,20949,0.2201005209216857,20922_20949,908,300.0,1,31,,POINT (396598.09589999996 4508663.8325),1.0,9.0,I80,300.0,30933.6557647,3053360.77004
20922,21195,1.13226700087669,20922_21195,908,300.0,2,35,0080_101.5,POINT (397240.6372 4509125.147),1.0,9.0,I80,300.0,30933.6557647,3053360.77004
20924,20878,0.14187949161877056,20924_20878,908,,2,35,,POINT (396330.52379999997 4508662.1605),,,,,,
20925,20902,0.06326861945306456,20925_20902,908,,1,31,,POINT (396371.9379999999 4508708.1205),,,,,,
20927,20760,0.7700503129356948,20927_20760,2184,260.0,5,33,0015_286.8,POINT (423282 4481042.5),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20928,20976,0.20363724835194894,20928_20976,2179,140.0,1,38,,POINT (423698.54375 4481701.774),15.0,27.0,I15,140.0,26827.2583508,2641468.06465
20929,20761,0.7708962133900963,20929_20761,2184,260.0,1,38,0015_286.8,POINT (423289.5 4481038),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20933,20892,0.200164017881811,20933_20892,2013,330.0,1,41,,POINT (416617.5 4488469),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
20935,20925,0.07202690009645976,20935_20925,908,300.0,1,31,,POINT (396469.918 4508728.3225),1.0,9.0,I80,300.0,30933.6557647,3053360.77004
20944,20927,0.07643842370834006,20944_20927,2179,260.0,1,41,,POINT (423604.12899999996 4481641.4575),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20947,20977,0.19707803938392252,20947_20977,1999,340.0,1,41,,POINT (416713.5 4488780.5),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
20949,20935,0.16314886969130898,20949_20935,908,300.0,1,31,,POINT (396647.59095 4508666.3575),1.0,9.0,I80,300.0,30933.6557647,3053360.77004
20971,20933,0.1987819846752159,20971_20933,1998,330.0,1,42,,POINT (416638.5 4488784),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
20975,20976,0.004393768757295212,20975_20976,2179,145.0,1,39,,POINT (423800.49999999994 4481829.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
20975,21017,0.1681312184645558,20975_21017,2153,145.0,5,33,,POINT (423888.03229999996 4481932.228),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
20976,20975,0.004393768757295212,20976_20975,2179,145.0,1,39,,POINT (423800.49999999994 4481829.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
20976,21048,0.2656235813674277,20976_21048,2149,145.0,1,38,,POINT (423929.49999999994 4482000.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
20982,21039,0.22863744399349759,20982_21039,2153,145.0,1,41,,POINT (423953.2898 4481976.3675),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
20983,20944,0.1641003575914736,20983_20944,2179,260.0,1,41,,POINT (423691.9654 4481812.6785),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20985,20929,0.23898386431718513,20985_20929,2179,260.0,1,38,,POINT (423707.5 4481733.5),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20985,20986,0.004853076215036384,20985_20986,2149,260.0,1,39,,POINT (423819.5 4481891),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20986,20927,0.24109342255685798,20986_20927,2179,260.0,5,33,,POINT (423700.99999999994 4481738.5),24.0,36.0,I15,260.0,28133.836574,2771650.93587
20986,20985,0.004853076215036384,20986_20985,2149,260.0,1,39,,POINT (423819.5 4481891),24.0,36.0,I15,260.0,28133.836574,2771650.93587
21003,20983,0.08860795869032181,21003_20983,2149,260.0,1,42,,POINT (423814.80495 4481971.847),24.0,36.0,I15,260.0,28133.836574,2771650.93587
21009,21067,0.19501998162864362,21009_21067,2138,330.0,3,32,0154_001.4,POINT (422757.9243 4483401.468),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21010,20868,0.764324838252037,21010_20868,2168,340.0,3,32,0154_001.4,POINT (422011 4483328),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21017,21039,0.07589947066801343,21017_21039,2153,145.0,5,33,,POINT (424010.01925 4482086.081),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21038,20986,0.2465318492338616,21038_20986,2149,260.0,5,33,,POINT (423939.360665 4482050.144855),24.0,36.0,I15,260.0,28133.836574,2771650.93587
21038,21003,0.16733735048472248,21038_21003,2149,260.0,1,42,,POINT (423965.329215 4482112.270855),24.0,36.0,I15,260.0,28133.836574,2771650.93587
21039,21137,0.39609473576719983,21039_21137,2149,145.0,5,34,0015_288.2,POINT (424237.98695 4482389.853),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21048,21136,0.3736935844854013,21048_21136,2149,145.0,1,38,0015_288.2,POINT (424241.5 4482409.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21052,20985,0.2414414912024136,21052_20985,2149,260.0,1,38,,POINT (423943 4482040),24.0,36.0,I15,260.0,28133.836574,2771650.93587
21067,21110,0.1969936366745146,21067_21110,2138,330.0,2,42,,POINT (423019.15365 4483578.242000001),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21067,21156,0.38750109457687487,21067_21156,2138,330.0,3,32,,POINT (423111.8454 4483706.8115),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21070,21010,0.20276699833788708,21070_21010,2134,340.0,3,32,0154_001.4,POINT (422757.72735 4483430.277),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21110,21156,0.19697369463353226,21110_21156,2139,330.0,2,41,,POINT (423244.15045 4483794.1175),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21119,21070,0.19903407727303,21119_21070,2134,340.0,2,41,,POINT (422980.84335 4483658.077),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21125,21070,0.2395593108832403,21125_21070,2138,340.0,3,32,,POINT (423029.54705000005 4483658.966),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21133,21038,0.3450607889863059,21133_21038,2149,255.0,5,34,0015_288.2,POINT (424229.88236499997 4482427.235355),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21135,21052,0.3605274015777102,21135_21052,2149,255.0,1,38,0015_288.2,POINT (424239.5 4482423),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21136,21169,0.12549949064606308,21136_21169,2149,145.0,1,38,0015_288.2,POINT (424453.78385 4482745.8535),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21137,21171,0.12729565306298504,21137_21171,2150,145.0,5,34,0015_288.2,POINT (424463.60505 4482741.4085),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21156,21176,0.058800318363444015,21156_21176,2139,330.0,3,32,0154_000.8,POINT (423369.41895 4483957.001),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21164,21170,0.006778982709678474,21164_21170,2139,340.0,3,32,0154_000.8,POINT (423351.9629000001 4483969.353499999),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21167,21133,0.13778262023989937,21167_21133,2149,255.0,5,34,0015_288.2,POINT (424432.08065 4482753.6965),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21168,21135,0.12779446189335827,21168_21135,2149,255.0,1,38,0015_288.2,POINT (424445.4214 4482752.229499999),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21169,21274,0.5526551896398103,21169_21274,2141,145.0,1,38,0015_288.2,POINT (424492.78385 4483286.3535),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21170,21119,0.20994684276734263,21170_21119,2134,340.0,2,42,,POINT (423214.09294999996 4483881.335999999),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21170,21125,0.16170716910176947,21170_21125,2139,340.0,3,32,,POINT (423262.79665000003 4483882.225),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21171,21276,0.5541513599024664,21171_21276,2141,145.0,5,34,0015_288.2,POINT (424502.5863 4483283.7045),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21176,21186,0.05366514173302989,21176_21186,2139,330.0,3,32,0154_000.8,POINT (423437.65495 4484015.67),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21186,21215,0.11052821566754929,21186_21215,2139,330.0,3,32,0154_000.8,POINT (423555.8567 4484073.1435),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21188,21164,0.09555299988270873,21188_21164,2139,340.0,3,32,0154_000.8,POINT (423411.15260000003 4484009.4535),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21189,21239,0.20730488268557534,21189_21239,1981,340.0,1,42,,POINT (417324.5 4490424),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21195,21464,0.9645888944908471,21195_21464,908,300.0,2,35,0080_101.5,POINT (398699.09284999996 4509967.668),1.0,9.0,I80,300.0,30933.6557647,3053360.77004
21197,20924,1.1356341775698773,21197_20924,906,325.0,2,35,0080_101.5,POINT (397235.61215 4509148.092),3.0,11.0,I80,325.0,33098.1748993,3269816.37996
21215,21229,0.07000008172330353,21215_21229,2139,330.0,3,32,0154_000.8,POINT (423694.4466 4484111.867000001),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21217,21188,0.11229365583069338,21217_21188,2139,340.0,3,32,0154_000.8,POINT (423558.40434999997 4484086.391),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21220,21187,0.20675938551789352,21220_21187,1980,330.0,1,41,,POINT (417240 4490423),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21229,21258,0.1528872311485677,21229_21258,2139,330.0,3,32,0154_000.8,POINT (423873.5171 4484117.066500001),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21235,21217,0.08008737713533659,21235_21217,2139,340.0,3,32,0154_000.8,POINT (423706.6751 4484125.115),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21239,21270,0.2004724104696267,21239_21270,1956,340.0,1,41,,POINT (417325 4490746.5),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21258,21299,0.20037455065666854,21258_21299,2139,330.0,3,32,0154_000.5,POINT (424157.77009999997 4484115.3305),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21260,21235,0.14022664521508557,21260_21235,2139,340.0,3,32,0154_000.8,POINT (423883.7075 4484131.6055),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21266,21220,0.20085627420263802,21266_21220,1970,330.0,1,42,,POINT (417241 4490746),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21272,21167,0.5403018426896918,21272_21167,2141,255.0,5,34,0015_288.2,POINT (424473.41155 4483293.9155),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21273,21168,0.5463347824919476,21273_21168,2141,255.0,1,38,0015_288.2,POINT (424482.65025 4483290.0254999995),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21274,21322,0.2031926852938182,21274_21322,2139,145.0,1,38,,POINT (424501 4483894.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21276,21325,0.20407250603960295,21276_21325,2143,145.0,5,34,,POINT (424508.48125 4483893.796),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21276,21338,0.24145912521445762,21276_21338,2143,145.0,2,42,,POINT (424541.48125 4483920.796),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21299,21319,0.06897517268762927,21299_21319,2139,255.0,3,32,,POINT (424374.5 4484114.5),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21304,21260,0.2016164154444542,21304_21260,2139,340.0,3,32,0154_000.5,POINT (424158.7701 4484131.2455),40.0,318.0,Bangerter,340.0,34139.0929409,3373893.39047
21319,21272,0.24214513222850484,21319_21272,2139,255.0,2,41,,POINT (424455.3526 4483921.8094999995),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21322,21325,0.004970981893198455,21322_21325,2139,145.0,1,39,,POINT (424506 4484058),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21322,21387,0.28896237467926517,21322_21387,2128,145.0,1,38,,POINT (424505 4484290.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21323,21304,0.0677324785685091,21323_21304,2128,255.0,3,32,,POINT (424375.5 4484130.5),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
