N,MODE,OPERATOR,NAME,LONGNAME,STOP,STOP4,STOP5,STOP6,STOP7,STOP8,STOP9,X,Y,TAZID,geometry
10046,9,0,O603,O603,1,0,0,0,0,0,1,417871.0,4564006.0,368,POINT (417871 4564006)
28812,9,0,O603,O603,0,0,0,0,0,0,0,417958.7039,4564037.554,369,POINT (417958.7039 4564037.554)
28808,9,0,O603,O603,0,0,0,0,0,0,0,417957.5414,4563967.26633,369,POINT (417957.5414 4563967.26633)
28806,9,0,O603,O603,0,0,0,0,0,0,0,417957.1341,4563942.192,390,POINT (417957.1341 4563942.192)
28796,9,0,O603,O603,0,0,0,0,0,0,0,417953.0619,4563825.935,390,POINT (417953.0619 4563825.935)
28790,9,0,O603,O603,1,0,0,0,0,0,1,417950.0,4563732.0,390,POINT (417950 4563732)
28772,9,0,O603,O603,1,0,0,0,0,0,1,417941.0,4563489.0,389,POINT (417941 4563489)
28777,9,0,O603,O603,0,0,0,0,0,0,0,418057.0,4563491.0,389,POINT (418057 4563491)
28788,9,0,O603,O603,0,0,0,0,0,0,0,418173.0,4563488.0,389,POINT (418173 4563488)
28795,9,0,O603,O603,1,0,0,0,0,0,1,418295.0,4563482.0,391,POINT (418295 4563482)
28805,9,0,O603,O603,0,0,0,0,0,0,0,418407.0,4563481.0,391,POINT (418407 4563481)
28813,9,0,O603,O603,0,0,0,0,0,0,0,418525.0,4563479.0,394,POINT (418525 4563479)
28823,9,0,O603,O603,1,0,0,0,0,0,1,418642.0,4563473.0,393,POINT (418642 4563473)
28835,9,0,O603,O603,0,0,0,0,0,0,0,418754.0,4563473.0,396,POINT (418754 4563473)
28845,9,0,O603,O603,0,0,0,0,0,0,0,418882.0,4563469.0,396,POINT (418882 4563469)
28871,9,0,O603,O603,0,0,0,0,0,0,0,419203.0,4563462.0,398,POINT (419203 4563462)
28899,9,0,O603,O603,1,0,0,0,0,0,1,419584.9198,4563448.305,400,POINT (419584.9198 4563448.305)
28920,9,0,O603,O603,0,0,0,0,0,0,0,419584.0,4563679.0,398,POINT (419584 4563679)
