TAZID,AreaTAZ,WalkBuff,AreaLocal,WalkLocal
16,3052772.0499998936,1,11912.705718140498,0.0
19,853780.3999998171,1,726362.5041423282,85.0
20,879416.7299999762,1,336850.7986722657,38.0
23,548785.5650001763,1,78442.52407526343,14.0
24,411393.3900000652,1,411393.39000006526,100.0
25,457476.44999993773,1,457476.44999993755,100.0
26,229179.60499982475,1,229179.60499982486,100.0
28,822730.5850005983,1,90263.05714187052,11.0
29,338212.8149998613,1,338212.81499986135,100.0
30,440222.00000008737,1,440222.00000008737,100.0
31,259190.3099999994,1,259190.30999999936,100.0
32,188606.92000025362,1,160058.49046623442,85.0
33,259857.3249999111,1,172421.61344712076,66.0
38,838788.3999992248,1,99268.08349716675,12.0
39,334378.6350000482,1,334378.63500004815,100.0
40,478008.4799998815,1,478008.4799998815,100.0
41,172868.72000004604,1,172868.72000004607,100.0
42,176170.62499984071,1,114749.765381416,65.0
50,1003791.3949993757,1,51680.74763493533,5.0
51,188799.58354489008,1,160881.8043736855,85.0
52,184172.17424171447,1,184172.17424171447,100.0
53,313978.2704162335,1,313978.27041623346,100.0
54,295071.8949999429,1,295071.8949999429,100.0
55,303569.27000004397,1,194173.94509842966,64.0
61,357106.3949998715,1,170798.39887019424,48.0
62,304423.4382722059,1,304423.4382722059,100.0
63,144756.68267612092,1,144756.68267612086,100.0
64,345493.7799998394,1,345493.7799998394,100.0
65,395615.35584910336,1,395615.3558491033,100.0
66,207642.53000031982,1,207642.53000031982,100.0
67,232381.4599999107,1,232381.4599999107,100.0
68,212328.1850000307,1,134243.5597285193,63.0
69,233801.2749997959,1,149366.4181504256,64.0
75,618007.0249998743,1,287784.98986867623,47.0
76,465154.0450001081,1,142603.14234789985,31.0
77,324884.1900000709,1,324884.1900000709,100.0
78,454023.98500004556,1,454023.9850000456,100.0
79,159448.49500019028,1,159448.49500019028,100.0
80,188422.38500000056,1,188422.38500000056,100.0
81,758006.5000006399,1,143330.89667804245,19.0
82,617334.6549995643,1,525144.6558491949,85.0
83,460567.0150002645,1,141585.4468816161,31.0
84,214810.99999970943,1,214810.99999970943,100.0
85,231342.1499998134,1,165775.35723751714,72.0
88,832257.9599999229,1,51.62098359171226,0.0
89,806462.6349998746,1,568151.6271960111,70.0
90,1098076.0750001445,1,866782.7746365502,79.0
91,609322.7550002253,1,533139.8057036202,87.0
92,501691.80000002705,1,484301.239843446,97.0
94,833126.5999999999,1,16280.683335030779,2.0
95,754770.719999973,1,668117.0255420068,89.0
96,669521.5750001218,1,506634.11600666225,76.0
100,476066.70000012405,1,63037.759940768614,13.0
101,916695.5100005,1,906644.1679604832,99.0
103,792201.5799997837,1,135436.3972395758,17.0
104,612309.9799999078,1,612309.9799999077,100.0
105,399719.5349998814,1,399719.53499988135,100.0
106,816343.8912433181,1,816343.8912433188,100.0
108,359400.2499997536,1,359061.9371599586,100.0
110,397294.250000134,1,12245.36237330773,3.0
113,832377.8849999051,1,778412.5767318461,94.0
114,637028.7575920356,1,637028.7575920357,100.0
116,441298.18499983335,1,19994.00255724368,5.0
117,424511.2200003916,1,418215.2286169754,99.0
118,331912.2489568005,1,330158.89676805487,99.0
120,933131.4049996653,1,228561.11519771258,24.0
121,465535.17999984644,1,465535.1799998463,100.0
122,612582.2676310756,1,609573.96087062,100.0
124,499444.25500001945,1,158991.45594897063,32.0
125,250022.43999992363,1,250022.43999992372,100.0
126,802259.0587499455,1,719627.0024261832,90.0
127,517262.8000009278,1,190853.73227864818,37.0
128,405402.4100000925,1,405402.4100000929,100.0
129,945669.399999333,1,771303.2540482511,82.0
130,415353.38649991,1,395112.39391540014,95.0
131,503764.40500051103,1,430761.5206882285,86.0
132,1108391.214506284,1,1047654.6085674679,95.0
133,1717931.2450002588,1,1405925.8802465003,82.0
136,1665984.9750001575,1,973475.0340346108,58.0
137,1135700.3450000936,1,48721.16440867302,4.0
138,1181585.6200001852,1,1162655.241095408,98.0
139,2243910.6291692387,1,1675760.9147953922,75.0
141,1704445.8749686172,1,245598.2062991553,14.0
143,877520.491129767,1,877520.4911297681,100.0
151,67884293.49623497,1,90205.7187106421,0.0
152,45646264.788727485,1,646702.3737201724,1.0
153,7064859.742455378,1,50388.75502430925,1.0
595,1304630.515000209,1,519048.2530697627,40.0
596,652861.4100000663,1,520699.8834540564,80.0
600,1282502.536499441,1,512705.4795068681,40.0
601,641067.3872655588,1,508566.6276081421,79.0
604,879053.4947065883,1,397667.1183086982,45.0
605,494055.59238849377,1,394388.1846355162,80.0
609,1306994.4649996704,1,518312.02437523537,40.0
610,653767.4600001409,1,521340.999007544,80.0
611,627871.8249998601,1,314740.52764678694,50.0
612,649643.7750003289,1,517323.95980764145,80.0
614,1305447.7499997793,1,518896.7530806176,40.0
615,650448.4800001258,1,517363.7986488664,80.0
616,650822.6150001637,1,521183.91779141536,80.0
617,642558.2050001516,1,616362.9450827985,96.0
618,1308541.7000006365,1,522688.98159840395,40.0
619,650840.3750003455,1,516130.0102662151,79.0
620,711580.9599997039,1,582849.7216268512,82.0
621,595683.054999935,1,456292.41381605633,77.0
622,565163.9135686166,1,415288.78214378085,73.0
623,532449.2283829551,1,532449.2283829552,100.0
624,706224.3550002087,1,674253.3501653714,95.0
625,691958.0399996364,1,663885.662699616,96.0
626,308696.7450000363,1,308696.7450000364,100.0
627,682577.1100005448,1,556375.2349766551,82.0
628,345579.38999966084,1,345579.38999966084,100.0
629,15562620.353828236,1,324850.2099259853,2.0
630,728125.9950002497,1,181028.13471151283,25.0
631,1070917.0549993422,1,217170.82285977225,20.0
633,2368702.6610303414,1,216370.064648333,9.0
634,2380016.8225932377,1,1048975.0922533234,44.0
637,2189141.6662242706,1,83725.6793581843,4.0
638,1513119.170000388,1,372775.33324867056,25.0
639,1053656.0676748303,1,744072.1618347069,71.0
640,531797.3783874776,1,434555.5255130745,82.0
641,2000849.5527559645,1,1590043.6762171474,79.0
642,1018087.7749998649,1,548923.3370614286,54.0
643,861979.3600000642,1,729652.7245700987,85.0
644,555652.4950002268,1,333124.39017928246,60.0
645,693575.5999999148,1,650566.4813863703,94.0
646,1052074.084999636,1,875104.4906120413,83.0
647,563584.6850004193,1,143817.82335035,26.0
648,644210.0001373227,1,513314.25004780275,80.0
649,607862.4216344826,1,607862.4216344827,100.0
650,441343.8773368299,1,381910.06835241616,87.0
651,845223.2946034478,1,827978.1270433533,98.0
652,480835.98707530176,1,480835.98707530176,100.0
653,349273.36699390045,1,349273.36699390033,100.0
654,805548.4497327686,1,769889.8521428216,96.0
655,1079992.7189624081,1,867214.7170438102,80.0
657,1898459.0091774205,1,955182.5628797793,50.0
658,343039.691319041,1,343039.69131904095,100.0
659,335904.1450356338,1,335904.14503563376,100.0
660,868096.8036985812,1,832588.8941850105,96.0
661,784446.1014236384,1,737546.1038226361,94.0
662,475712.97499994584,1,475712.9749999458,100.0
663,2368115.9808769356,1,1901641.060440901,80.0
664,592350.372016415,1,592350.3720164151,100.0
665,1287926.1076515699,1,516570.3502117472,40.0
666,1257189.2684876553,1,997266.6625978808,79.0
668,1304270.9899091555,1,520124.7407639286,40.0
669,1309469.7511722269,1,867079.6150575941,66.0
671,1255584.7667312138,1,478594.47680554265,38.0
672,691497.9182224198,1,518884.5520380925,75.0
674,1250389.3199993123,1,555524.1694023003,44.0
675,1301694.532605801,1,1148057.7389920005,88.0
679,1447151.2750001394,1,327368.5357370033,23.0
680,1289570.0399998694,1,1035950.0758924772,80.0
681,1298175.7054895433,1,523344.0030592066,40.0
692,1323350.3499999915,1,541869.8702848875,41.0
693,1291382.7775258943,1,1291382.777525894,100.0
694,870158.5149120975,1,482894.6166661565,55.0
697,1763211.1066197075,1,143585.393309508,8.0
698,2479068.6706659524,1,1064521.0408031123,43.0
699,2023226.5478572666,1,1676034.777027076,83.0
700,611200.014169788,1,611200.014169788,100.0
701,955178.6901767377,1,533570.7575846984,56.0
