A,B,LINKID,FTTYPE,FT,SEGID,NET_DIR,SEG_DIR,NOTES,FIX,,,,
65154,65153,65154_65153,Non-Freeway,4,2851_000.0,WB,NB/SB,,,,,,
65611,65629,65611_65629,Non-Freeway,4,2856_002.8,NB,EB/WB,"No EB/WB links within segment, so unable to get correct direction.",mismatch probably ok,,,,
65629,65611,65629_65611,Non-Freeway,4,2856_002.8,SB,EB/WB,,,,,,
65709,71101,65709_71101,Non-Freeway,5,MAG_6282,EB,NB/SB,SEGID coded as NB/SB when it should be EB/WB,Fix Segment Direction in seg shp,,,,
65710,71101,65710_71101,Non-Freeway,5,MAG_6282,WB,NB/SB,,,,,,
65710,71126,65710_71126,Non-Freeway,5,MAG_6282,EB,NB/SB,,,,,,
65714,71126,65714_71126,Non-Freeway,5,MAG_6282,WB,NB/SB,,,,,,
66123,66130,66123_66130,Non-Freeway,4,MAG_6866,NB,EB/WB,"No EB/WB links within segment, so unable to get correct direction.",mismatch probably ok,,,,
66130,66123,66130_66123,Non-Freeway,4,MAG_6866,SB,EB/WB,,,,,,
66130,66138,66130_66138,Non-Freeway,4,MAG_6497,NB,EB/WB,"No EB/WB links within segment, so unable to get correct direction.",mismatch probably ok,,,,
66138,66130,66138_66130,Non-Freeway,4,MAG_6497,SB,EB/WB,,,,,,
67714,67716,67714_67716,Non-Freeway,5,MAG_6602,SB,EB/WB,"No EB/WB links within segment, so unable to get correct direction.",mismatch probably ok,,,,
67716,67714,67716_67714,Non-Freeway,5,MAG_6602,NB,EB/WB,,,,,,
68408,63517,68408_63517,Non-Freeway,3,MAG_6483,SB,EB/WB,Incorrect SEGID coded in Network,Change to empty SEGID in network,,,,
68408,68430,68408_68430,Non-Freeway,3,MAG_6483,NB,EB/WB,,,,,,
68430,68408,68430_68408,Non-Freeway,3,MAG_6483,SB,EB/WB,,,,,,
68430,68452,68430_68452,Non-Freeway,3,MAG_6483,NB,EB/WB,,,,,,
68452,68430,68452_68430,Non-Freeway,3,MAG_6483,SB,EB/WB,,,,,,
68845,68903,68845_68903,Non-Freeway,13,MAG_6075,NB,EB/WB,"No EB/WB links within segment, so unable to get correct direction.",mismatch probably ok,,,,
68903,68845,68903_68845,Non-Freeway,13,MAG_6075,SB,EB/WB,,,,,,
69379,69403,69379_69403,Non-Freeway,3,0089_352.0,WB,NB/SB,"No EB/WB links within segment, so unable to get correct direction.",mismatch probably ok,,,,
69403,69379,69403_69379,Non-Freeway,3,0089_352.0,EB,NB/SB,,,,,,
69541,69544,69541_69544,Non-Freeway,3,0015_282.2,NB,EB/WB,Frontage Road for Freeway segment,mismatch probably ok,,,,
69544,69550,69544_69550,Non-Freeway,3,0015_282.2,NB,EB/WB,,,,,,
69547,60896,69547_60896,Non-Freeway,3,0015_282.2,SB,EB/WB,,,,,,
69550,69544,69550_69544,Non-Freeway,3,0015_282.2,SB,EB/WB,,,,,,
69550,69584,69550_69584,Non-Freeway,3,0015_282.2,NB,EB/WB,,,,,,
69584,69550,69584_69550,Non-Freeway,3,0015_282.2,SB,EB/WB,,,,,,
69584,69597,69584_69597,Non-Freeway,3,0015_282.2,NB,EB/WB,,,,,,
69597,69584,69597_69584,Non-Freeway,3,0015_282.2,SB,EB/WB,,,,,,
71009,65098,71009_65098,Non-Freeway,2,0006_155.8,EB,NB/SB,Incorrect SEGID coded in Network,Change to 0006_152.9 for 65098_71009 and reverse link,,,,
71101,65709,71101_65709,Non-Freeway,5,MAG_6282,WB,NB/SB,SEGID coded as NB/SB when it should be EB/WB,Fix Segment Direction in seg shp,,,,
71101,65710,71101_65710,Non-Freeway,5,MAG_6282,EB,NB/SB,,,,,,
71126,65710,71126_65710,Non-Freeway,5,MAG_6282,WB,NB/SB,,,,,,
71126,65714,71126_65714,Non-Freeway,5,MAG_6282,EB,NB/SB,,,,,,
71361,66357,71361_66357,Non-Freeway,5,MAG_6070,EB,NB/SB,Incorrect SEGID coded in Network,Change to MAG_6270,,,,
