TAZID,TAZID_V832,SORT,CO_IDX,CO_TAZID,SUBAREAID,ACRES,DEVACRES,DEVPBLEPCT,X,Y,ADJ_XY,CO_FIPS,CO_NAME,CITY_FIPS,CITY_UGRC,CITY_NAME,DISTSUPER,DSUP_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CBD,TERMTIME,PRKCSTPERM,PRKCSTTEMP,WALK100,ECOEDPASS,FREEFARE,REMM,PLANAREA,SUBPLNAREA,AreaTAZ,WalkBuff,geometry,AreaPrem,WalkPrem
638,487,210,57,110057,1,373.899559164,373.899559164,1.0,422703.433107,4553068.42286999,0,11,DAVIS,71180,SWE,South Weber,5,Davis County,8,Davis County - North,19,HAFB Area,191,Small District 191,0,0,0.0,0.0,0,0,0,1,WFRC,Northern Davis County,1513119.170000388,1,"POLYGON ((423137.5 4553243.300000001, 423196.0999999996 4553244, 423270.5 4553257.300000001, 423401.5 4553305, 423429.0999999996 4553315.199999999, 423484.7999999998 4553328.800000001, 423500.7999999998 4553332.6, 423517.4000000004 4553336.699999999, 423551.0999999996 4553346.6, 423551.0999999996 4553343.6, 423611 4553352.9, 423691.9000000004 4553365.5, 423763.5999999996 4553377.4, 423775.9000000004 4553381.1, 423785 4553337.6, 423791.2000000002 4553281.1, 423797.4000000004 4553228.4, 423796.5999999996 4553212.9, 423788.5 4553046.800000001, 423786.2000000002 4552999.5, 423750.5999999996 4552989.9, 423741 4552986.800000001, 423726.2000000002 4552981.9, 423714.2000000002 4552977.9, 423666.0999999996 4552965.800000001, 423628.2000000002 4552957.300000001, 423615.9000000004 4552943.300000001, 423605.2000000002 4552899.9, 423599 4552864.800000001, 423592.9000000004 4552832.6, 423581.0999999996 4552801.9, 423574 4552794.800000001, 423552 4552778, 423549.0999999996 4552776.699999999, 423507 4552757.699999999, 423497.2743190925 4552754.508959597, 423447.65228568955 4552772.264007052, 423390.5441959878 4552799.274121899, 423336.3585515645 4552831.751747304, 423285.61718979635 4552869.384105978, 423238.8087777352 4552911.808777736, 423196.38410597737 4552958.617189797, 423158.7517473034 4553009.358551565, 423126.27412189945 4553063.544195988, 423099.26400705206 4553120.6522856895, 423077.98152493255 4553180.132838547, 423062.6316374779 4553241.413024322, 423062.20274875785 4553244.304357216, 423137.5 4553243.300000001))",291279.9632852635,19.0
639,485,211,58,110058,1,260.363854365,255.156577278,0.98,423066.524182,4553748.86249,0,11,DAVIS,71180,SWE,South Weber,5,Davis County,8,Davis County - North,19,HAFB Area,191,Small District 191,0,0,0.0,0.0,0,0,0,1,WFRC,Northern Davis County,1053656.0676748303,1,"POLYGON ((423573.7000000002 4553865.1, 423664.5 4553667, 423684.4000000004 4553623.4, 423738.2000000002 4553516.4, 423742.2999999998 4553504.699999999, 423751.5999999996 4553477.6, 423775.9000000004 4553381.1, 423763.5999999996 4553377.4, 423691.9000000004 4553365.5, 423611 4553352.9, 423551.0999999996 4553343.6, 423551.0999999996 4553346.6, 423517.4000000004 4553336.699999999, 423500.7999999998 4553332.6, 423484.7999999998 4553328.800000001, 423429.0999999996 4553315.199999999, 423401.5 4553305, 423270.5 4553257.300000001, 423196.0999999996 4553244, 423137.5 4553243.300000001, 423062.20274875785 4553244.304357216, 423053.3621724954 4553303.902681326, 423050.2624 4553367, 423053.3621724954 4553430.097318674, 423062.6316374779 4553492.586975678, 423077.98152493255 4553553.867161453, 423099.26400705206 4553613.3477143105, 423126.27412189945 4553670.455804012, 423158.7517473034 4553724.641448435, 423196.38410597737 4553775.382810203, 423238.8087777352 4553822.191222264, 423285.61718979635 4553864.615894022, 423336.3585515645 4553902.248252696, 423390.5441959878 4553934.725878101, 423447.65228568955 4553961.735992948, 423507.13283854746 4553983.018475068, 423511.26403181447 4553984.053285111, 423573.7000000002 4553865.1))",344425.06605698884,33.0
640,486,212,59,110059,1,131.409877878,122.211186426,0.93,423976.373876,4553907.80513,0,11,DAVIS,71180,SWE,South Weber,5,Davis County,8,Davis County - North,19,HAFB Area,191,Small District 191,0,0,0.0,0.0,0,0,0,1,WFRC,Northern Davis County,531797.3783874776,1,"POLYGON ((424174.7999999998 4553663.9, 424124.5 4553588.199999999, 424096.9000000004 4553557.199999999, 424082.4000000004 4553540.800000001, 424035.0999999996 4553499, 423982.4000000004 4553460.4, 423920 4553425.800000001, 423903.4000000004 4553418.199999999, 423882.9000000004 4553410, 423878 4553408.1, 423799.0999999996 4553384.199999999, 423780.0999999996 4553381.5, 423775.9000000004 4553381.1, 423751.5999999996 4553477.6, 423742.2999999998 4553504.699999999, 423738.2000000002 4553516.4, 423684.4000000004 4553623.4, 423664.5 4553667, 423573.7000000002 4553865.1, 423511.26403181447 4553984.053285111, 423568.41302432213 4553998.368362522, 423630.9026813254 4554007.637827504, 423694 4554010.7376, 423757.0973186746 4554007.637827504, 423819.58697567787 4553998.368362522, 423880.86716145254 4553983.018475068, 423940.34771431045 4553961.735992948, 423997.4558040122 4553934.725878101, 424051.6414484355 4553902.248252696, 424102.38281020365 4553864.615894022, 424149.1912222648 4553822.191222264, 424191.61589402263 4553775.382810203, 424220.7949362109 4553736.039426267, 424174.7999999998 4553663.9))",261585.26047062827,49.0
641,489,213,60,110060,1,494.420254903,360.926786079,0.73,424153.559193999,4552612.00009999,0,11,DAVIS,71180,SWE,South Weber,5,Davis County,8,Davis County - North,19,HAFB Area,191,Small District 191,0,0,0.0,0.0,0,0,0,1,WFRC,Northern Davis County,2000849.5527559645,1,"POLYGON ((423766 4552773.300000001, 423782.5 4552959.800000001, 423785.4000000004 4552979.300000001, 423785.4000000004 4552982.6, 423786.2000000002 4552999.5, 423788.5 4553046.800000001, 423796.5999999996 4553212.9, 423797.4000000004 4553228.4, 423791.2000000002 4553281.1, 423785 4553337.6, 423775.9000000004 4553381.1, 423780.0999999996 4553381.5, 423799.0999999996 4553384.199999999, 423878 4553408.1, 423882.9000000004 4553410, 423903.4000000004 4553418.199999999, 423920 4553425.800000001, 423982.4000000004 4553460.4, 424035.0999999996 4553499, 424082.4000000004 4553540.800000001, 424096.9000000004 4553557.199999999, 424124.5 4553588.199999999, 424174.7999999998 4553663.9, 424220.7949362109 4553736.039426267, 424229.2482526966 4553724.641448435, 424261.72587810055 4553670.455804012, 424288.73599294794 4553613.3477143105, 424310.01847506745 4553553.867161453, 424325.3683625221 4553492.586975678, 424334.6378275046 4553430.097318674, 424337.7376 4553367, 424334.6378275046 4553303.902681326, 424325.3683625221 4553241.413024322, 424310.01847506745 4553180.132838547, 424288.73599294794 4553120.6522856895, 424261.72587810055 4553063.544195988, 424229.2482526966 4553009.358551565, 424191.61589402263 4552958.617189797, 424149.1912222648 4552911.808777736, 424102.38281020365 4552869.384105978, 424051.6414484355 4552831.751747304, 423997.4558040122 4552799.274121899, 423940.34771431045 4552772.264007052, 423880.86716145254 4552750.981524932, 423819.58697567787 4552735.631637478, 423761.1183428658 4552726.95863509, 423766 4552773.300000001))",355961.38863312785,18.0
642,488,214,61,110061,1,251.574745605,228.933018501,0.91,422989.559434,4552369.68554999,0,11,DAVIS,71180,SWE,South Weber,5,Davis County,8,Davis County - North,19,HAFB Area,191,Small District 191,0,0,0.0,0.0,0,0,0,1,WFRC,Northern Davis County,1018087.7749998649,1,"POLYGON ((423507 4552757.699999999, 423549.0999999996 4552776.699999999, 423552 4552778, 423574 4552794.800000001, 423581.0999999996 4552801.9, 423592.9000000004 4552832.6, 423599 4552864.800000001, 423605.2000000002 4552899.9, 423615.9000000004 4552943.300000001, 423628.2000000002 4552957.300000001, 423666.0999999996 4552965.800000001, 423714.2000000002 4552977.9, 423726.2000000002 4552981.9, 423741 4552986.800000001, 423750.5999999996 4552989.9, 423786.2000000002 4552999.5, 423785.4000000004 4552982.6, 423785.4000000004 4552979.300000001, 423782.5 4552959.800000001, 423766 4552773.300000001, 423761.1183428658 4552726.95863509, 423757.0973186746 4552726.362172496, 423694 4552723.2624, 423630.9026813254 4552726.362172496, 423568.41302432213 4552735.631637478, 423507.13283854746 4552750.981524932, 423497.2743190925 4552754.508959597, 423507 4552757.699999999))",46528.04923462304,5.0
657,468,229,76,110076,1,469.119028285,469.119028285,1.0,413336.671842999,4550428.47211,0,11,DAVIS,13850,CLR,Clearfield,5,Davis County,8,Davis County - North,18,Clinton - West Point - Clearfield,181,Small District 181,0,0,0.0,0.0,0,0,0,1,WFRC,Northern Davis County,1898459.0091774205,1,"POLYGON ((414578.8716000002 4550242.5853, 414677.04000000004 4550067.630000001, 414265.11000000034 4549808.35, 414204.00628095435 4549903.906865336, 414213.24982493254 4549940.809161453, 414234.53230705205 4550000.28971431, 414261.54242189944 4550057.397804012, 414294.0200473034 4550111.583448435, 414331.65240597737 4550162.324810203, 414374.0770777352 4550209.133222264, 414420.88548979635 4550251.557894022, 414471.6268515645 4550289.190252696, 414525.8124959878 4550321.667878101, 414532.6983371527 4550324.924638424, 414578.8716000002 4550242.5853))",121152.78506655835,6.0
658,472,230,77,110077,1,84.7668753267,84.7668753267,1.0,414744.708611999,4550406.19677,0,11,DAVIS,13850,CLR,Clearfield,5,Davis County,8,Davis County - North,18,Clinton - West Point - Clearfield,181,Small District 181,0,0,0.0,0.0,0,0,0,1,WFRC,Northern Davis County,343039.691319041,1,"POLYGON ((415269.8315000003 4550022.900900001, 415177.0999999996 4550023.3993999995, 415084.20189999975 4550023.9397, 415084.16000000015 4550023.9399999995, 415087.69959999993 4550098.68, 414766.63999999966 4550109.08, 414766.41000000015 4550089.08, 414730.3820000002 4550089.500700001, 414694.4900000002 4550089.92, 414683.8622000003 4550076.3444, 414677.04000000004 4550067.630000001, 414578.8716000002 4550242.5853, 414532.6983371527 4550324.924638424, 414582.92058568954 4550348.677992947, 414642.40113854746 4550369.960475068, 414703.6813243221 4550385.310362522, 414766.1709813254 4550394.579827504, 414829.2683 4550397.679599999, 414892.3656186746 4550394.579827504, 414954.85527567787 4550385.310362522, 415016.13546145253 4550369.960475068, 415017.8982399869 4550369.329742823, 415269.8315000003 4550022.900900001))",159710.57718482596,47.0
659,473,231,78,110078,1,83.0036565947,83.0036565947,1.0,415210.024553,4550426.93551,0,11,DAVIS,13850,CLR,Clearfield,5,Davis County,8,Davis County - North,18,Clinton - West Point - Clearfield,181,Small District 181,0,0,0.0,0.0,0,0,0,1,WFRC,Northern Davis County,335904.1450356338,1,"POLYGON ((415438.90490000043 4549796.479599999, 415438.5318999998 4549796.678300001, 415438.2000000002 4549797.199999999, 415337.2000000002 4549932.699999999, 415286.12480000034 4550001.256100001, 415269.8315000003 4550022.900900001, 415017.8982399869 4550369.329742823, 415075.61601431045 4550348.677992947, 415132.7241040122 4550321.667878101, 415186.9097484355 4550289.190252696, 415237.65111020365 4550251.557894022, 415284.4595222648 4550209.133222264, 415326.8841940226 4550162.324810203, 415364.5165526966 4550111.583448435, 415396.99417810055 4550057.397804012, 415424.00429294794 4550000.28971431, 415440.9481536983 4549952.93479587, 415438.90490000043 4549796.479599999))",63194.52717363842,19.0
660,473,232,79,110079,1,214.511205923,214.511205923,1.0,415844.312335999,4549969.89249,0,11,DAVIS,13850,CLR,Clearfield,5,Davis County,8,Davis County - North,18,Clinton - West Point - Clearfield,181,Small District 181,0,0,0.0,0.0,0,0,0,1,WFRC,Northern Davis County,868096.8036985812,1,"POLYGON ((415438.9400000004 4549796.119999999, 415438.9008999998 4549796.1734, 415438.90490000043 4549796.479599999, 415440.9481536983 4549952.93479587, 415445.28677506745 4549940.809161453, 415460.6366625221 4549879.528975678, 415469.9061275046 4549817.039318674, 415473.0059 4549753.942, 415472.78729207284 4549749.492133416, 415438.9400000004 4549796.119999999))",3814.675028126677,0.0
663,468,235,82,110082,1,585.173684119,579.321947277,0.99,413587.053585999,4549587.01652999,0,11,DAVIS,13850,CLR,Clearfield,5,Davis County,8,Davis County - North,18,Clinton - West Point - Clearfield,181,Small District 181,0,0,0.0,0.0,0,0,0,1,WFRC,Northern Davis County,2368115.9808769356,1,"POLYGON ((415170.88970013644 4549209.091699877, 415132.7241040122 4549186.216121899, 415075.61601431045 4549159.206007052, 415037.2685673511 4549145.485071132, 415033.8300000001 4549145.550000001, 414951.01999999955 4549147.18, 414940.61000000034 4549147.300000001, 414940.5999999996 4549147.300100001, 414926.0999999996 4549147.4999, 414926.0599999996 4549147.500499999, 414747.9400000004 4549149.98, 414624.20999999996 4549151.66, 414603.2200773827 4549151.942732784, 414582.92058568954 4549159.206007052, 414525.8124959878 4549186.216121899, 414471.6268515645 4549218.693747303, 414420.88548979635 4549256.326105977, 414374.0770777352 4549298.750777735, 414331.65240597737 4549345.559189796, 414294.0200473034 4549396.300551564, 414261.54242189944 4549450.486195988, 414234.53230705205 4549507.594285689, 414213.24982493254 4549567.074838547, 414197.8999374779 4549628.355024322, 414188.6304724954 4549690.844681325, 414185.5307 4549753.942, 414188.6304724954 4549817.039318674, 414197.8999374779 4549879.528975678, 414204.00628095435 4549903.906865336, 414265.11000000034 4549808.35, 414677.04000000004 4550067.630000001, 414743.23000000045 4549949.67, 414765.5800000001 4549914.99, 414807.6699999999 4549849.449999999, 414850.20999999996 4549783.210000001, 414937.91000000015 4549626.18, 414983.01999999955 4549545.41, 415170.88970013644 4549209.091699877))",552800.1316929208,23.0
