N,STOP,X,Y,TAZID,geometry
10046,1,417871.0,4564006.0,368,POINT (417871 4564006)
28790,1,417950.0,4563732.0,390,POINT (417950 4563732)
28772,1,417941.0,4563489.0,389,POINT (417941 4563489)
28795,1,418295.0,4563482.0,391,POINT (418295 4563482)
28823,1,418642.0,4563473.0,393,POINT (418642 4563473)
28899,1,419584.9198,4563448.305,400,POINT (419584.9198 4563448.305)
28935,1,419587.0,4563915.0,377,POINT (419587 4563915)
28966,1,420066.0,4563901.0,379,POINT (420066 4563901)
28988,1,420526.0,4563892.0,381,POINT (420526 4563892)
28963,1,420512.0,4563424.0,402,POINT (420512 4563424)
28951,1,420506.0,4563181.0,401,POINT (420506 4563181)
28918,1,420495.0,4562728.0,420,POINT (420495 4562728)
28894,1,420489.0,4562490.0,419,POINT (420489 4562490)
28877,1,420482.0,4562261.0,419,POINT (420482 4562261)
28841,1,420470.0,4561804.0,433,POINT (420470 4561804)
28820,1,421010.0,4561098.0,437,POINT (421010 4561098)
28727,1,420438.0,4560596.0,437,POINT (420438 4560596)
28678,1,420412.0,4559877.0,441,POINT (420412 4559877)
28651,1,420398.0,4559493.0,440,POINT (420398 4559493)
28631,1,420385.0,4559134.0,442,POINT (420385 4559134)
28595,1,420378.9988,4558737.925,443,POINT (420378.9988 4558737.925)
66744,1,444231.5478,4451126.713,3019,POINT (444231.5478 4451126.713)
66770,1,444180.6563,4451788.624,3020,POINT (444180.6563 4451788.624)
66788,1,443768.6496,4452096.577,2998,POINT (443768.6496 4452096.577)
50024,1,443771.3641,4452975.47,3001,POINT (443771.3641 4452975.47)
66882,1,443962.5606,4453315.83,3011,POINT (443962.5606 4453315.83)
66941,1,443966.125,4453905.956,2968,POINT (443966.125 4453905.956)
67000,1,443973.3014,4454351.977,2986,POINT (443973.3014 4454351.977)
67041,1,443978.088,4454790.35,2990,POINT (443978.088 4454790.35)
67059,1,444572.6221,4454934.259,2992,POINT (444572.6221 4454934.259)
67092,1,445012.2188,4455244.997,2993,POINT (445012.2188 4455244.997)
67190,1,445040.2214,4456444.438,2941,POINT (445040.2214 4456444.438)
67172,1,444531.2631,4456345.645,2939,POINT (444531.2631 4456345.645)
67255,1,443248.875,4457157.181,2933,POINT (443248.875 4457157.181)
67371,1,442160.3193,4458319.613,2894,POINT (442160.3193 4458319.613)
67380,1,440904.0313,4458351.939,2851,POINT (440904.0313 4458351.939)
67383,1,440091.0,4458361.924,2891,POINT (440091 4458361.924)
67421,1,439380.5328,4458629.972,2848,POINT (439380.5328 4458629.972)
50029,1,438356.2813,4459074.432,2882,POINT (438356.2813 4459074.432)
20869,1,396180.5806,4508543.74,906,POINT (396180.5806 4508543.74)
25219,1,424059.0,4512091.0,1125,POINT (424059 4512091)
25297,1,424541.0,4512091.0,1134,POINT (424541 4512091)
25339,1,424778.0,4512091.0,1134,POINT (424778 4512091)
25391,1,425026.0,4512089.0,1142,POINT (425026 4512089)
25439,1,425028.0,4512325.0,1142,POINT (425028 4512325)
25490,1,425031.0,4512570.0,1082,POINT (425031 4512570)
25540,1,425034.0,4512807.0,1082,POINT (425034 4512807)
25586,1,425036.0,4513044.0,1083,POINT (425036 4513044)
25635,1,425039.0,4513292.0,1037,POINT (425039 4513292)
25677,1,425041.0,4513532.0,1037,POINT (425041 4513532)
25720,1,425043.0,4513776.0,998,POINT (425043 4513776)
25678,1,424797.0,4513777.0,1035,POINT (424797 4513777)
25592,1,424316.0,4513783.0,1033,POINT (424316 4513783)
25545,1,424076.0,4513786.0,1031,POINT (424076 4513786)
25493,1,424071.0,4513542.0,1028,POINT (424071 4513542)
28120,1,414478.0,4558100.0,537,POINT (414478 4558100)
27701,1,418225.9432,4548169.494,711,POINT (418225.9432 4548169.494)
27369,1,420180.0,4543430.0,756,POINT (420180 4543430)
25570,1,424187.0,4513783.0,1031,POINT (424187 4513783)
25616,1,424425.0,4513785.0,995,POINT (424425 4513785)
25704,1,425042.0,4513653.0,1038,POINT (425042 4513653)
25658,1,425040.0,4513408.0,1037,POINT (425040 4513408)
25618,1,425040.0,4513176.0,1084,POINT (425040 4513176)
25568,1,425036.0,4512931.0,1083,POINT (425036 4512931)
25510,1,425031.0,4512685.0,1082,POINT (425031 4512685)
28871,1,419203.0,4563462.0,398,POINT (419203 4563462)
28927,1,420497.0,4562849.0,420,POINT (420497 4562849)
28779,1,420450.0,4561117.0,437,POINT (420450 4561117)
28519,1,421126.0,4557117.0,570,POINT (421126 4557117)
28394,1,423694.0,4553367.0,639,POINT (423694 4553367)
28142,1,423468.0608,4549378.921,707,POINT (423468.0608 4549378.921)
27797,1,423464.16723,4543788.14272,748,POINT (423464.1672261777 4543788.142718104)
10031,1,423905.0949,4537796.948,780,POINT (423905.0949 4537796.948)
26101,1,428952.0,4512370.0,1051,POINT (428952 4512370)
15149,1,429459.0,4513376.0,1007,POINT (429459 4513376)
15148,1,429519.0,4512697.0,1052,POINT (429519 4512697)
15041,1,427118.866,4486445.849,2123,POINT (427118.866 4486445.849)
15044,1,426156.8878,4487686.105,2107,POINT (426156.8878 4487686.105)
15046,1,425630.3295,4488641.506,1930,POINT (425630.3295 4488641.506)
15051,1,425124.0,4491486.0,1898,POINT (425124 4491486)
15053,1,424991.0,4492658.0,1875,POINT (424991 4492658)
15056,1,425051.0,4493564.0,1876,POINT (425051 4493564)
15062,1,424468.0,4495877.0,1812,POINT (424468 4495877)
