N,MODE,OPERATOR,NAME,LONGNAME,STOP,STOP4,STOP5,STOP6,STOP7,STOP8,STOP9,X,Y,TAZID,geometry
10046,9,0,O603,O603,1,0,0,0,0,0,1,417871.0,4564006.0,368,POINT (417871 4564006)
28790,9,0,O603,O603,1,0,0,0,0,0,1,417950.0,4563732.0,390,POINT (417950 4563732)
28772,9,0,O603,O603,1,0,0,0,0,0,1,417941.0,4563489.0,389,POINT (417941 4563489)
28795,9,0,O603,O603,1,0,0,0,0,0,1,418295.0,4563482.0,391,POINT (418295 4563482)
28823,9,0,O603,O603,1,0,0,0,0,0,1,418642.0,4563473.0,393,POINT (418642 4563473)
28899,9,0,O603,O603,1,0,0,0,0,0,1,419584.9198,4563448.305,400,POINT (419584.9198 4563448.305)
28935,9,0,O603,O603,1,0,0,0,0,0,1,419587.0,4563915.0,377,POINT (419587 4563915)
28966,9,0,O603,O603,1,0,0,0,0,0,1,420066.0,4563901.0,379,POINT (420066 4563901)
28988,9,0,O603,O603,1,0,0,0,0,0,1,420526.0,4563892.0,381,POINT (420526 4563892)
28963,9,0,O603,O603,1,0,0,0,0,0,1,420512.0,4563424.0,402,POINT (420512 4563424)
28951,9,0,O603,O603,1,0,0,0,0,0,1,420506.0,4563181.0,401,POINT (420506 4563181)
28918,9,0,O603,O603,1,0,0,0,0,0,1,420495.0,4562728.0,420,POINT (420495 4562728)
28894,9,0,O603,O603,1,0,0,0,0,0,1,420489.0,4562490.0,419,POINT (420489 4562490)
28877,9,0,O603,O603,1,0,0,0,0,0,1,420482.0,4562261.0,419,POINT (420482 4562261)
28841,9,0,O603,O603,1,0,0,0,0,0,1,420470.0,4561804.0,433,POINT (420470 4561804)
28820,9,0,O603,O603,1,0,0,0,0,0,1,421010.0,4561098.0,437,POINT (421010 4561098)
28727,9,0,O603,O603,1,0,0,0,0,0,1,420438.0,4560596.0,437,POINT (420438 4560596)
28678,9,0,O603,O603,1,0,0,0,0,0,1,420412.0,4559877.0,441,POINT (420412 4559877)
28651,9,0,O603,O603,1,0,0,0,0,0,1,420398.0,4559493.0,440,POINT (420398 4559493)
28631,9,0,O603,O603,1,0,0,0,0,0,1,420385.0,4559134.0,442,POINT (420385 4559134)
28595,9,0,O603,O603-,1,0,0,0,0,0,1,420378.9988,4558737.925,443,POINT (420378.9988 4558737.925)
66744,9,0,UVX,UVX,1,0,0,0,0,0,1,444231.5478,4451126.713,3019,POINT (444231.5478 4451126.713)
