A,B,DISTANCE,LINKID,TAZID,HOT_ZONEID,LANES,FT,geometry
20136,62771,0.5162610305941154,20136_62771,2061,0,0,38,"LINESTRING (420590.8539 4476930.639, 421090.839 4476267.081)"
20138,20167,0.6945311785917074,20138_20167,2061,0,0,38,"LINESTRING (420602.0426 4476936.563, 419975.0938 4477861.912)"
20150,20171,0.5327722533120316,20150_20171,2053,0,0,34,"LINESTRING (415228.7331 4482489.191, 415897 4481952)"
20154,20175,0.5344779263212649,20154_20175,2053,0,0,37,"LINESTRING (415236.96 4482509.072, 415904 4481966)"
20155,20150,0.19755616896804074,20155_20150,2053,0,0,34,"LINESTRING (415030.3101 4482737.608, 415228.7331 4482489.191)"
20157,20166,0.19115033772339837,20157_20166,2053,0,0,37,"LINESTRING (415255.4704 4482521.412, 415065.6509 4482763.491)"
20162,20154,0.19034247608727844,20162_20154,2053,0,0,37,"LINESTRING (415051.718 4482753.041, 415236.96 4482509.072)"
20163,20174,0.19052241441189355,20163_20174,2053,0,0,34,"LINESTRING (415270.553 4482536.495, 415078.7131 4482775.682)"
20164,20136,0.6955252266172728,20164_20136,2061,0,0,38,"LINESTRING (419958.25 4477854.071, 420590.8539 4476930.639)"
20166,20206,0.30089613590965925,20166_20206,2047,0,0,37,"LINESTRING (415065.6509 4482763.491, 414924.5434 4483226.72)"
20167,20251,0.6979622473646703,20167_20251,2061,0,0,37,"LINESTRING (419975.0938 4477861.912, 419653 4478938)"
20171,20181,0.2629001540057127,20171_20181,2053,0,0,34,"LINESTRING (415897 4481952, 416230 4481691)"
20174,20208,0.2934802275028031,20174_20208,2047,0,0,34,"LINESTRING (415078.7131 4482775.682, 414938.5669 4483226.72)"
20175,20182,0.26360928211940876,20175_20182,2053,0,0,37,"LINESTRING (415904 4481966, 416240 4481707)"
20177,20157,0.521607728162592,20177_20157,2053,0,0,37,"LINESTRING (415902 4481986, 415255.4704 4482521.412)"
20180,20163,0.5225587363081445,20180_20163,2053,0,0,34,"LINESTRING (415919 4482001, 415270.553 4482536.495)"
20181,20186,0.3172392324738269,20181_20186,2058,0,0,34,"LINESTRING (416230 4481691, 416631 4481375)"
20182,20188,0.3201426673621088,20182_20188,2058,0,0,37,"LINESTRING (416240 4481707, 416643 4481386)"
20184,20177,0.32336526169003865,20184_20177,2053,0,0,37,"LINESTRING (416317 4481672, 415902 4481986)"
20186,20195,0.4223803744642167,20186_20195,2058,0,0,34,"LINESTRING (416631 4481375, 417155 4480942)"
20187,20180,0.32006728113944166,20187_20180,2053,0,0,34,"LINESTRING (416325 4481684, 415919 4482001)"
20188,20210,0.6614468272637118,20188_20210,2058,0,0,37,"LINESTRING (416643 4481386, 417471 4480717)"
20190,20184,0.2712389861696219,20190_20184,2058,0,0,37,"LINESTRING (416656 4481397, 416317 4481672)"
20194,20187,0.27142682088341447,20194_20187,2058,0,0,34,"LINESTRING (416666 4481411, 416325 4481684)"
20195,20207,0.24175312669003332,20195_20207,2058,0,0,34,"LINESTRING (417155 4480942, 417462 4480703)"
20197,20155,0.3166831148599738,20197_20155,2053,0,0,34,"LINESTRING (414878.6481 4483224.17, 415030.3101 4482737.608)"
20203,20162,0.3087594188124607,20203_20162,2047,0,0,37,"LINESTRING (414901.5957 4483226.72, 415051.718 4482753.041)"
20206,20305,0.5674880146972981,20206_20305,2047,0,0,37,"LINESTRING (414924.5434 4483226.72, 414926 4484140)"
20207,20236,0.7464207507800836,20207_20236,2058,0,0,34,"LINESTRING (417462 4480703, 418467 4480045)"
20208,20307,0.5705981442740791,20208_20307,2047,0,0,34,"LINESTRING (414938.5669 4483226.72, 414942 4484145)"
20209,20194,0.4379835994821686,20209_20194,2058,0,0,34,"LINESTRING (417211 4480964, 416666 4481411)"
20210,20240,0.7462611546764772,20210_20240,2058,0,0,37,"LINESTRING (417471 4480717, 418477 4480061)"
20214,20190,0.6613545920371534,20214_20190,2058,0,0,37,"LINESTRING (417483 4480727, 416656 4481397)"
20215,20209,0.22388827996814187,20215_20209,2058,0,0,34,"LINESTRING (417490 4480736, 417211 4480964)"
20236,20253,0.2018122609064757,20236_20253,2060,0,0,34,"LINESTRING (418467 4480045, 418736 4479863)"
