N,X,Y,TAZID,HOT_ZONEID,geometry
10001,421814.088,4477329.518,2185,0,POINT (421814.088 4477329.518)
10002,421780.8954,4478149.861,2186,0,POINT (421780.8954 4478149.861)
10003,420953.0,4479077.0,2186,0,POINT (420953 4479077)
10004,420933.0,4479869.0,2182,0,POINT (420933 4479869)
10005,421113.0,4480247.0,2182,0,POINT (421113 4480247)
10006,421944.9821,4482236.478,2170,0,POINT (421944.9821 4482236.478)
10007,423391.666,4484836.235,2127,0,POINT (423391.666 4484836.235)
10008,423401.1517,4485422.991,2117,0,POINT (423401.1517 4485422.991)
10009,423374.533,4486906.366,2102,0,POINT (423374.533 4486906.366)
10010,423760.0,4490625.0,1973,0,POINT (423760 4490625)
10011,423431.6298,4492024.218,1885,0,POINT (423431.6298 4492024.218)
10012,423621.8844,4493610.395,1861,0,POINT (423621.8844 4493610.395)
10013,423272.2065,4496340.891,1800,0,POINT (423272.2065 4496340.891)
10014,423847.466,4499285.768,1657,0,POINT (423847.466 4499285.768)
10015,423893.8692,4500286.191,1641,0,POINT (423893.8692 4500286.191)
10016,424253.3785,4501376.055,1633,0,POINT (424253.3785 4501376.055)
10017,424196.617,4503496.423,1619,0,POINT (424196.617 4503496.423)
10018,423271.2961,4507232.176,1440,0,POINT (423271.2961 4507232.176)
10019,423276.393,4512777.323,1024,0,POINT (423276.393 4512777.323)
10020,423082.5512,4513313.446,1023,0,POINT (423082.5512 4513313.446)
10021,423610.8845,4513767.165,1027,0,POINT (423610.8845 4513767.165)
10022,423565.0,4515078.0,963,0,POINT (423565 4515078)
10023,422393.9771,4517259.026,949,0,POINT (422393.9771 4517259.026)
10024,422628.1308,4521383.362,890,0,POINT (422628.1308 4521383.362)
10025,423899.0206,4525990.539,863,0,POINT (423899.0206 4525990.539)
10026,424856.6288,4528390.212,819,0,POINT (424856.6288 4528390.212)
10027,424885.6961,4530211.766,806,0,POINT (424885.6961 4530211.766)
10028,424893.7704,4530491.136,801,0,POINT (424893.7704 4530491.136)
10029,424957.602,4535336.527,789,0,POINT (424957.602 4535336.527)
10030,421190.3415,4540085.891,765,0,POINT (421190.3415 4540085.891)
10031,423905.0949,4537796.948,780,0,POINT (423905.0949 4537796.948)
10032,424362.2517,4537345.212,780,0,POINT (424362.2517 4537345.212)
10033,420171.164,4542927.542,756,0,POINT (420171.164 4542927.542)
10034,415598.1855,4548443.256,709,0,POINT (415598.1855 4548443.256)
10035,418900.9502,4545515.674,737,0,POINT (418900.9502 4545515.674)
10036,414829.2683,4549753.942,663,0,POINT (414829.2683 4549753.942)
10037,413100.1001,4552901.611,644,0,POINT (413100.1001 4552901.611)
10038,413070.95178,4554788.82684,625,0,POINT (413070.95178 4554788.82684)
10039,413061.9461,4555795.876,622,0,POINT (413061.9461 4555795.876)
10040,412338.6428,4558552.768,509,0,POINT (412338.6428 4558552.768)
10041,412435.895,4559468.105,500,0,POINT (412435.895 4559468.105)
10042,412820.7567,4560266.171,500,0,POINT (412820.7567 4560266.171)
10043,414991.37402,4562544.50764,385,0,POINT (414991.37402 4562544.50764)
10044,417127.2167,4562606.951,388,0,POINT (417127.2167 4562606.951)
10045,417755.0563,4563273.132,388,0,POINT (417755.0563 4563273.132)
10046,417871.0,4564006.0,368,0,POINT (417871 4564006)
10047,417055.3266,4565626.333,339,0,POINT (417055.3266 4565626.333)
10048,417115.235,4568058.612,321,0,POINT (417115.235 4568058.612)
10049,417005.0036,4569990.058,292,0,POINT (417005.0036 4569990.058)
10050,415433.0081,4573378.475,253,0,POINT (415433.0081 4573378.475)
10051,413644.1661,4576964.747,143,0,POINT (413644.1661 4576964.747)
10052,413095.4882,4578206.883,143,0,POINT (413095.4882 4578206.883)
10053,412831.9816,4579132.717,138,0,POINT (412831.9816 4579132.717)
10054,412968.3152,4582553.375,129,0,POINT (412968.3152 4582553.375)
10055,412316.4836,4584637.72,124,0,POINT (412316.4836 4584637.72)
10056,412126.9976,4587010.084,115,0,POINT (412126.9976 4587010.084)
10057,412073.8009,4590112.294,99,0,POINT (412073.8009 4590112.294)
10058,413030.478,4593315.52,75,0,POINT (413030.478 4593315.52)
10059,414067.3335,4595900.764,50,0,POINT (414067.3335 4595900.764)
10060,422315.73314,4482875.39288,2170,0,POINT (422315.73314 4482875.39288)
15001,414305.0,4484923.0,2039,0,POINT (414305 4484923)
15002,414307.0,4485008.0,2040,0,POINT (414307 4485008)
15003,415556.0,4484906.0,2082,0,POINT (415556 4484906)
15004,415990.0,4484982.0,2083,0,POINT (415990 4484982)
15005,414307.0,4486973.0,2027,0,POINT (414307 4486973)
15006,413594.0,4487703.0,2026,0,POINT (413594 4487703)
15007,422593.6653,4478791.833,2161,0,POINT (422593.6653 4478791.833)
15008,414257.0,4488192.0,2021,0,POINT (414257 4488192)
