Z,X,Y,ACRES,DEVACRES,SQMILE,CBD,PRKCSTPERM,PRKCSTTEMP,POP5,EMP5,DEVACRE5,URBANVAL,ATYPE,TERMTIME
56,416171.00000,4595637.00000,26.13,26.13,0.04083,0,0.00,0.00,2250,1174,670,6.98,3,1
57,416300.00000,4596111.00000,28.56,28.56,0.04462,0,0.00,0.00,2990,527,447,9.13,3,1
58,416835.00000,4595384.00000,260.30,252.49,0.40673,0,0.00,0.00,1124,148,773,1.85,2,1
59,412330.00000,4594692.00000,190.27,190.27,0.29730,0,0.00,0.00,795,320,1737,0.84,1,1
60,413162.00000,4594567.00000,195.75,195.75,0.30586,0,0.00,0.00,1760,480,1336,2.06,2,1
61,413883.00000,4594716.00000,88.24,88.24,0.13788,0,0.00,0.00,2447,1368,970,5.44,3,1
62,414344.00000,4594726.00000,75.22,75.22,0.11754,0,0.00,0.00,3339,1576,664,9.95,3,1
63,414360.00000,4595282.00000,35.77,35.77,0.05589,0,0.00,0.00,3723,3913,610,19.40,4,2
64,414872.00000,4594590.00000,85.37,85.37,0.13340,0,0.00,0.00,3684,1796,575,12.87,3,1
65,414886.00000,4595150.00000,97.76,97.76,0.15275,0,0.00,0.00,3880,4627,599,22.47,4,2
66,415375.69360,4594642.81900,51.31,51.31,0.08017,0,0.00,0.00,3925,1256,629,10.37,3,1
67,415304.00000,4595163.00000,57.42,57.42,0.08972,0,0.00,0.00,4026,2722,628,15.39,4,2
68,415793.00000,4594562.00000,52.47,52.47,0.08198,0,0.00,0.00,2837,1007,771,6.38,3,1
69,415789.00000,4595117.00000,57.77,57.77,0.09027,0,0.00,0.00,2762,1311,462,11.85,3,1
70,416157.00000,4594497.00000,34.83,34.83,0.05442,0,0.00,0.00,2468,882,829,5.18,3,1
71,416626.00000,4594651.00000,148.17,143.72,0.23151,0,0.00,0.00,1382,368,904,2.37,2,1
72,416251.00000,4595226.00000,34.09,34.09,0.05326,0,0.00,0.00,1792,414,705,3.76,2,1
73,417040.00000,4594141.00000,147.55,115.09,0.23055,0,0.00,0.00,2125,759,1030,3.59,2,1
74,412499.00000,4593754.00000,231.95,227.31,0.36242,0,0.00,0.00,1114,383,1505,1.27,2,1
75,413777.61950,4593642.00900,152.71,149.66,0.23861,0,0.00,0.00,2820,2244,1179,6.33,3,1
76,413700.00000,4594125.00000,114.94,114.94,0.17960,0,0.00,0.00,3265,1321,1157,5.18,3,1
77,414299.03420,4594030.86100,80.28,80.28,0.12544,0,0.00,0.00,4327,1829,792,10.25,3,1
78,414620.00000,4593694.00000,112.19,112.19,0.17530,0,0.00,0.00,3750,2591,833,10.94,3,1
79,414980.00000,4594131.00000,39.40,39.40,0.06156,0,0.00,0.00,4806,2195,695,13.44,3,1
80,415034.00000,4593602.00000,46.56,46.56,0.07275,0,0.00,0.00,4144,2374,751,12.07,3,1
81,416453.00000,4593986.00000,187.31,187.31,0.29267,0,0.00,0.00,2468,882,829,5.18,3,1
82,415554.00000,4593842.00000,152.55,152.55,0.23835,0,0.00,0.00,3854,1614,734,9.81,3,1
83,413842.00000,4593143.00000,113.81,113.81,0.17783,0,0.00,0.00,2254,2244,1320,5.23,3,1
84,414636.00000,4593168.00000,53.08,53.08,0.08294,0,0.00,0.00,3059,2641,1008,8.46,3,1
85,415426.00000,4593082.00000,57.17,57.17,0.08932,0,0.00,0.00,3510,2442,1044,8.21,3,1
86,411629.00000,4592277.00000,511.20,388.51,0.79875,0,0.00,0.00,992,472,1783,1.10,2,1
87,412582.00000,4592973.00000,219.15,219.15,0.34242,0,0.00,0.00,629,745,1724,1.26,2,1
88,412995.49740,4592188.23400,205.66,205.66,0.32134,0,0.00,0.00,1160,1406,1894,2.15,2,1
89,413778.00000,4591854.00000,199.28,199.28,0.31138,0,0.00,0.00,3674,1648,1721,4.12,2,1
90,414378.57200,4592599.18000,271.34,271.34,0.42397,0,0.00,0.00,3044,2176,1128,6.69,3,1
91,414770.00000,4591830.00000,150.57,150.57,0.23526,0,0.00,0.00,3017,1886,1318,5.25,3,1
92,415223.00000,4592634.00000,123.97,123.97,0.19370,0,0.00,0.00,3782,2228,1081,7.76,3,1
93,412146.00000,4591378.00000,109.86,105.47,0.17166,0,0.00,0.00,1196,263,1623,1.07,2,1
94,412672.00000,4591221.00000,205.87,205.87,0.32167,0,0.00,0.00,2593,700,1441,2.80,2,1
95,413361.00000,4591038.00000,186.51,184.64,0.29142,0,0.00,0.00,3235,715,1558,3.03,2,1
96,414480.00000,4591310.00000,165.44,163.79,0.25850,0,0.00,0.00,4264,1527,1732,4.29,2,1
97,409390.00000,4590129.00000,1613.57,0.00,2.52121,0,0.00,0.00,68,25,2282,0.05,1,1
98,411138.00000,4589410.00000,716.34,515.76,1.11928,0,0.00,0.00,754,10,2079,0.37,1,1
99,411992.00000,4590408.00000,47.22,47.22,0.07379,0,0.00,0.00,1878,247,1630,1.47,2,1
100,412526.00000,4590153.00000,117.64,115.29,0.18381,0,0.00,0.00,3279,373,1334,3.04,2,1
101,413768.00000,4590373.00000,226.52,226.52,0.35394,0,0.00,0.00,3360,728,1543,3.15,2,1
102,411952.00000,4589313.00000,108.20,108.20,0.16906,0,0.00,0.00,1059,141,1383,0.98,1,1
103,412434.00000,4589365.00000,195.76,195.76,0.30587,0,0.00,0.00,1081,141,956,1.44,2,1
104,413027.00000,4589940.00000,151.30,151.30,0.23641,0,0.00,0.00,3251,382,1325,3.05,2,1
105,413048.00000,4588988.00000,98.77,98.77,0.15433,0,0.00,0.00,1126,148,1194,1.20,2,1
106,413598.00000,4588889.00000,201.72,197.69,0.31519,0,0.00,0.00,2541,270,1412,2.20,2,1
107,411933.00000,4588423.00000,55.09,55.09,0.08608,0,0.00,0.00,804,12,1903,0.44,1,1
108,413066.00000,4588347.00000,88.81,88.81,0.13877,0,0.00,0.00,1018,22,1264,0.84,1,1
109,410960.00000,4588080.00000,975.57,946.30,1.52433,0,0.00,0.00,696,60,2321,0.35,1,1
110,412448.00000,4588415.00000,98.17,95.23,0.15340,0,0.00,0.00,879,12,1160,0.78,1,1
111,411915.00000,4587585.00000,140.29,140.29,0.21920,0,0.00,0.00,111,70,1903,0.13,1,1
112,412469.00000,4587488.00000,174.44,174.44,0.27256,0,0.00,0.00,190,89,1062,0.35,1,1
113,413277.00000,4587856.00000,205.68,203.63,0.32138,0,0.00,0.00,415,34,1258,0.39,1,1
114,413692.00000,4587334.00000,157.41,154.26,0.24596,0,0.00,0.00,339,47,1209,0.36,1,1
115,412069.00000,4586391.00000,90.07,90.07,0.14074,0,0.00,0.00,302,134,1134,0.51,1,1
116,412516.00000,4586538.00000,109.05,109.05,0.17039,0,0.00,0.00,302,134,1134,0.51,1,1
117,413148.00000,4586536.00000,104.90,104.90,0.16390,0,0.00,0.00,438,96,1211,0.53,1,1
118,413646.00000,4586386.00000,82.02,81.20,0.12815,0,0.00,0.00,503,96,1240,0.57,1,1
