Z,X,Y,ACRES,DEVACRES,SQMILE,CBD,PRKCSTPERM,PRKCSTTEMP,POP5,EMP5,DEVACRE5,URBANVAL,ATYPE,TERMTIME
630,414886.39250,4554263.74800,179.92,179.92,0.28113,0,0.00,0.00,4218,16704,1386,27.99,4,2
631,414785.00000,4553365.00000,264.63,264.63,0.41348,0,0.00,0.00,6576,17734,1487,29.10,4,2
632,415457.00000,4551936.00000,141.94,141.94,0.22177,0,0.00,0.00,8404,11926,2022,16.37,4,2
633,416775.40860,4551861.57800,585.32,585.32,0.91456,0,0.00,0.00,10948,21423,6240,8.86,3,1
634,418205.03310,4551488.63300,588.11,582.23,0.91893,0,0.00,0.00,11717,19086,2774,18.47,4,2
635,417865.46530,4555710.17900,529.26,502.79,0.82696,0,0.00,0.00,4683,4534,6306,2.23,2,1
636,419456.64790,4554725.84400,858.08,815.17,1.34074,0,0.00,0.00,8759,3878,7017,2.39,2,1
637,421459.22280,4553569.44600,540.95,519.31,0.84523,0,0.00,0.00,9979,2823,3644,4.34,2,1
638,422337.17470,4553016.11500,373.90,373.90,0.58422,0,0.00,0.00,10389,2120,3388,4.36,2,1
639,423081.00000,4553747.00000,260.36,255.16,0.40682,0,0.00,0.00,7381,1213,2893,3.42,2,1
640,423940.00000,4553806.00000,131.41,122.21,0.20533,0,0.00,0.00,7381,1213,2893,3.42,2,1
641,424031.00000,4552452.00000,494.42,360.93,0.77253,0,0.00,0.00,9672,2092,3061,4.57,2,1
642,423322.00000,4552318.00000,251.57,228.93,0.39309,0,0.00,0.00,9672,2092,3061,4.57,2,1
643,411837.33180,4552786.05100,213.00,210.87,0.33281,0,0.00,0.00,11516,555,1461,8.67,3,1
644,412802.00000,4552817.00000,137.30,137.30,0.21454,0,0.00,0.00,13568,1252,1430,11.30,3,1
645,413522.29730,4552730.68000,171.39,171.39,0.26779,0,0.00,0.00,10768,6684,1368,17.98,4,2
646,414307.00000,4552143.00000,259.97,259.97,0.40621,0,0.00,0.00,9072,11502,1488,22.09,4,2
647,414705.00000,4552576.00000,139.26,139.26,0.21760,0,0.00,0.00,8961,15012,1455,27.52,4,2
648,411807.46840,4551897.62400,159.19,159.19,0.24873,0,0.00,0.00,10231,1021,1615,7.65,3,1
649,412698.60250,4551933.96400,150.21,150.21,0.23470,0,0.00,0.00,9382,4142,1731,10.38,3,1
650,413260.00000,4552025.00000,109.06,109.06,0.17040,0,0.00,0.00,10047,3537,1397,12.43,3,1
651,412772.05970,4551235.07700,208.86,204.68,0.32634,0,0.00,0.00,6341,4576,1771,8.93,3,1
652,413715.87420,4551329.78600,118.82,118.82,0.18565,0,0.00,0.00,7563,6695,1680,12.75,3,1
653,414197.00000,4551195.00000,86.31,86.31,0.13486,0,0.00,0.00,8585,5052,1286,14.81,3,1
654,414901.00000,4551161.00000,199.06,197.06,0.31102,0,0.00,0.00,9549,5110,1375,14.63,3,1
655,416135.42920,4551112.59800,266.87,264.20,0.41699,0,0.00,0.00,10482,6536,1882,12.76,3,1
656,411839.00000,4550378.00000,150.20,150.20,0.23469,0,0.00,0.00,12069,4221,2276,9.14,3,1
657,412830.00000,4550456.00000,469.12,469.12,0.73300,0,0.00,0.00,7597,12827,2189,15.60,4,2
658,414745.00000,4550406.00000,84.77,84.77,0.13245,0,0.00,0.00,9097,12673,1774,19.91,4,2
659,415210.00000,4550427.00000,83.00,83.00,0.12969,0,0.00,0.00,11303,5622,1412,16.25,4,2
660,415844.00000,4549970.00000,214.51,214.51,0.33517,0,0.00,0.00,13754,9881,1573,21.74,4,2
661,416543.00000,4549914.00000,193.84,193.84,0.30288,0,0.00,0.00,14954,10766,1755,21.22,4,2
662,416754.00000,4550456.00000,117.55,117.55,0.18367,0,0.00,0.00,11974,7850,2069,13.64,3,1
663,413722.04140,4549611.47100,585.17,579.32,0.91433,0,0.00,0.00,14029,14092,2399,18.01,4,2
664,415268.00000,4549590.00000,146.37,146.37,0.22871,0,0.00,0.00,15208,13663,2137,20.35,4,2
665,413401.00000,4548364.00000,318.25,318.25,0.49727,0,0.00,0.00,19932,9641,2795,14.27,3,1
666,414588.00000,4548776.00000,310.66,310.66,0.48540,0,0.00,0.00,19673,10295,2565,15.98,4,2
667,408681.10990,4551164.03200,241.29,241.29,0.37701,0,0.00,0.00,8012,1152,3027,3.43,2,1
668,409845.28080,4551242.26400,322.29,322.29,0.50358,0,0.00,0.00,9526,2912,2472,6.29,3,1
669,411369.00000,4551186.00000,323.58,323.58,0.50559,0,0.00,0.00,10511,1126,1961,6.55,3,1
670,408124.00000,4549954.00000,584.40,584.40,0.91312,0,0.00,0.00,9481,1832,3424,3.88,2,1
671,409862.10400,4550397.42200,310.26,310.26,0.48478,0,0.00,0.00,11852,2709,2936,5.95,3,1
672,411034.00000,4550413.00000,170.87,170.87,0.26699,0,0.00,0.00,13107,3002,2385,8.10,3,1
673,406850.91440,4549658.43700,245.44,245.44,0.38351,0,0.00,0.00,7620,445,3467,2.46,2,1
674,409958.79360,4549755.12700,308.98,308.98,0.48278,0,0.00,0.00,16701,3246,2979,7.86,3,1
675,411706.11230,4549630.81200,321.66,321.66,0.50259,0,0.00,0.00,15242,6050,2707,10.26,3,1
676,406828.00000,4548304.00000,522.32,344.73,0.81613,0,0.00,0.00,7557,610,3697,2.39,2,1
677,408259.81960,4548436.00500,643.07,643.07,1.00480,0,0.00,0.00,10733,2183,3681,4.14,2,1
678,409367.00000,4548239.00000,284.68,284.68,0.44481,0,0.00,0.00,12841,3215,3388,5.75,3,1
679,410113.00000,4548754.00000,357.60,357.60,0.55875,0,0.00,0.00,16718,3967,3108,8.02,3,1
680,411370.00000,4548783.00000,318.66,318.66,0.49791,0,0.00,0.00,18120,4089,2512,10.58,3,1
681,412596.00000,4548373.00000,320.79,320.79,0.50123,0,0.00,0.00,18314,10373,2944,13.51,3,1
682,411337.00000,4548020.00000,323.39,323.39,0.50529,0,0.00,0.00,19070,2823,2699,9.23,3,1
683,408128.59810,4547199.76000,424.59,365.14,0.66342,0,0.00,0.00,10411,1424,3611,3.70,2,1
684,409710.16330,4546730.12400,552.13,546.61,0.86271,0,0.00,0.00,11870,1361,3226,4.55,2,1
685,410830.00000,4547171.00000,239.79,239.79,0.37467,0,0.00,0.00,15243,1777,2887,6.55,3,1
686,411776.00000,4546946.00000,256.71,256.71,0.40111,0,0.00,0.00,12418,1609,2569,6.13,3,1
687,412627.00000,4546739.00000,350.91,350.91,0.54829,0,0.00,0.00,10567,1201,2485,5.25,3,1
688,411199.00000,4546270.00000,211.22,209.11,0.33004,0,0.00,0.00,10239,880,2795,4.32,2,1
689,412149.00000,4545237.00000,714.66,586.02,1.11666,0,0.00,0.00,9094,976,2404,4.62,2,1
690,421813.94490,4551687.82600,800.54,752.51,1.25084,0,0.00,0.00,17670,3825,4019,6.37,3,1
691,420645.30980,4551560.33800,631.13,631.13,0.98615,0,0.00,0.00,14856,3942,3752,6.13,3,1
692,422812.95630,4551484.72500,327.01,313.93,0.51095,0,0.00,0.00,14787,3107,3850,5.51,3,1
693,417786.00000,4550035.00000,319.11,312.73,0.49861,0,0.00,0.00,15453,26537,2340,30.08,4,2
694,418832.00000,4550307.00000,215.02,215.02,0.33597,0,0.00,0.00,16166,21658,2813,21.68,4,2
695,419802.00000,4549868.00000,312.97,309.84,0.48902,0,0.00,0.00,14814,4224,2813,8.37,3,1
696,420589.00000,4549849.00000,265.67,265.67,0.41511,0,0.00,0.00,14841,2885,3098,6.72,3,1
697,421548.00000,4549962.00000,435.70,370.34,0.68078,0,0.00,0.00,17483,3672,4087,6.14,3,1
698,422734.00000,4549676.00000,612.59,563.58,0.95717,0,0.00,0.00,18351,2768,3974,6.06,3,1
699,423880.36820,4548970.16600,499.95,419.96,0.78117,0,0.00,0.00,16441,1367,3313,5.82,3,1
700,417545.00000,4549396.00000,151.03,151.03,0.23599,0,0.00,0.00,15318,13762,1847,23.72,4,2
701,418819.00000,4549516.00000,236.03,236.03,0.36880,0,0.00,0.00,16299,7550,2421,13.19,3,1
702,416119.30080,4548325.50200,330.57,327.26,0.51652,0,0.00,0.00,15426,10735,1901,19.80,4,2
703,416753.00000,4548658.00000,271.85,271.85,0.42477,0,0.00,0.00,11968,13776,1713,23.64,4,2
704,417665.00000,4548695.00000,259.67,259.67,0.40574,0,0.00,0.00,20018,13166,2288,20.66,4,3
705,418770.00000,4548382.00000,481.10,481.10,0.75172,0,0.00,0.00,13630,9484,1897,17.53,4,2
706,419781.00000,4548479.00000,198.13,190.20,0.30957,0,0.00,0.00,16409,4005,2425,10.19,3,1
707,422175.00000,4548715.00000,555.76,555.76,0.86838,0,0.00,0.00,18293,2136,3990,5.69,3,1
708,414556.00000,4547973.00000,320.49,317.29,0.50077,0,0.00,0.00,18146,2107,2238,10.06,3,1
709,415811.00000,4547904.00000,165.90,165.90,0.25922,0,0.00,0.00,18110,7120,2128,15.44,4,2
710,417314.10770,4547669.39500,159.45,159.45,0.24913,0,0.00,0.00,12526,16482,2004,23.28,4,2
711,417933.00000,4547886.00000,89.10,89.10,0.13922,0,0.00,0.00,14892,16734,2157,22.96,4,3
712,419909.00000,4547870.00000,113.85,113.85,0.17788,0,0.00,0.00,18995,4754,2950,9.78,3,1
713,420781.11960,4547938.74400,323.83,323.83,0.50599,0,0.00,0.00,16026,3773,3246,7.34,3,1
714,422293.62080,4547862.77400,412.51,408.38,0.64455,0,0.00,0.00,20440,1562,4577,5.17,3,1
715,423961.00000,4546526.00000,457.79,357.07,0.71529,0,0.00,0.00,17041,1289,4706,4.19,2,1
716,413393.00000,4547167.00000,154.61,154.61,0.24158,0,0.00,0.00,16369,1475,2384,8.15,3,1
717,414637.00000,4547207.00000,315.34,315.34,0.49273,0,0.00,0.00,13427,1289,1881,8.56,3,1
718,415837.00000,4547105.00000,167.35,165.68,0.26149,0,0.00,0.00,11356,3773,2006,9.55,3,1
719,416558.00000,4547248.00000,94.56,94.56,0.14775,0,0.00,0.00,10752,12041,2070,17.24,4,2
720,417871.00000,4546803.00000,276.97,276.97,0.43276,0,0.00,0.00,7776,11027,1695,18.06,4,2
721,418673.00000,4547102.00000,216.63,216.63,0.33848,0,0.00,0.00,14110,11439,2141,17.65,4,2
722,419254.00000,4546558.00000,208.33,208.33,0.32551,0,0.00,0.00,13478,8335,1943,15.81,4,2
723,419903.00000,4546662.00000,287.37,287.37,0.44901,0,0.00,0.00,17195,5559,2709,10.60,3,1
724,421250.00000,4546857.00000,939.55,892.58,1.46805,0,0.00,0.00,21599,3840,3908,7.56,3,1
725,413449.00000,4546371.00000,127.64,127.64,0.19944,0,0.00,0.00,8098,497,2432,3.75,2,1
726,414179.00000,4546350.00000,162.75,162.75,0.25429,0,0.00,0.00,11848,490,2174,5.92,3,1
727,414982.00000,4546341.00000,164.25,160.96,0.25663,0,0.00,0.00,5598,979,2055,3.71,2,1
728,416166.00000,4546362.00000,300.04,300.04,0.46882,0,0.00,0.00,4687,4098,1946,6.77,3,1
729,417430.00000,4546480.00000,308.17,308.17,0.48151,0,0.00,0.00,9466,8197,1948,13.57,3,1
730,422283.00000,4545792.00000,685.69,685.69,1.07140,0,0.00,0.00,20320,3687,4430,6.31,3,1
731,413723.49323,4545606.57783,316.85,316.85,0.49507,0,0.00,0.00,6128,430,2279,3.08,2,1
732,414989.00000,4545257.00000,267.16,267.16,0.41744,0,0.00,0.00,6771,1024,2244,3.96,2,1
733,415773.00000,4545316.00000,238.83,238.83,0.37317,0,0.00,0.00,6886,1010,2096,4.28,2,1
734,416581.00000,4545293.00000,245.09,245.09,0.38296,0,0.00,0.00,8923,3090,2193,6.99,3,1
735,417353.00000,4545011.00000,166.21,166.21,0.25971,0,0.00,0.00,10878,3738,1951,9.54,3,1
736,417799.00000,4545458.00000,181.17,181.17,0.28308,0,0.00,0.00,9582,3963,1725,10.31,3,1
737,418643.00000,4545582.00000,160.34,160.34,0.25053,0,0.00,0.00,11713,6773,1753,14.68,3,1
738,419403.00000,4545629.00000,73.50,73.50,0.11484,0,0.00,0.00,13623,5078,1814,13.30,3,1
739,420077.00000,4545244.00000,436.53,432.16,0.68207,0,0.00,0.00,13116,10124,2030,16.79,4,2
740,414477.00000,4544153.00000,1013.44,152.02,1.58351,0,0.00,0.00,6913,828,2071,4.16,2,1
741,418233.00000,4544694.00000,80.42,80.42,0.12566,0,0.00,0.00,7856,4947,1516,11.93,3,1
742,418844.00000,4545086.00000,174.36,174.36,0.27244,0,0.00,0.00,11949,5551,1862,12.59,3,1
743,416345.09810,4544171.41000,404.16,400.12,0.63151,0,0.00,0.00,8748,1132,2018,5.50,3,1
744,422179.00000,4544758.00000,689.32,675.53,1.07706,0,0.00,0.00,17529,5902,3528,8.43,3,1
745,423952.00000,4545063.00000,316.02,306.54,0.49379,0,0.00,0.00,12976,2874,3582,5.28,3,1
746,417421.00000,4544481.00000,86.24,86.24,0.13475,0,0.00,0.00,10322,1492,1836,7.30,3,1
747,420795.00000,4544180.00000,270.44,267.74,0.42257,0,0.00,0.00,17036,9105,3191,11.24,3,1
748,422742.00000,4543954.00000,404.40,404.40,0.63187,0,0.00,0.00,14511,4625,3493,6.90,3,1
749,416946.69790,4543533.35000,179.41,179.41,0.28033,0,0.00,0.00,10222,1078,1866,6.67,3,1
750,418107.36010,4544159.25700,322.88,322.88,0.50451,0,0.00,0.00,8847,3348,1892,8.34,3,1
751,419456.00000,4543939.00000,271.25,271.25,0.42383,0,0.00,0.00,14060,8134,2555,12.09,3,1
752,420367.91700,4543667.03900,154.50,154.50,0.24141,0,0.00,0.00,15545,9381,2716,12.87,3,1
753,416656.00000,4542566.00000,218.88,111.63,0.34200,0,0.00,0.00,11352,1023,2350,5.73,3,1
754,417666.00000,4542679.00000,375.01,273.76,0.58595,0,0.00,0.00,10505,1023,2264,5.57,3,1
755,418806.00000,4542915.00000,429.97,429.97,0.67182,0,0.00,0.00,11111,5905,2593,9.00,3,1
756,419836.00000,4542750.00000,421.64,421.64,0.65881,0,0.00,0.00,12951,7308,2895,9.70,3,1
757,420652.00000,4542845.00000,259.03,259.03,0.40474,0,0.00,0.00,13787,8516,2820,11.14,3,1
758,421753.00000,4542967.00000,305.05,305.05,0.47664,0,0.00,0.00,15452,6836,2967,9.98,3,1
759,418587.42460,4541509.78700,395.79,379.96,0.61842,0,0.00,0.00,11527,4747,2894,7.38,3,1
760,421346.00000,4541806.00000,392.57,372.94,0.61339,0,0.00,0.00,17378,5468,3227,8.89,3,1
761,422573.78290,4542214.69200,231.92,231.92,0.36237,0,0.00,0.00,16220,3262,3269,7.03,3,1
762,419619.00000,4540750.00000,409.56,409.56,0.63993,0,0.00,0.00,13480,3103,3222,6.18,3,1
763,420421.00000,4541059.00000,340.96,337.55,0.53275,0,0.00,0.00,15654,3371,3297,6.86,3,1
764,421995.00000,4540526.00000,504.74,504.74,0.78865,0,0.00,0.00,14764,3686,3002,7.46,3,1
765,421279.00000,4539700.00000,344.19,344.19,0.53779,0,0.00,0.00,16577,3989,3531,7.03,3,1
766,421185.84960,4539019.52800,272.99,267.53,0.42655,0,0.00,0.00,17395,3858,3436,7.39,3,1
767,424059.00000,4543010.00000,343.50,319.46,0.53673,0,0.00,0.00,13190,2925,3373,5.71,3,1
768,423148.00000,4543005.00000,299.34,296.35,0.46772,0,0.00,0.00,15201,3224,3440,6.36,3,1
769,422978.00000,4541513.00000,384.28,384.28,0.60044,0,0.00,0.00,15758,3469,3118,7.36,3,1
770,424236.13700,4541578.82200,454.16,449.62,0.70963,0,0.00,0.00,11965,3800,2735,7.25,3,1
771,422943.00000,4540085.00000,362.55,362.55,0.56648,0,0.00,0.00,15794,3811,2981,7.94,3,1
772,423934.00000,4540347.00000,199.83,195.84,0.31224,0,0.00,0.00,15896,3512,2849,8.13,3,1
773,424697.00000,4539951.00000,406.85,386.50,0.63570,0,0.00,0.00,11106,5612,2433,9.34,3,1
774,423790.00000,4539550.00000,108.51,108.51,0.16955,0,0.00,0.00,10466,7338,2375,10.80,3,1
775,422687.00000,4538317.00000,417.43,417.43,0.65224,0,0.00,0.00,11779,7760,2661,10.46,3,1
776,423419.00000,4538782.00000,277.41,277.41,0.43345,0,0.00,0.00,9632,9968,2330,12.99,3,1
777,424214.00000,4538704.00000,179.99,179.99,0.28124,0,0.00,0.00,8645,8535,2226,11.82,3,1
778,421822.00000,4537928.00000,519.92,514.72,0.81238,0,0.00,0.00,13317,6600,3282,8.22,3,1
779,425268.00000,4538594.00000,297.54,258.86,0.46491,0,0.00,0.00,8384,11270,2027,15.65,4,2
780,423859.00000,4537531.00000,188.25,188.25,0.29414,0,0.00,0.00,8814,11654,2641,12.47,3,1
781,424682.00000,4537672.00000,215.77,213.61,0.33714,0,0.00,6.00,7713,11548,2158,14.65,3,5
782,425530.00000,4537564.00000,179.16,173.78,0.27993,0,0.00,0.00,6524,10504,1802,15.69,4,2
783,422115.00000,4534713.00000,669.04,588.75,1.04537,0,0.00,0.00,6302,1293,5966,1.51,2,1
784,421897.00000,4536381.00000,457.57,457.57,0.71496,0,0.00,0.00,8349,5609,3935,5.07,3,1
785,423098.00000,4536076.00000,452.29,452.29,0.70671,0,0.00,0.00,6302,8242,3311,7.06,3,1
786,423908.24070,4536462.42500,498.99,498.99,0.77967,0,0.00,0.00,6266,10810,2652,10.80,3,1
787,425124.00000,4536651.00000,239.57,239.57,0.37433,0,0.00,0.00,6514,11028,2000,14.67,3,1
788,425956.00000,4536720.00000,127.53,127.53,0.19927,0,0.00,0.00,8708,6987,2284,10.14,3,1
789,425321.00000,4535749.00000,198.32,198.32,0.30987,0,0.00,0.00,7960,7025,2164,10.40,3,1
790,426126.00000,4535787.00000,231.29,222.04,0.36139,0,0.00,0.00,7960,7025,2164,10.40,3,1
791,423580.30050,4534641.34400,590.53,549.19,0.92270,0,0.00,0.00,8043,1207,3451,3.05,2,1
792,424465.58160,4535087.92100,138.15,138.15,0.21585,0,0.00,0.00,9106,4211,2866,6.22,3,1
793,425475.00000,4534621.00000,366.35,351.70,0.57242,0,0.00,0.00,8319,3653,2263,7.02,3,1
794,424339.00000,4532293.00000,679.96,652.76,1.06244,0,0.00,0.00,6798,2808,2118,5.95,3,1
795,425423.00000,4533130.00000,215.69,215.69,0.33702,0,0.00,0.00,9762,1240,2312,5.33,3,1
796,426210.00000,4533184.00000,237.30,220.69,0.37078,0,0.00,0.00,10297,1194,2283,5.59,3,1
797,425261.00000,4532016.00000,205.56,205.56,0.32118,0,0.00,0.00,8374,2849,2054,6.95,3,1
798,425671.00000,4531946.00000,186.50,186.50,0.29141,0,0.00,0.00,9015,2197,2041,6.64,3,1
799,426427.00000,4531745.00000,242.16,225.21,0.37837,0,0.00,0.00,11439,2077,1829,8.61,3,1
800,423758.00000,4530743.00000,344.95,289.76,0.53898,0,0.00,0.00,3800,6073,2155,7.60,3,1
801,424637.29540,4530787.91800,121.69,121.69,0.19014,0,0.00,0.00,6130,7928,1902,11.85,3,1
802,425161.00000,4530811.00000,109.72,109.72,0.17143,0,0.00,0.00,8021,8040,1255,19.66,4,2
803,425727.00000,4530904.00000,115.93,115.93,0.18114,0,0.00,0.00,7857,6832,1249,17.62,4,2
804,426269.00000,4530775.00000,109.06,109.06,0.17041,0,0.00,0.00,10281,6180,1567,14.72,3,1
805,426926.00000,4530136.00000,473.42,440.28,0.73972,0,0.00,0.00,10285,5130,1468,14.24,3,1
806,424624.24250,4530191.83700,154.97,154.97,0.24214,0,0.00,0.00,6954,8005,1328,17.71,4,2
807,425186.00000,4529954.00000,123.04,123.04,0.19225,0,0.00,0.00,7388,7808,1150,20.48,4,2
808,425704.00000,4529898.00000,128.33,128.33,0.20052,0,0.00,0.00,7683,6308,1008,20.57,4,2
809,426255.00000,4529879.00000,129.38,129.38,0.20216,0,0.00,0.00,9491,5295,1339,15.27,4,2
810,425186.00000,4529118.00000,95.96,95.96,0.14994,0,0.00,0.00,10824,8592,1320,21.67,4,2
811,425702.00000,4529128.00000,98.37,98.37,0.15370,0,0.00,0.00,10559,8053,1302,20.91,4,2
812,426222.00000,4529118.00000,98.69,98.69,0.15421,0,0.00,0.00,13054,4346,1653,13.34,3,1
813,422770.00000,4529503.00000,350.60,298.01,0.54781,0,0.00,0.00,5941,2167,2544,4.10,2,1
814,423582.00000,4529231.00000,216.58,216.58,0.33841,0,0.00,0.00,6719,2373,2182,5.33,3,1
815,424419.00000,4529247.00000,188.55,188.55,0.29460,0,0.00,0.00,9737,5854,1646,13.28,3,1
816,421409.00000,4527939.00000,476.98,457.90,0.74528,0,0.00,0.00,1902,619,3941,0.81,1,1
817,422676.00000,4527947.00000,406.07,406.07,0.63449,0,0.00,0.00,2356,731,2436,1.59,2,1
818,423583.00000,4528084.00000,285.72,285.72,0.44643,0,0.00,0.00,7569,2175,2147,5.62,3,1
819,424356.00000,4528105.00000,246.55,246.55,0.38523,0,0.00,0.00,9689,4927,1685,11.80,3,1
820,421929.24840,4527079.08300,198.58,198.58,0.31029,0,0.00,0.00,3046,1010,2476,2.07,2,1
821,422786.00000,4526846.00000,217.34,217.34,0.33959,0,0.00,0.00,3889,1326,2166,3.06,2,1
822,423597.00000,4526841.00000,222.12,222.12,0.34707,0,0.00,0.00,5634,3494,1928,6.67,3,1
823,424250.00000,4526840.00000,128.38,128.38,0.20059,0,0.00,0.00,6884,7817,1396,16.52,4,2
824,424650.00000,4526851.00000,91.44,91.44,0.14288,0,0.00,0.00,6843,9406,1325,19.85,4,2
825,425116.00000,4528175.00000,236.02,236.02,0.36878,0,0.00,0.00,12070,6603,1498,17.18,4,2
826,425662.00000,4528107.00000,196.04,196.04,0.30631,0,0.00,0.00,12731,5764,1545,15.97,4,2
827,426200.00000,4528063.00000,196.39,196.39,0.30686,0,0.00,0.00,13004,8698,1558,19.90,4,2
828,426955.00000,4528017.00000,271.96,269.24,0.42494,0,0.00,0.00,12353,5943,1799,13.71,3,1
829,428293.00000,4527861.00000,602.26,439.65,0.94103,0,0.00,0.00,12832,4523,2252,9.85,3,1
830,425116.00000,4526851.00000,148.62,148.62,0.23221,0,0.00,0.00,7360,11685,1124,28.07,4,2
831,425606.00000,4526851.00000,107.45,107.45,0.16789,0,0.00,0.00,9876,12440,1252,28.46,4,2
832,426180.00000,4526851.00000,181.08,181.08,0.28294,0,0.00,0.00,10803,9131,1329,22.35,4,2
833,426875.00000,4526837.00000,175.12,175.12,0.27362,0,0.00,0.00,12263,6649,1735,15.00,4,2
834,427438.00000,4526807.00000,145.48,144.02,0.22731,0,0.00,0.00,12599,4194,2190,9.72,3,1
835,428286.00000,4526591.00000,382.65,371.17,0.59789,0,0.00,0.00,11085,2705,2246,7.43,3,1
836,425082.00000,4525797.00000,131.67,131.67,0.20573,0,0.00,0.00,8466,8561,968,27.06,4,2
837,425518.00000,4525828.00000,86.21,86.21,0.13470,0,0.00,0.00,8072,9555,923,30.19,4,2
838,426076.00000,4525910.00000,134.17,134.17,0.20964,0,0.00,0.00,9574,8596,1289,21.23,4,2
839,427007.00000,4525954.00000,157.76,156.18,0.24650,0,0.00,0.00,10922,4360,1769,11.28,3,1
840,425788.00000,4525158.00000,156.62,156.62,0.24472,0,0.00,0.00,9010,5251,1046,19.00,4,2
841,426633.00000,4525240.00000,165.46,160.50,0.25853,0,0.00,0.00,11758,3392,1498,12.53,3,1
842,428099.00000,4525514.00000,332.69,319.39,0.51983,0,0.00,0.00,11729,2851,2060,8.56,3,1
843,429202.00000,4524937.00000,344.44,244.55,0.53819,0,0.00,0.00,11711,743,2404,5.51,3,1
844,425165.29300,4524229.83800,148.25,148.25,0.23164,0,0.00,0.00,8679,5130,1100,17.54,4,2
845,425089.80670,4524934.45700,35.09,35.09,0.05483,0,0.00,0.00,7237,7234,1018,21.81,4,2
846,425655.00000,4524385.00000,145.16,145.16,0.22682,0,0.00,0.00,8254,4233,1094,15.55,4,2
847,426302.37530,4524265.41300,170.54,170.54,0.26647,0,0.00,0.00,12620,2456,1705,10.39,3,1
848,427431.73160,4524372.07400,361.89,361.89,0.56545,0,0.00,0.00,12042,1375,2225,6.69,3,1
849,427672.00000,4524999.00000,149.38,126.98,0.23341,0,0.00,0.00,12679,1546,2222,7.15,3,1
850,425470.00000,4523430.00000,152.20,152.20,0.23781,0,0.00,0.00,11476,2890,1421,12.29,3,1
851,426197.00000,4523437.00000,100.95,98.93,0.15774,0,0.00,0.00,12265,3124,1645,11.38,3,1
852,426949.00000,4523504.00000,327.03,310.68,0.51098,0,0.00,0.00,13015,1654,2240,7.34,3,1
853,428426.00000,4523313.00000,980.17,519.49,1.53152,0,0.00,0.00,11634,1143,2900,4.83,2,1
854,424304.00000,4523003.00000,86.36,86.36,0.13494,0,0.00,0.00,9367,3694,1185,14.36,3,1
855,424658.63960,4523586.98700,104.93,104.93,0.16395,0,0.00,0.00,8311,5421,1205,16.20,4,2
856,424975.00000,4522759.00000,160.69,160.69,0.25108,0,0.00,0.00,10988,2566,1428,11.41,3,1
857,425948.00000,4522436.00000,361.18,353.96,0.56435,0,0.00,0.00,11177,1757,1634,9.07,3,1
858,427315.00000,4521213.00000,1384.91,747.85,2.16392,0,0.00,0.00,11388,817,3086,4.24,2,1
859,419739.00000,4524693.00000,1029.65,1029.65,1.60883,0,0.00,0.00,9116,6917,3294,7.11,3,1
860,421331.00000,4525778.00000,158.01,158.01,0.24689,0,0.00,0.00,5545,2302,2949,3.50,2,1
861,421820.29070,4526556.08500,133.93,133.93,0.20927,0,0.00,0.00,2772,1135,2368,2.16,2,1
862,422438.00000,4525803.00000,395.92,395.92,0.61863,0,0.00,0.00,5067,2216,1948,4.95,2,1
863,423621.00000,4525745.00000,177.84,177.84,0.27788,0,0.00,0.00,6186,4704,1585,10.04,3,1
864,424238.00000,4525872.00000,152.75,152.75,0.23867,0,0.00,0.00,5542,6788,1145,17.12,4,2
865,424639.00000,4525762.00000,96.44,96.44,0.15069,0,0.00,0.00,6128,8712,915,26.40,4,2
866,421194.00000,4524545.00000,272.26,269.54,0.42540,0,0.00,0.00,12788,7643,3268,8.75,3,1
867,421870.00000,4524523.00000,170.33,170.33,0.26614,0,0.00,0.00,8624,5576,2062,9.78,3,1
868,422614.00000,4524585.00000,376.08,376.08,0.58762,0,0.00,0.00,6558,6689,2054,9.94,3,1
869,423362.04260,4524763.73100,120.43,120.43,0.18816,0,0.00,0.00,8605,4871,1863,10.03,3,1
870,423743.39470,4524485.88900,173.72,173.72,0.27144,0,0.00,0.00,8826,5746,1551,13.36,3,1
871,424155.00000,4524855.00000,117.66,117.66,0.18384,0,0.00,0.00,5974,6343,1061,18.00,4,2
872,424585.10510,4524578.76300,161.31,161.31,0.25205,0,0.00,0.00,7376,6915,1009,21.50,4,2
873,424925.00000,4525020.00000,26.23,26.23,0.04099,0,0.00,0.00,7237,7234,1018,21.81,4,2
874,421046.00000,4523604.00000,211.50,211.50,0.33047,0,0.00,0.00,8801,10324,3331,9.06,3,1
875,419671.00000,4523034.00000,670.18,663.48,1.04715,0,0.00,0.00,8797,8815,3344,8.09,3,1
876,421069.00000,4522559.00000,435.24,435.24,0.68006,0,0.00,0.00,7428,10144,2546,11.16,3,1
877,422042.00000,4523224.00000,222.18,222.18,0.34715,0,0.00,0.00,10573,12444,2098,17.32,4,2
878,422779.11870,4523330.93700,137.95,137.95,0.21554,0,0.00,0.00,5928,9866,1733,15.20,4,2
879,423465.55240,4523450.79000,191.41,187.58,0.29907,0,0.00,0.00,6732,5124,1166,14.87,3,1
880,423863.24820,4523369.07200,130.98,130.98,0.20466,0,0.00,0.00,8187,5077,1206,15.50,4,2
881,421940.00000,4522141.00000,190.95,190.95,0.29836,0,0.00,0.00,6926,11464,1870,16.40,4,2
882,422651.00000,4522219.00000,167.92,166.24,0.26238,0,0.00,0.00,4670,8885,1578,14.61,3,1
