;Min,All Trips,HBW,HBShp,HBOth,HBSchPr,HBSchSc,NHBW_Res,NHBNW_Res,NHBW_Vis,NHBNW_Vis,IX,XI
92,0.002414289,0.0047532,0.0001923,0.0005229,0,0,0.0009444,0.0008188,0,0.0026431,0.0338096,0.0312859
94,0.002118823,0.0040893,0.0001627,0.0004436,0,0,0.00075,0.000648,0,0.0023139,0.0308614,0.0284509
96,0.0018464,0.0034734,0.0001331,0.0003767,0,0,0.0005755,0.0004873,0,0.0020041,0.028149,0.0257555
98,0.001603532,0.0029268,0.0001084,0.0003222,0,0,0.0004141,0.0003467,0,0.0017137,0.0256536,0.0232903
100,0.001384363,0.0024329,0.0000887,0.0002751,0,0,0.0002691,0.0002262,0,0.0014426,0.0233578,0.0209977
102,0.001190778,0.0020038,0.000069,0.0002354,0,0,0.0001508,0.0001257,0,0.0011909,0.0212457,0.0188656
104,0.00102254,0.0016414,0.0000493,0.0002007,0,0,0.0000592,0.0000503,0,0.0009585,0.0193026,0.0168827
106,0.000878943,0.0013417,0.0000296,0.0001709,0,0,0,0,0,0.0007455,0.0175149,0.0150386
108,0.000762661,0.0010866,0.0000099,0.0001461,0,0,0,0,0,0.0005519,0.0158702,0.0133236
110,0.000663117,0.0008905,0,0.0001238,0,0,0,0,0,0.0003776,0.0143571,0.0117287
112,0.000580925,0.0007535,0,0.000104,0,0,0,0,0,0.0002324,0.0129651,0.0102932
114,0.000507758,0.00064,0,0.0000842,0,0,0,0,0,0.0001162,0.0116844,0.0090156
116,0.000445036,0.0005604,0,0.0000644,0,0,0,0,0,0.0000387,0.0105062,0.0078786
118,0.000391423,0.0004984,0,0.0000495,0,0,0,0,0,0,0.0094222,0.0068667
120,0.000344474,0.0004418,0,0.0000396,0,0,0,0,0,0,0.0084249,0.0059661
122,0.000301148,0.000388,0,0.0000297,0,0,0,0,0,0,0.0075074,0.0051645
124,0.000261973,0.0003418,0,0.0000198,0,0,0,0,0,0,0.0066633,0.0044511
126,0.000226486,0.0003021,0,0.0000099,0,0,0,0,0,0,0.0058868,0.0038162
128,0.000194664,0.0002702,0,0,0,0,0,0,0,0,0.0051724,0.0032511
130,0.000169121,0.0002403,0,0,0,0,0,0,0,0,0.0045151,0.0027482
132,0.000146007,0.0002135,0,0,0,0,0,0,0,0,0.0039104,0.0023006
134,0.000125369,0.0001911,0,0,0,0,0,0,0,0,0.0033541,0.0019022
136,0.000107025,0.000173,0,0,0,0,0,0,0,0,0.0028423,0.0015477
138,9.00849E-05,0.0001549,0,0,0,0,0,0,0,0,0.0023714,0.0012322
140,7.44155E-05,0.0001368,0,0,0,0,0,0,0,0,0.0019382,0.0009514
142,5.98979E-05,0.0001187,0,0,0,0,0,0,0,0,0.0015397,0.0007015
144,4.64215E-05,0.0001006,0,0,0,0,0,0,0,0,0.001173,0.0004791
146,3.38897E-05,0.0000825,0,0,0,0,0,0,0,0,0.0008357,0.0002811
148,2.24915E-05,0.000066,0,0,0,0,0,0,0,0,0.0005254,0.0001049
150,1.3354E-05,0.0000495,0,0,0,0,0,0,0,0,0.0002726,0
152,7.4215E-06,0.000033,0,0,0,0,0,0,0,0,0.0000975,0
154,2.85352E-06,0.0000165,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0
