;Min,All Trips,HBW,HBShp,HBOth,HBSchPr,HBSchSc,NHBW_Res,NHBNW_Res,NHBW_Vis,NHBNW_Vis,IX,XI
0,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1
4,0.925930063,0.9788728,0.9740484,0.878733,0.7616963,0.9132967,0.9740789,0.9368658,0.9745844,0.9666705,0.9999997,0.996647
6,0.781989503,0.9361385,0.8221369,0.6921997,0.3756149,0.6739009,0.8822846,0.7862194,0.8985745,0.8648963,0.989995,0.9881998
8,0.622838536,0.8737126,0.592376,0.5139795,0.1982015,0.4745579,0.7385973,0.5843006,0.7633361,0.7039707,0.9705121,0.9723613
10,0.494963877,0.7927548,0.4000413,0.385536,0.1243743,0.3244751,0.603651,0.4266328,0.630072,0.5454529,0.9420776,0.9480755
12,0.398612395,0.7077622,0.2660618,0.2959414,0.0846709,0.2139847,0.4936948,0.3129084,0.5185383,0.4481547,0.9062712,0.9153425
14,0.325391374,0.623964,0.1822077,0.2314782,0.0521638,0.145849,0.4012316,0.2328121,0.427137,0.3719782,0.864146,0.8731064
16,0.26857748,0.5451181,0.1279492,0.1838746,0.0268529,0.1090189,0.3262614,0.1755863,0.3522051,0.309049,0.8172817,0.8213672
18,0.224197253,0.4719227,0.0931017,0.1487455,0.0131989,0.0850793,0.2637863,0.1378124,0.2922585,0.2542641,0.7667314,0.7611807
20,0.187427246,0.4053646,0.0690555,0.119921,0.0064566,0.0685057,0.2138062,0.1104265,0.2449488,0.2076235,0.7140749,0.6911907
22,0.156708063,0.346067,0.0501658,0.0965702,0.0039585,0.055431,0.1748217,0.0900464,0.2072838,0.1675644,0.6603652,0.6151038
24,0.131151962,0.2951965,0.0362026,0.0775643,0.0025346,0.044759,0.1448336,0.0740356,0.1765764,0.1339904,0.6065757,0.5359111
26,0.110236659,0.2526151,0.0265424,0.0624926,0.0015916,0.0364896,0.121343,0.0613371,0.1518322,0.1062409,0.5539192,0.4588302
28,0.093233806,0.2172474,0.0201693,0.0507151,0.000947,0.0299942,0.1028258,0.0509576,0.1314608,0.0850239,0.5044221,0.3880847
30,0.079739129,0.1878414,0.0158512,0.0422018,0.0005223,0.0249301,0.0878823,0.0427333,0.1141858,0.0690496,0.4591375,0.3289541
32,0.068890693,0.1629531,0.0127317,0.0359275,0.0002442,0.0207867,0.0758619,0.0363717,0.0992306,0.0569478,0.4180654,0.2814385
34,0.059795017,0.1417951,0.0103287,0.0305721,0.0000701,0.0171958,0.065666,0.0312487,0.0865952,0.0472664,0.381943,0.2455378
36,0.052109764,0.1234638,0.0086422,0.0260101,0,0.0140192,0.0566696,0.0271302,0.0755886,0.0397149,0.3494329,0.2201961
38,0.045654246,0.1077624,0.0074584,0.0222415,0,0.0112569,0.0488727,0.0236485,0.0662108,0.0338961,0.3201738,0.2022457
40,0.040158681,0.0940885,0.0065243,0.0191633,0,0.008909,0.0421754,0.0206506,0.0581909,0.0293458,0.2938406,0.188519
42,0.03554352,0.082359,0.005712,0.0167755,0,0.0069754,0.0365776,0.0181365,0.0515288,0.0257637,0.2701407,0.1764685
44,0.031622934,0.0723461,0.0050214,0.0148447,0,0.0053641,0.0318295,0.0159542,0.0458034,0.0227625,0.2488108,0.1660942
46,0.028266816,0.0639008,0.0043999,0.0131732,0,0.004075,0.0279311,0.0141036,0.0407196,0.0203421,0.2296139,0.1564195
48,0.025371894,0.0568604,0.0038327,0.0116894,0,0.0030108,0.0246303,0.0124774,0.0362775,0.0182122,0.2123367,0.1474443
50,0.022837988,0.0508931,0.0033197,0.010332,0,0.0021715,0.0219272,0.0110025,0.0322302,0.0163727,0.1967872,0.1389971
52,0.020596996,0.0457875,0.0028738,0.009084,0,0.0015295,0.0195401,0.0096828,0.0285284,0.0147242,0.1827927,0.1310778
54,0.018594842,0.0411738,0.0024815,0.0080114,0,0.0010847,0.017469,0.0085188,0.0251721,0.0132666,0.1696378,0.1235809
56,0.016804466,0.037052,0.0021374,0.0070728,0,0.000733,0.0156197,0.0075171,0.0220626,0.0120053,0.1572722,0.1165063
58,0.015177095,0.0332358,0.0018414,0.0062485,0,0.0004745,0.0139704,0.0066496,0.0191999,0.0109403,0.1456486,0.1097485
60,0.013699004,0.0297471,0.0015849,0.0055112,0,0.0002762,0.012471,0.0059163,0.016584,0.0100206,0.1347224,0.1033075
62,0.012357559,0.0265859,0.0013679,0.0048403,0,0.0001381,0.0111215,0.0053044,0.0142149,0.0092461,0.1244517,0.0970777
64,0.011139955,0.0237235,0.0011805,0.0042364,0,0.000046,0.009874,0.0047921,0.0120432,0.0085684,0.1147973,0.0911646
66,0.010039501,0.0211599,0.0010227,0.0037067,0,0,0.00872,0.0043401,0.0100689,0.0079875,0.1057221,0.0854627
68,0.009044287,0.0188754,0.0008846,0.0032449,0,0,0.0076595,0.0039232,0.008292,0.007455,0.0971915,0.079972
70,0.008148716,0.0168987,0.0007662,0.0028292,0,0,0.0066862,0.0035415,0.0067126,0.0069709,0.0891727,0.0747065
72,0.007339188,0.0151879,0.0006675,0.0024424,0,0,0.0057847,0.0031893,0.0053306,0.006511,0.0817954,0.0696865
74,0.006607901,0.0136625,0.0005836,0.0021052,0,0,0.004955,0.0028667,0.004146,0.0060753,0.0750083,0.0648821
76,0.005950485,0.0122938,0.0005145,0.0018176,0,0,0.0042153,0.002573,0.0031095,0.0056517,0.0687642,0.0603153
78,0.005362089,0.0110794,0.0004582,0.0015697,0,0,0.0035656,0.0023105,0.0022211,0.0052402,0.0630196,0.0559861
80,0.004822684,0.0099611,0.0004092,0.0013515,0,0,0.0029908,0.0020594,0.0014807,0.0048408,0.0577346,0.0518681
82,0.004332013,0.008939,0.000365,0.0011631,0,0,0.002491,0.0018233,0.0008884,0.0044535,0.0528724,0.0479613
84,0.003880716,0.0079801,0.0003255,0.0009963,0,0,0.0020662,0.0016023,0.0004935,0.0040711,0.0483991,0.0442656
86,0.003467189,0.0070844,0.000286,0.0008526,0,0,0.0017163,0.0013914,0.0001974,0.0036935,0.0442837,0.0407811
88,0.003085816,0.0062487,0.0002515,0.0007262,0,0,0.0014164,0.0011905,0,0.0033304,0.0404975,0.037455
90,0.002736482,0.005473,0.0002219,0.0006171,0,0,0.0011665,0.0009996,0,0.0029819,0.0370142,0.0342873
