;VC,Ramp Penalty (min),Adj Factor
0,0.25,0.5
0.1,0.25,0.5
0.2,0.25,0.5
0.3,0.25,0.5
0.4,0.25,0.5
0.5,0.25,0.5
0.6,0.25,0.5
0.7,1,0.7
0.8,2,0.85
0.9,3,0.95
0.95,3.5,1
0.97,3.7,1
1,4,1.03
1.1,5,1.1
1.2,6,1.2
1.3,7,1.35
1.4,8,1.35
1.5,9,1.35
1.6,10,1.35
1.7,11,1.35
1.8,12,1.35
1.9,13,1.35
2,14,1.35
