;SIZEGRP,BE_PCT_HH1,BE_PCT_HH2,BE_PCT_HH3,BE_PCT_HH4,BE_PCT_HH5,BE_PCT_HH6,BE_SUM_PCT,IR_PCT_HH1,IR_PCT_HH2,IR_PCT_HH3,IR_PCT_HH4,IR_PCT_HH5,IR_PCT_HH6,IR_SUM_PCT,TO_PCT_HH1,TO_PCT_HH2,TO_PCT_HH3,TO_PCT_HH4,TO_PCT_HH5,TO_PCT_HH6,TO_SUM_PCT,SW_PCT_HH1,SW_PCT_HH2,SW_PCT_HH3,SW_PCT_HH4,SW_PCT_HH5,SW_PCT_HH6,SW_SUM_PCT,UD_PCT_HH1,UD_PCT_HH2,UD_PCT_HH3,UD_PCT_HH4,UD_PCT_HH5,UD_PCT_HH6,UD_SUM_PCT,WE_PCT_HH1,WE_PCT_HH2,WE_PCT_HH3,WE_PCT_HH4,WE_PCT_HH5,WE_PCT_HH6,WE_SUM_PCT,DA_PCT_HH1,DA_PCT_HH2,DA_PCT_HH3,DA_PCT_HH4,DA_PCT_HH5,DA_PCT_HH6,DA_SUM_PCT,SL_PCT_HH1,SL_PCT_HH2,SL_PCT_HH3,SL_PCT_HH4,SL_PCT_HH5,SL_PCT_HH6,SL_SUM_PCT,UT_PCT_HH1,UT_PCT_HH2,UT_PCT_HH3,UT_PCT_HH4,UT_PCT_HH5,UT_PCT_HH6,UT_SUM_PCT,CA_PCT_HH1,CA_PCT_HH2,CA_PCT_HH3,CA_PCT_HH4,CA_PCT_HH5,CA_PCT_HH6,CA_SUM_PCT,DX_PCT_HH1,DX_PCT_HH2,DX_PCT_HH3,DX_PCT_HH4,DX_PCT_HH5,DX_PCT_HH6,DX_SUM_PCT
1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1.2,0.8426,0.1421,0.0153,0,0,0,1,0.8598,0.1238,0.0164,0,0,0,1,0.7529,0.2047,0.0424,0,0,0,1,0.7007,0.2582,0.0411,0,0,0,1,0.7439,0.2194,0.0367,0,0,0,1,0.816,0.1582,0.0258,0,0,0,1,0.8571,0.127,0.0159,0,0,0,1,0.8271,0.1452,0.0277,0,0,0,1,0.8482,0.1318,0.02,0,0,0,1,0.8122,0.1631,0.0247,0,0,0,1,0.8122,0.1631,0.0247,0,0,0,1
1.4,0.665,0.2921,0.0348,0.0081,0,0,1,0.6937,0.2603,0.0383,0.0077,0,0,1,0.5249,0.3717,0.0854,0.018,0,0,1,0.4607,0.4423,0.0782,0.0188,0,0,1,0.5168,0.3965,0.0738,0.0129,0,0,1,0.6191,0.3122,0.0566,0.0121,0,0,1,0.6889,0.2658,0.0371,0.0082,0,0,1,0.6357,0.2904,0.0617,0.0122,0,0,1,0.6734,0.2727,0.0461,0.0078,0,0,1,0.615,0.3217,0.0538,0.0095,0,0,1,0.615,0.3217,0.0538,0.0095,0,0,1
1.6,0.5116,0.4059,0.0611,0.0214,0,0,1,0.5428,0.368,0.0685,0.0207,0,0,1,0.361,0.4617,0.1345,0.0428,0,0,1,0.3064,0.5317,0.1189,0.043,0,0,1,0.3575,0.4954,0.1165,0.0306,0,0,1,0.4571,0.4168,0.0957,0.0304,0,0,1,0.5374,0.3745,0.066,0.0221,0,0,1,0.4732,0.3906,0.1048,0.0314,0,0,1,0.5188,0.3793,0.0812,0.0207,0,0,1,0.4549,0.4299,0.0912,0.024,0,0,1,0.4549,0.4299,0.0912,0.024,0,0,1
1.8,0.3627,0.4954,0.0843,0.034,0.0236,0,1,0.3941,0.4592,0.0965,0.0336,0.0166,0,1,0.2315,0.5086,0.1674,0.0611,0.0314,0,1,0.1925,0.5741,0.1452,0.0603,0.0279,0,1,0.2321,0.5532,0.1472,0.0445,0.023,0,1,0.3122,0.4889,0.1271,0.0464,0.0254,0,1,0.3862,0.4629,0.0924,0.0353,0.0232,0,1,0.327,0.4638,0.1408,0.0483,0.0201,0,1,0.3709,0.4664,0.1131,0.0329,0.0167,0,1,0.3135,0.5099,0.1224,0.0372,0.017,0,1,0.3135,0.5099,0.1224,0.0372,0.017,0,1
2,0.2384,0.5161,0.1049,0.0542,0.0616,0.0248,1,0.2661,0.4926,0.1238,0.0553,0.0449,0.0173,1,0.1388,0.4847,0.1906,0.0896,0.0755,0.0208,1,0.1155,0.5466,0.1652,0.0879,0.0669,0.0179,1,0.1436,0.5444,0.1731,0.0673,0.057,0.0146,1,0.1979,0.4926,0.153,0.0719,0.0642,0.0204,1,0.2558,0.4865,0.1159,0.057,0.061,0.0238,1,0.2108,0.4748,0.1723,0.076,0.0516,0.0145,1,0.2479,0.495,0.1434,0.0539,0.0444,0.0154,1,0.2049,0.5288,0.1516,0.0592,0.0443,0.0112,1,0.2049,0.5288,0.1516,0.0592,0.0443,0.0112,1
2.2,0.1449,0.4883,0.1184,0.0806,0.1042,0.0636,1,0.1667,0.4806,0.1439,0.0847,0.0782,0.0459,1,0.0788,0.4279,0.2006,0.1239,0.1192,0.0496,1,0.0659,0.4864,0.1752,0.123,0.1062,0.0433,1,0.0847,0.4998,0.1893,0.0968,0.0932,0.0362,1,0.1173,0.4541,0.168,0.1039,0.1059,0.0508,1,0.1558,0.4625,0.1313,0.0852,0.1036,0.0616,1,0.127,0.4451,0.1924,0.1119,0.0865,0.0371,1,0.1544,0.4801,0.1657,0.082,0.077,0.0408,1,0.1258,0.5067,0.1732,0.0892,0.076,0.0291,1,0.1258,0.5067,0.1732,0.0892,0.076,0.0291,1
2.4,0.0867,0.4278,0.125,0.1115,0.1415,0.1075,1,0.1025,0.4325,0.156,0.1202,0.109,0.0798,1,0.045,0.3567,0.2014,0.1631,0.1539,0.0799,1,0.038,0.4105,0.1782,0.1638,0.1391,0.0704,1,0.0503,0.4335,0.1979,0.1326,0.1253,0.0604,1,0.069,0.3905,0.1742,0.141,0.1411,0.0842,1,0.0935,0.4053,0.1387,0.1177,0.1407,0.1041,1,0.0757,0.3883,0.2023,0.154,0.1172,0.0625,1,0.095,0.4316,0.1794,0.1162,0.1074,0.0704,1,0.0771,0.4541,0.187,0.126,0.1055,0.0503,1,0.0771,0.4541,0.187,0.126,0.1055,0.0503,1
2.6,0.0502,0.3363,0.1239,0.1388,0.1767,0.1741,1,0.0615,0.3509,0.1595,0.1544,0.1405,0.1332,1,0.0255,0.272,0.1935,0.197,0.1865,0.1255,1,0.0216,0.3186,0.1743,0.2015,0.1716,0.1124,1,0.0295,0.346,0.1989,0.1676,0.1588,0.0992,1,0.0396,0.3047,0.1712,0.1743,0.1749,0.1353,1,0.0541,0.3183,0.1373,0.1465,0.1757,0.1681,1,0.0442,0.3088,0.2027,0.1941,0.1481,0.1021,1,0.0571,0.3516,0.1841,0.15,0.1389,0.1183,1,0.0469,0.3731,0.1935,0.164,0.1376,0.0849,1,0.0469,0.3731,0.1935,0.164,0.1376,0.0849,1
2.8,0.0263,0.2231,0.1208,0.1576,0.2231,0.2491,1,0.0331,0.2415,0.1614,0.1821,0.1841,0.1978,1,0.013,0.1767,0.1848,0.2191,0.2306,0.1758,1,0.0115,0.2116,0.1701,0.229,0.2168,0.161,1,0.0159,0.2362,0.1996,0.1958,0.2064,0.1461,1,0.0208,0.2016,0.1667,0.1975,0.2203,0.1931,1,0.0282,0.2108,0.1336,0.166,0.2213,0.2401,1,0.0239,0.2091,0.2019,0.225,0.1909,0.1492,1,0.0308,0.2437,0.1875,0.178,0.1832,0.1768,1,0.0258,0.2626,0.2004,0.1976,0.1845,0.1291,1,0.0258,0.2626,0.2004,0.1976,0.1845,0.1291,1
