;Index,HHSize,IncGrp,UD_PCT_WKR0,UD_PCT_WKR1,UD_PCT_WKR2,UD_PCT_WKR3,UD_Sum,WE_PCT_WKR0,WE_PCT_WKR1,WE_PCT_WKR2,WE_PCT_WKR3,WE_Sum,DA_PCT_WKR0,DA_PCT_WKR1,DA_PCT_WKR2,DA_PCT_WKR3,DA_Sum,SL_PCT_WKR0,SL_PCT_WKR1,SL_PCT_WKR2,SL_PCT_WKR3,SL_Sum,UT_PCT_WKR0,UT_PCT_WKR1,UT_PCT_WKR2,UT_PCT_WKR3,UT_Sum,CA_PCT_WKR0,CA_PCT_WKR1,CA_PCT_WKR2,CA_PCT_WKR3,CA_Sum,DX_PCT_WKR0,DX_PCT_WKR1,DX_PCT_WKR2,DX_PCT_WKR3,DX_Sum,BE_PCT_WKR0,BE_PCT_WKR1,BE_PCT_WKR2,BE_PCT_WKR3,BE_Sum,TO_PCT_WKR0,TO_PCT_WKR1,TO_PCT_WKR2,TO_PCT_WKR3,TO_Sum,SU_PCT_WKR0,SU_PCT_WKR1,SU_PCT_WKR2,SU_PCT_WKR3,SU_Sum,WS_PCT_WKR0,WS_PCT_WKR1,WS_PCT_WKR2,WS_PCT_WKR3,WS_Sum
11,1,1,0.7223,0.2777,0,0,1,0.6799,0.3201,0,0,1,0.6274,0.3726,0,0,1,0.5809,0.4191,0,0,1,0.6539,0.3461,0,0,1,0.6495,0.3505,0,0,1,0.7992,0.2008,0,0,1,0.7515,0.2485,0,0,1,0.6991,0.3009,0,0,1,0.5465,0.4535,0,0,1,0.6635,0.3365,0,0,1
12,1,2,0.401,0.599,0,0,1,0.3533,0.6467,0,0,1,0.3023,0.6977,0,0,1,0.2628,0.7372,0,0,1,0.3272,0.6728,0,0,1,0.3229,0.6771,0,0,1,0.5061,0.4939,0,0,1,0.4375,0.5625,0,0,1,0.3741,0.6259,0,0,1,0.2367,0.7633,0,0,1,0.3367,0.6633,0,0,1
13,1,3,0.3431,0.6569,0,0,1,0.299,0.701,0,0,1,0.2526,0.7474,0,0,1,0.2177,0.7823,0,0,1,0.275,0.725,0,0,1,0.2712,0.7288,0,0,1,0.4443,0.5557,0,0,1,0.3777,0.6223,0,0,1,0.3181,0.6819,0,0,1,0.1949,0.8051,0,0,1,0.2837,0.7163,0,0,1
14,1,4,0.3273,0.6727,0,0,1,0.2843,0.7157,0,0,1,0.2396,0.7604,0,0,1,0.2059,0.7941,0,0,1,0.2611,0.7389,0,0,1,0.2574,0.7426,0,0,1,0.4268,0.5732,0,0,1,0.361,0.639,0,0,1,0.3029,0.6971,0,0,1,0.1839,0.8161,0,0,1,0.2695,0.7305,0,0,1
21,2,1,0.4428,0.3811,0.1761,0,1,0.3722,0.4002,0.2276,0,1,0.3689,0.4049,0.2262,0,1,0.3028,0.4178,0.2794,0,1,0.3245,0.4021,0.2734,0,1,0.3419,0.3777,0.2804,0,1,0.6031,0.2805,0.1164,0,1,0.444,0.3926,0.1634,0,1,0.389,0.427,0.184,0,1,0.4007,0.3677,0.2316,0,1,0.4353,0.3571,0.2076,0,1
22,2,2,0.3838,0.3114,0.3048,0,1,0.3092,0.3133,0.3775,0,1,0.3068,0.3174,0.3758,0,1,0.2415,0.3138,0.4447,0,1,0.2598,0.3033,0.4369,0,1,0.2718,0.2831,0.4451,0,1,0.5482,0.2403,0.2115,0,1,0.3895,0.3245,0.286,0,1,0.3357,0.3472,0.3171,0,1,0.331,0.2866,0.3824,0,1,0.3668,0.2837,0.3495,0,1
23,2,3,0.3368,0.3028,0.3604,0,1,0.2654,0.2979,0.4367,0,1,0.2634,0.3019,0.4347,0,1,0.2032,0.2926,0.5042,0,1,0.2192,0.2836,0.4972,0,1,0.2292,0.2647,0.5061,0,1,0.4985,0.2423,0.2592,0,1,0.3434,0.3169,0.3397,0,1,0.2925,0.3352,0.3723,0,1,0.2845,0.2728,0.4427,0,1,0.3184,0.2728,0.4088,0,1
24,2,4,0.2195,0.3206,0.4599,0,1,0.1654,0.3018,0.5328,0,1,0.164,0.3058,0.5302,0,1,0.1221,0.2854,0.5925,0,1,0.1326,0.2788,0.5886,0,1,0.139,0.2605,0.6005,0,1,0.3561,0.2813,0.3626,0,1,0.2253,0.3381,0.4366,0,1,0.1868,0.3479,0.4653,0,1,0.1785,0.278,0.5435,0,1,0.2038,0.2839,0.5123,0,1
31,3,1,0.352,0.4492,0.1511,0.0477,1,0.221,0.4736,0.2218,0.0836,1,0.2436,0.4756,0.1948,0.086,1,0.1952,0.4759,0.2352,0.0937,1,0.1862,0.5009,0.2203,0.0926,1,0.1345,0.4966,0.2358,0.1331,1,0.276,0.4827,0.1786,0.0627,1,0.2138,0.4411,0.2633,0.0818,1,0.2746,0.4872,0.2036,0.0346,1,0.223,0.5438,0.1635,0.0697,1,0.276,0.4245,0.2144,0.0851,1
32,3,2,0.1108,0.4641,0.3414,0.0837,1,0.0575,0.4056,0.4153,0.1216,1,0.0662,0.424,0.3797,0.1301,1,0.0492,0.3937,0.4256,0.1315,1,0.0473,0.4187,0.4027,0.1313,1,0.0321,0.3882,0.4032,0.1765,1,0.0791,0.4539,0.3671,0.0999,1,0.0533,0.3613,0.4716,0.1138,1,0.0779,0.4534,0.4141,0.0546,1,0.0625,0.5,0.3287,0.1088,1,0.0748,0.3784,0.418,0.1288,1
