;Index,HHSize,IncGrp,UD_PCT_WKR0,UD_PCT_WKR1,UD_PCT_WKR2,UD_PCT_WKR3,UD_Sum,WE_PCT_WKR0,WE_PCT_WKR1,WE_PCT_WKR2,WE_PCT_WKR3,WE_Sum,DA_PCT_WKR0,DA_PCT_WKR1,DA_PCT_WKR2,DA_PCT_WKR3,DA_Sum,SL_PCT_WKR0,SL_PCT_WKR1,SL_PCT_WKR2,SL_PCT_WKR3,SL_Sum,UT_PCT_WKR0,UT_PCT_WKR1,UT_PCT_WKR2,UT_PCT_WKR3,UT_Sum,CA_PCT_WKR0,CA_PCT_WKR1,CA_PCT_WKR2,CA_PCT_WKR3,CA_Sum,DX_PCT_WKR0,DX_PCT_WKR1,DX_PCT_WKR2,DX_PCT_WKR3,DX_Sum,BE_PCT_WKR0,BE_PCT_WKR1,BE_PCT_WKR2,BE_PCT_WKR3,BE_Sum,TO_PCT_WKR0,TO_PCT_WKR1,TO_PCT_WKR2,TO_PCT_WKR3,TO_Sum,SU_PCT_WKR0,SU_PCT_WKR1,SU_PCT_WKR2,SU_PCT_WKR3,SU_Sum,WS_PCT_WKR0,WS_PCT_WKR1,WS_PCT_WKR2,WS_PCT_WKR3,WS_Sum
33,3,3,0.0414,0.3634,0.448,0.1472,1,0.0197,0.2892,0.4964,0.1947,1,0.0228,0.3063,0.4598,0.2111,1,0.0164,0.2761,0.5004,0.2071,1,0.0162,0.2966,0.4783,0.2089,1,0.0104,0.263,0.4578,0.2688,1,0.0283,0.3409,0.4622,0.1686,1,0.0178,0.2522,0.5517,0.1783,1,0.0284,0.3469,0.531,0.0937,1,0.0224,0.3773,0.4158,0.1845,1,0.0253,0.2695,0.4991,0.2061,1
34,3,4,0.0217,0.2699,0.5186,0.1898,1,0.0097,0.2045,0.5469,0.2389,1,0.0114,0.2179,0.5099,0.2608,1,0.0082,0.1935,0.5465,0.2518,1,0.0079,0.2095,0.5264,0.2562,1,0.005,0.1813,0.492,0.3217,1,0.0145,0.2481,0.5244,0.213,1,0.0086,0.1758,0.5997,0.2159,1,0.0148,0.2556,0.6097,0.1199,1,0.0117,0.2771,0.476,0.2352,1,0.0126,0.1894,0.5467,0.2513,1
41,4,1,0.2198,0.4482,0.2111,0.1209,1,0.1375,0.4168,0.2525,0.1932,1,0.1087,0.505,0.2254,0.1609,1,0.1347,0.4152,0.2396,0.2105,1,0.1244,0.5091,0.1957,0.1708,1,0.1225,0.4849,0.2207,0.1719,1,0.2283,0.4645,0.1797,0.1275,1,0.1495,0.4951,0.2029,0.1525,1,0.1769,0.5071,0.2001,0.1159,1,0.134,0.5085,0.2342,0.1233,1,0.16,0.4768,0.2419,0.1213,1
42,4,2,0.0755,0.4197,0.3859,0.1189,1,0.0435,0.3584,0.4239,0.1742,1,0.0345,0.4377,0.3816,0.1462,1,0.0429,0.3599,0.4058,0.1914,1,0.041,0.4562,0.3423,0.1605,1,0.0394,0.4249,0.3778,0.1579,1,0.0811,0.4497,0.3398,0.1294,1,0.0496,0.4476,0.3582,0.1446,1,0.0599,0.4675,0.3604,0.1122,1,0.0429,0.4444,0.3997,0.113,1,0.0519,0.42,0.4161,0.112,1
43,4,3,0.0201,0.2893,0.5242,0.1664,1,0.0107,0.229,0.534,0.2263,1,0.0089,0.2918,0.5012,0.1981,1,0.0106,0.23,0.5108,0.2486,1,0.0109,0.3096,0.458,0.2215,1,0.0101,0.2822,0.4944,0.2133,1,0.0224,0.318,0.4737,0.1859,1,0.0131,0.3052,0.4812,0.2005,1,0.0163,0.3271,0.4971,0.1595,1,0.0113,0.3006,0.5328,0.1553,1,0.0134,0.2823,0.5512,0.1531,1
44,4,4,0.0098,0.1495,0.5949,0.2458,1,0.0048,0.1113,0.5696,0.3143,1,0.0043,0.1483,0.5595,0.2879,1,0.0049,0.1109,0.5414,0.3428,1,0.0051,0.1582,0.5134,0.3233,1,0.0048,0.1421,0.5463,0.3068,1,0.011,0.1664,0.5444,0.2782,1,0.0062,0.1568,0.5427,0.2943,1,0.0079,0.1731,0.5776,0.2414,1,0.0056,0.1562,0.6077,0.2305,1,0.0066,0.1453,0.623,0.2251,1
51,5,1,0.2391,0.5113,0.1963,0.0533,1,0.1585,0.503,0.2485,0.09,1,0.1212,0.591,0.2151,0.0727,1,0.1568,0.506,0.2381,0.0991,1,0.139,0.5967,0.187,0.0773,1,0.1378,0.5717,0.2122,0.0783,1,0.248,0.5291,0.1669,0.056,1,0.1653,0.5744,0.1919,0.0684,1,0.191,0.5737,0.1846,0.0507,1,0.1461,0.5812,0.2183,0.0544,1,0.175,0.5458,0.2257,0.0535,1
52,5,2,0.0568,0.4258,0.4667,0.0507,1,0.0333,0.3697,0.5214,0.0756,1,0.0264,0.4467,0.4642,0.0627,1,0.0334,0.3766,0.5059,0.0841,1,0.0317,0.4741,0.4241,0.0701,1,0.0302,0.4376,0.4638,0.0684,1,0.062,0.4639,0.418,0.0561,1,0.0377,0.4604,0.4393,0.0626,1,0.0449,0.4728,0.4346,0.0477,1,0.0319,0.4443,0.4763,0.0475,1,0.0384,0.4193,0.4952,0.0471,1
53,5,3,0.0114,0.3819,0.4783,0.1284,1,0.0062,0.3117,0.5023,0.1798,1,0.0051,0.385,0.4572,0.1527,1,0.0061,0.3139,0.4818,0.1982,1,0.0061,0.4074,0.4163,0.1702,1,0.0059,0.3749,0.4538,0.1654,1,0.0125,0.4166,0.4287,0.1422,1,0.0073,0.4013,0.4374,0.154,1,0.0089,0.4246,0.4456,0.1209,1,0.0063,0.3933,0.4818,0.1186,1,0.0076,0.3723,0.5023,0.1178,1
54,5,4,0.0057,0.3513,0.4304,0.2126,1,0.003,0.2758,0.4347,0.2865,1,0.0025,0.3469,0.4028,0.2478,1,0.003,0.2741,0.4115,0.3114,1,0.0029,0.3623,0.3623,0.2725,1,0.0027,0.3348,0.3965,0.266,1,0.006,0.3792,0.3817,0.2331,1,0.0034,0.3615,0.3854,0.2497,1,0.0044,0.3921,0.4025,0.201,1,0.0031,0.3636,0.4357,0.1976,1,0.0039,0.3447,0.4549,0.1965,1
61,6,1,0.2416,0.4295,0.1656,0.1633,1,0.15,0.3955,0.1962,0.2583,1,0.1199,0.4852,0.1772,0.2177,1,0.1457,0.3907,0.1845,0.2791,1,0.1356,0.4836,0.1522,0.2286,1,0.1341,0.4625,0.1724,0.231,1,0.2486,0.4412,0.1397,0.1705,1,0.1637,0.4726,0.1586,0.2051,1,0.1956,0.4889,0.1579,0.1576,1,0.1497,0.4949,0.1865,0.1689,1,0.1785,0.4632,0.1923,0.166,1
62,6,2,0.0327,0.4822,0.3052,0.1799,1,0.0182,0.4,0.3256,0.2562,1,0.0145,0.4831,0.2898,0.2126,1,0.0178,0.3967,0.3077,0.2778,1,0.0168,0.4966,0.2564,0.2302,1,0.0165,0.468,0.2862,0.2293,1,0.0347,0.5084,0.2643,0.1926,1,0.0206,0.4955,0.2729,0.211,1,0.0256,0.5277,0.2799,0.1668,1,0.0185,0.5024,0.3109,0.1682,1,0.0224,0.4809,0.3278,0.1689,1
63,6,3,0.0117,0.4403,0.342,0.206,1,0.0062,0.3546,0.3543,0.2849,1,0.0051,0.4347,0.3201,0.2401,1,0.0061,0.3511,0.3342,0.3086,1,0.0059,0.4486,0.2845,0.261,1,0.0057,0.4203,0.3156,0.2584,1,0.0124,0.4672,0.2982,0.2222,1,0.0073,0.4492,0.3036,0.2399,1,0.0092,0.484,0.315,0.1918,1,0.0066,0.4557,0.3462,0.1915,1,0.008,0.4356,0.3644,0.192,1
64,6,4,0.0058,0.4222,0.3133,0.2587,1,0.0031,0.3316,0.3165,0.3488,1,0.0024,0.4111,0.2892,0.2973,1,0.003,0.3258,0.2963,0.3749,1,0.0029,0.4213,0.2551,0.3207,1,0.0028,0.3954,0.2837,0.3181,1,0.0062,0.4452,0.2715,0.2771,1,0.0035,0.425,0.2744,0.2971,1,0.0046,0.4649,0.2892,0.2413,1,0.0033,0.438,0.3178,0.2409,1,0.0041,0.4191,0.335,0.2418,1
