;SIZEGRP,BE_PCT_HH1,BE_PCT_HH2,BE_PCT_HH3,BE_PCT_HH4,BE_PCT_HH5,BE_PCT_HH6,BE_SUM_PCT,IR_PCT_HH1,IR_PCT_HH2,IR_PCT_HH3,IR_PCT_HH4,IR_PCT_HH5,IR_PCT_HH6,IR_SUM_PCT,TO_PCT_HH1,TO_PCT_HH2,TO_PCT_HH3,TO_PCT_HH4,TO_PCT_HH5,TO_PCT_HH6,TO_SUM_PCT,SW_PCT_HH1,SW_PCT_HH2,SW_PCT_HH3,SW_PCT_HH4,SW_PCT_HH5,SW_PCT_HH6,SW_SUM_PCT,UD_PCT_HH1,UD_PCT_HH2,UD_PCT_HH3,UD_PCT_HH4,UD_PCT_HH5,UD_PCT_HH6,UD_SUM_PCT,WE_PCT_HH1,WE_PCT_HH2,WE_PCT_HH3,WE_PCT_HH4,WE_PCT_HH5,WE_PCT_HH6,WE_SUM_PCT,DA_PCT_HH1,DA_PCT_HH2,DA_PCT_HH3,DA_PCT_HH4,DA_PCT_HH5,DA_PCT_HH6,DA_SUM_PCT,SL_PCT_HH1,SL_PCT_HH2,SL_PCT_HH3,SL_PCT_HH4,SL_PCT_HH5,SL_PCT_HH6,SL_SUM_PCT,UT_PCT_HH1,UT_PCT_HH2,UT_PCT_HH3,UT_PCT_HH4,UT_PCT_HH5,UT_PCT_HH6,UT_SUM_PCT,CA_PCT_HH1,CA_PCT_HH2,CA_PCT_HH3,CA_PCT_HH4,CA_PCT_HH5,CA_PCT_HH6,CA_SUM_PCT,DX_PCT_HH1,DX_PCT_HH2,DX_PCT_HH3,DX_PCT_HH4,DX_PCT_HH5,DX_PCT_HH6,DX_SUM_PCT
4.8,0,0.042,0.0955,0.226,0.2401,0.3964,1,0,0.0482,0.1349,0.2754,0.2092,0.3323,1,0,0.0327,0.1432,0.3073,0.243,0.2738,1,0,0.0401,0.1358,0.3307,0.235,0.2584,1,0,0.0475,0.1685,0.2992,0.2368,0.248,1,0,0.0382,0.1322,0.2836,0.2377,0.3083,1,0,0.0396,0.1054,0.2369,0.2372,0.3809,1,0,0.0412,0.1655,0.3342,0.2128,0.2463,1,0,0.0498,0.1599,0.2748,0.2124,0.3031,1,0,0.0554,0.1771,0.3163,0.2217,0.2295,1,0,0.0554,0.1771,0.3163,0.2217,0.2295,1
5,0,0.0255,0.0686,0.2051,0.244,0.4568,1,0,0.0301,0.0997,0.2572,0.2189,0.3941,1,0,0.0206,0.1067,0.2893,0.256,0.3274,1,0,0.0252,0.1018,0.3132,0.2493,0.3105,1,0,0.0302,0.1277,0.2865,0.254,0.3016,1,0,0.0238,0.0976,0.2648,0.2484,0.3654,1,0,0.0241,0.076,0.2162,0.2423,0.4414,1,0,0.0262,0.1256,0.3202,0.2284,0.2996,1,0,0.0314,0.1197,0.2599,0.225,0.364,1,0,0.0358,0.1357,0.3063,0.2402,0.282,1,0,0.0358,0.1357,0.3063,0.2402,0.282,1
5.2,0,0.0145,0.0446,0.1804,0.2431,0.5174,1,0,0.0176,0.0666,0.2328,0.2243,0.4587,1,0,0.0122,0.0719,0.2647,0.2655,0.3857,1,0,0.0152,0.069,0.288,0.2598,0.368,1,0,0.0183,0.0876,0.2662,0.2673,0.3606,1,0,0.014,0.0653,0.2397,0.2549,0.4261,1,0,0.0138,0.0496,0.1912,0.2428,0.5026,1,0,0.0158,0.0861,0.298,0.2408,0.3593,1,0,0.0186,0.0809,0.238,0.2334,0.4291,1,0,0.0219,0.094,0.2876,0.2557,0.3408,1,0,0.0219,0.094,0.2876,0.2557,0.3408,1
5.4,0,0.0046,0.027,0.1566,0.2419,0.5699,1,0,0.0058,0.0415,0.2067,0.2285,0.5175,1,0,0.004,0.0453,0.2379,0.2734,0.4394,1,0,0.0051,0.0438,0.2603,0.2691,0.4217,1,0,0.0062,0.0559,0.2423,0.279,0.4166,1,0,0.0045,0.0407,0.2133,0.2601,0.4814,1,0,0.0044,0.0303,0.1667,0.2426,0.556,1,0,0.0054,0.055,0.272,0.2518,0.4158,1,0,0.0062,0.0509,0.2137,0.2403,0.4889,1,0,0.0075,0.0606,0.2646,0.2695,0.3978,1,0,0.0075,0.0606,0.2646,0.2695,0.3978,1
5.6,0,0,0.011,0.1334,0.2404,0.6152,1,0,0,0.0172,0.1802,0.2318,0.5708,1,0,0,0.019,0.2097,0.2808,0.4905,1,0,0,0.0185,0.2307,0.2777,0.4731,1,0,0,0.0238,0.2162,0.2898,0.4702,1,0,0,0.0168,0.1864,0.2646,0.5322,1,0,0,0.0123,0.1427,0.2421,0.6029,1,0,0,0.0234,0.2433,0.2624,0.4709,1,0,0,0.0213,0.188,0.2462,0.5445,1,0,0,0.0259,0.238,0.2825,0.4536,1,0,0,0.0259,0.238,0.2825,0.4536,1
5.8,0,0,0.0026,0.1087,0.2274,0.6613,1,0,0,0.004,0.149,0.2229,0.6241,1,0,0,0.0046,0.1762,0.2743,0.5449,1,0,0,0.0045,0.1949,0.2727,0.5279,1,0,0,0.0057,0.1829,0.2852,0.5262,1,0,0,0.0041,0.155,0.2559,0.585,1,0,0,0.0029,0.1166,0.2298,0.6507,1,0,0,0.0058,0.2066,0.2592,0.5284,1,0,0,0.005,0.1566,0.2385,0.5999,1,0,0,0.0063,0.2029,0.28,0.5108,1,0,0,0.0063,0.2029,0.28,0.5108,1
6,0,0,0,0.0848,0.2106,0.7046,1,0,0,0,0.1178,0.2092,0.673,1,0,0,0,0.1415,0.2614,0.5971,1,0,0,0,0.1572,0.2612,0.5816,1,0,0,0,0.1477,0.2732,0.5791,1,0,0,0,0.1233,0.2417,0.635,1,0,0,0,0.0913,0.2136,0.6951,1,0,0,0,0.1672,0.249,0.5838,1,0,0,0,0.1246,0.2251,0.6503,1,0,0,0,0.1647,0.2696,0.5657,1,0,0,0,0.1647,0.2696,0.5657,1
6.2,0,0,0,0.0632,0.1897,0.7471,1,0,0,0,0.0887,0.1903,0.721,1,0,0,0,0.1082,0.2417,0.6501,1,0,0,0,0.121,0.2426,0.6364,1,0,0,0,0.1135,0.2535,0.633,1,0,0,0,0.0936,0.2213,0.6851,1,0,0,0,0.0682,0.1928,0.739,1,0,0,0,0.1288,0.2317,0.6395,1,0,0,0,0.0942,0.2057,0.7001,1,0,0,0,0.1273,0.2516,0.6211,1,0,0,0,0.1273,0.2516,0.6211,1
6.4,0,0,0,0.043,0.1649,0.7921,1,0,0,0,0.0609,0.167,0.7721,1,0,0,0,0.0758,0.2161,0.7081,1,0,0,0,0.0851,0.2181,0.6968,1,0,0,0,0.0796,0.2275,0.6929,1,0,0,0,0.0649,0.1958,0.7393,1,0,0,0,0.0465,0.1681,0.7854,1,0,0,0,0.0907,0.2083,0.701,1,0,0,0,0.0651,0.1815,0.7534,1,0,0,0,0.0898,0.227,0.6832,1,0,0,0,0.0898,0.227,0.6832,1
6.6,0,0,0,0.0265,0.1364,0.8371,1,0,0,0,0.0379,0.1393,0.8228,1,0,0,0,0.0479,0.1834,0.7687,1,0,0,0,0.054,0.186,0.76,1,0,0,0,0.0506,0.1941,0.7553,1,0,0,0,0.0405,0.1648,0.7947,1,0,0,0,0.0287,0.1393,0.832,1,0,0,0,0.0577,0.1777,0.7646,1,0,0,0,0.0406,0.1521,0.8073,1,0,0,0,0.0572,0.1944,0.7484,1,0,0,0,0.0572,0.1944,0.7484,1
6.8,0,0,0,0.0105,0.1116,0.8779,1,0,0,0,0.015,0.115,0.87,1,0,0,0,0.0195,0.154,0.8265,1,0,0,0,0.022,0.1569,0.8211,1,0,0,0,0.0206,0.1636,0.8158,1,0,0,0,0.0164,0.1371,0.8465,1,0,0,0,0.0114,0.1143,0.8743,1,0,0,0,0.0235,0.1499,0.8266,1,0,0,0,0.0162,0.1262,0.8576,1,0,0,0,0.0235,0.1646,0.8119,1,0,0,0,0.0235,0.1646,0.8119,1
7,0,0,0,0,0.0812,0.9188,1,0,0,0,0,0.0842,0.9158,1,0,0,0,0,0.1145,0.8855,1,0,0,0,0,0.1172,0.8828,1,0,0,0,0,0.1223,0.8777,1,0,0,0,0,0.1011,0.8989,1,0,0,0,0,0.0832,0.9168,1,0,0,0,0,0.112,0.888,1,0,0,0,0,0.0928,0.9072,1,0,0,0,0,0.1235,0.8765,1,0,0,0,0,0.1235,0.8765,1
7.2,0,0,0,0,0.0562,0.9438,1,0,0,0,0,0.0583,0.9417,1,0,0,0,0,0.0803,0.9197,1,0,0,0,0,0.0822,0.9178,1,0,0,0,0,0.086,0.914,1,0,0,0,0,0.0705,0.9295,1,0,0,0,0,0.0578,0.9422,1,0,0,0,0,0.0784,0.9216,1,0,0,0,0,0.0646,0.9354,1,0,0,0,0,0.0868,0.9132,1,0,0,0,0,0.0868,0.9132,1
7.4,0,0,0,0,0.0372,0.9628,1,0,0,0,0,0.0387,0.9613,1,0,0,0,0,0.0536,0.9464,1,0,0,0,0,0.0549,0.9451,1,0,0,0,0,0.0575,0.9425,1,0,0,0,0,0.047,0.953,1,0,0,0,0,0.0383,0.9617,1,0,0,0,0,0.0523,0.9477,1,0,0,0,0,0.0428,0.9572,1,0,0,0,0,0.0582,0.9418,1,0,0,0,0,0.0582,0.9418,1
7.6,0,0,0,0,0.0187,0.9813,1,0,0,0,0,0.0194,0.9806,1,0,0,0,0,0.0272,0.9728,1,0,0,0,0,0.0278,0.9722,1,0,0,0,0,0.0292,0.9708,1,0,0,0,0,0.0238,0.9762,1,0,0,0,0,0.0192,0.9808,1,0,0,0,0,0.0265,0.9735,1,0,0,0,0,0.0216,0.9784,1,0,0,0,0,0.0296,0.9704,1,0,0,0,0,0.0296,0.9704,1
7.8,0,0,0,0,0.0094,0.9906,1,0,0,0,0,0.0097,0.9903,1,0,0,0,0,0.0136,0.9864,1,0,0,0,0,0.014,0.986,1,0,0,0,0,0.0147,0.9853,1,0,0,0,0,0.0119,0.9881,1,0,0,0,0,0.0096,0.9904,1,0,0,0,0,0.0134,0.9866,1,0,0,0,0,0.0107,0.9893,1,0,0,0,0,0.0148,0.9852,1,0,0,0,0,0.0148,0.9852,1
8,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
