;SIZEGRP,BE_PCT_HH1,BE_PCT_HH2,BE_PCT_HH3,BE_PCT_HH4,BE_PCT_HH5,BE_PCT_HH6,BE_SUM_PCT,IR_PCT_HH1,IR_PCT_HH2,IR_PCT_HH3,IR_PCT_HH4,IR_PCT_HH5,IR_PCT_HH6,IR_SUM_PCT,TO_PCT_HH1,TO_PCT_HH2,TO_PCT_HH3,TO_PCT_HH4,TO_PCT_HH5,TO_PCT_HH6,TO_SUM_PCT,SW_PCT_HH1,SW_PCT_HH2,SW_PCT_HH3,SW_PCT_HH4,SW_PCT_HH5,SW_PCT_HH6,SW_SUM_PCT,UD_PCT_HH1,UD_PCT_HH2,UD_PCT_HH3,UD_PCT_HH4,UD_PCT_HH5,UD_PCT_HH6,UD_SUM_PCT,WE_PCT_HH1,WE_PCT_HH2,WE_PCT_HH3,WE_PCT_HH4,WE_PCT_HH5,WE_PCT_HH6,WE_SUM_PCT,DA_PCT_HH1,DA_PCT_HH2,DA_PCT_HH3,DA_PCT_HH4,DA_PCT_HH5,DA_PCT_HH6,DA_SUM_PCT,SL_PCT_HH1,SL_PCT_HH2,SL_PCT_HH3,SL_PCT_HH4,SL_PCT_HH5,SL_PCT_HH6,SL_SUM_PCT,UT_PCT_HH1,UT_PCT_HH2,UT_PCT_HH3,UT_PCT_HH4,UT_PCT_HH5,UT_PCT_HH6,UT_SUM_PCT,CA_PCT_HH1,CA_PCT_HH2,CA_PCT_HH3,CA_PCT_HH4,CA_PCT_HH5,CA_PCT_HH6,CA_SUM_PCT,DX_PCT_HH1,DX_PCT_HH2,DX_PCT_HH3,DX_PCT_HH4,DX_PCT_HH5,DX_PCT_HH6,DX_SUM_PCT
1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1.2,0.8122,0.1878,0,0,0,0,1,0.835,0.165,0,0,0,0,1,0.7285,0.2715,0,0,0,0,1,0.6643,0.3357,0,0,0,0,1,0.7122,0.2878,0,0,0,0,1,0.7902,0.2098,0,0,0,0,1,0.8312,0.1688,0,0,0,0,1,0.806,0.194,0,0,0,0,1,0.8243,0.1757,0,0,0,0,1,0.784,0.216,0,0,0,0,1,0.784,0.216,0,0,0,0,1
1.4,0.6222,0.355,0.0228,0,0,0,1,0.6554,0.3194,0.0252,0,0,0,1,0.4918,0.4524,0.0558,0,0,0,1,0.4228,0.5271,0.0501,0,0,0,1,0.477,0.4756,0.0474,0,0,0,1,0.5817,0.3812,0.0371,0,0,0,1,0.6501,0.3256,0.0243,0,0,0,1,0.6019,0.3574,0.0407,0,0,0,1,0.6354,0.3342,0.0304,0,0,0,1,0.5744,0.3905,0.0351,0,0,0,1,0.5744,0.3905,0.0351,0,0,0,1
1.6,0.4963,0.4455,0.0499,0.0083,0,0,1,0.5298,0.4062,0.056,0.008,0,0,1,0.3564,0.5156,0.1113,0.0167,0,0,1,0.2993,0.5866,0.0975,0.0166,0,0,1,0.3478,0.5452,0.0953,0.0117,0,0,1,0.4479,0.4615,0.0788,0.0118,0,0,1,0.5242,0.4131,0.0541,0.0086,0,0,1,0.4657,0.4351,0.0869,0.0123,0,0,1,0.5065,0.4188,0.0667,0.008,0,0,1,0.4428,0.4733,0.0746,0.0093,0,0,1,0.4428,0.4733,0.0746,0.0093,0,0,1
1.8,0.3735,0.4796,0.0695,0.0312,0.0301,0.0161,1,0.4083,0.448,0.0802,0.0311,0.0214,0.011,1,0.2428,0.5027,0.1408,0.0574,0.0412,0.0151,1,0.2028,0.5687,0.1223,0.0566,0.0366,0.013,1,0.2447,0.5489,0.1242,0.042,0.03,0.0102,1,0.3247,0.4792,0.1061,0.0433,0.0329,0.0138,1,0.3977,0.4486,0.076,0.0325,0.0297,0.0155,1,0.3428,0.4577,0.1183,0.0453,0.0261,0.0098,1,0.3862,0.4572,0.0943,0.0308,0.0216,0.0099,1,0.3293,0.5035,0.1027,0.0349,0.0221,0.0075,1,0.3293,0.5035,0.1027,0.0349,0.0221,0.0075,1
2,0.2903,0.4814,0.0798,0.049,0.0595,0.04,1,0.3247,0.46,0.0942,0.0499,0.0433,0.0279,1,0.1773,0.4744,0.1519,0.0848,0.0765,0.0351,1,0.1484,0.5373,0.1322,0.0838,0.068,0.0303,1,0.1841,0.5327,0.1377,0.0636,0.0575,0.0244,1,0.2472,0.4706,0.119,0.0663,0.0635,0.0334,1,0.3109,0.4528,0.0878,0.0514,0.0587,0.0384,1,0.2643,0.4554,0.1345,0.0706,0.0512,0.024,1,0.3058,0.4668,0.11,0.0491,0.0432,0.0251,1,0.2569,0.5073,0.1184,0.055,0.044,0.0184,1,0.2569,0.5073,0.1184,0.055,0.044,0.0184,1
2.2,0.2294,0.4476,0.0838,0.0664,0.0971,0.0757,1,0.2631,0.4389,0.1014,0.0694,0.0727,0.0545,1,0.1339,0.4212,0.1524,0.1097,0.1193,0.0635,1,0.1129,0.4814,0.1339,0.1094,0.1069,0.0555,1,0.1433,0.4893,0.1432,0.0853,0.093,0.0459,1,0.1923,0.4311,0.1232,0.0886,0.1022,0.0626,1,0.2461,0.4221,0.0927,0.0698,0.0962,0.0731,1,0.2086,0.4241,0.1416,0.0958,0.084,0.0459,1,0.2471,0.4446,0.1184,0.0683,0.0726,0.049,1,0.2068,0.4811,0.127,0.076,0.0733,0.0358,1,0.2068,0.4811,0.127,0.076,0.0733,0.0358,1
2.4,0.1824,0.4124,0.0848,0.0861,0.1171,0.1172,1,0.2138,0.4135,0.105,0.0921,0.0895,0.0861,1,0.1029,0.3757,0.1493,0.1376,0.1393,0.0952,1,0.0874,0.4325,0.1321,0.1383,0.1259,0.0838,1,0.1135,0.4494,0.1444,0.1101,0.1117,0.0709,1,0.1513,0.3934,0.1235,0.1137,0.1221,0.096,1,0.1961,0.3898,0.0939,0.0908,0.1164,0.113,1,0.1663,0.3921,0.1439,0.1247,0.1017,0.0713,1,0.2008,0.4192,0.1226,0.0904,0.0895,0.0775,1,0.1678,0.453,0.1314,0.1007,0.0904,0.0567,1,0.1678,0.453,0.1314,0.1007,0.0904,0.0567,1
2.6,0.1444,0.3659,0.0825,0.1048,0.1409,0.1615,1,0.1731,0.3757,0.1047,0.1147,0.1102,0.1216,1,0.0793,0.3248,0.1416,0.1633,0.1632,0.1278,1,0.068,0.3775,0.1265,0.1657,0.1487,0.1136,1,0.0905,0.4009,0.1412,0.1347,0.1348,0.0979,1,0.1191,0.3468,0.1193,0.1376,0.1459,0.1313,1,0.1553,0.3465,0.0915,0.1106,0.1401,0.156,1,0.1329,0.3508,0.141,0.1531,0.1232,0.099,1,0.1631,0.3816,0.1224,0.113,0.1104,0.1095,1,0.1369,0.4136,0.1315,0.1261,0.1117,0.0802,1,0.1369,0.4136,0.1315,0.1261,0.1117,0.0802,1
2.8,0.1115,0.3171,0.0764,0.124,0.1643,0.2067,1,0.1372,0.3334,0.0991,0.139,0.1317,0.1596,1,0.0602,0.2757,0.1282,0.1891,0.1866,0.1602,1,0.0523,0.3232,0.1155,0.1935,0.1717,0.1438,1,0.0705,0.3508,0.1319,0.1609,0.1591,0.1268,1,0.0918,0.2992,0.1099,0.1621,0.1695,0.1675,1,0.1203,0.3004,0.0847,0.1309,0.1636,0.2001,1,0.1041,0.3074,0.1318,0.1831,0.1454,0.1282,1,0.1299,0.3398,0.1163,0.1374,0.1326,0.144,1,0.1092,0.3702,0.1256,0.1541,0.1347,0.1062,1,0.1092,0.3702,0.1256,0.1541,0.1347,0.1062,1
3,0.0786,0.265,0.0738,0.144,0.186,0.2526,1,0.0993,0.2853,0.098,0.1653,0.1527,0.1994,1,0.0413,0.2253,0.1211,0.2146,0.2063,0.1914,1,0.0364,0.2667,0.1102,0.2218,0.1917,0.1732,1,0.0502,0.2956,0.1284,0.1883,0.1814,0.1561,1,0.0645,0.2487,0.1055,0.1872,0.1907,0.2034,1,0.0849,0.2513,0.0819,0.1522,0.1852,0.2445,1,0.074,0.2591,0.1285,0.2144,0.166,0.158,1,0.094,0.2919,0.1155,0.1638,0.154,0.1808,1,0.0795,0.3194,0.1251,0.1847,0.1573,0.134,1,0.0795,0.3194,0.1251,0.1847,0.1573,0.134,1
3.2,0.0507,0.2144,0.0654,0.157,0.2038,0.3087,1,0.0656,0.2372,0.0893,0.1853,0.1719,0.2507,1,0.0265,0.1803,0.1063,0.2318,0.2237,0.2314,1,0.0233,0.2156,0.0977,0.2417,0.2099,0.2118,1,0.033,0.2439,0.1163,0.2096,0.2027,0.1945,1,0.0415,0.2016,0.0937,0.2046,0.2094,0.2492,1,0.0548,0.2036,0.0728,0.1662,0.2032,0.2994,1,0.0485,0.2139,0.1164,0.2386,0.1855,0.1971,1,0.0626,0.244,0.1058,0.1846,0.1744,0.2286,1,0.0537,0.2696,0.1159,0.2103,0.1798,0.1707,1,0.0537,0.2696,0.1159,0.2103,0.1798,0.1707,1
3.4,0.027,0.1649,0.0585,0.1681,0.2175,0.364,1,0.0358,0.1875,0.0819,0.2035,0.1883,0.303,1,0.014,0.1377,0.0943,0.2463,0.237,0.2707,1,0.0124,0.1662,0.0876,0.2595,0.2245,0.2498,1,0.0179,0.1917,0.1061,0.2293,0.2207,0.2343,1,0.0221,0.1556,0.0841,0.2196,0.2241,0.2945,1,0.0292,0.157,0.0652,0.1781,0.2172,0.3533,1,0.0263,0.1679,0.1061,0.2605,0.202,0.2372,1,0.0343,0.1937,0.0977,0.2041,0.1921,0.2781,1,0.0296,0.2167,0.1082,0.2349,0.2004,0.2102,1,0.0296,0.2167,0.1082,0.2349,0.2004,0.2102,1
3.6,0.0064,0.1089,0.0521,0.1766,0.2346,0.4214,1,0.0088,0.1271,0.0752,0.2199,0.2087,0.3603,1,0.0033,0.0903,0.0836,0.2572,0.254,0.3116,1,0.003,0.1103,0.0784,0.2739,0.2433,0.2911,1,0.0045,0.1297,0.0968,0.2469,0.2442,0.2779,1,0.0054,0.103,0.0751,0.2317,0.2426,0.3422,1,0.0069,0.1037,0.0581,0.1873,0.2344,0.4096,1,0.0065,0.1135,0.0968,0.2799,0.2229,0.2804,1,0.0085,0.1322,0.0901,0.2219,0.2145,0.3328,1,0.0075,0.1501,0.1012,0.2592,0.2268,0.2552,1,0.0075,0.1501,0.1012,0.2592,0.2268,0.2552,1
3.8,0,0.0591,0.0414,0.1763,0.2371,0.4861,1,0,0.0706,0.0613,0.2251,0.2164,0.4266,1,0,0.0495,0.0672,0.2597,0.2599,0.3637,1,0,0.0612,0.0638,0.2799,0.2517,0.3434,1,0,0.0732,0.0802,0.2561,0.2567,0.3338,1,0,0.0565,0.0605,0.2343,0.2485,0.4002,1,0,0.0561,0.0462,0.1871,0.2372,0.4734,1,0,0.0636,0.0796,0.289,0.2331,0.3347,1,0,0.0742,0.0741,0.2294,0.2245,0.3978,1,0,0.0861,0.0851,0.2739,0.2428,0.3121,1,0,0.0861,0.0851,0.2739,0.2428,0.3121,1
4,0,0.0197,0.0328,0.1653,0.2389,0.5433,1,0,0.0242,0.0497,0.2158,0.2229,0.4874,1,0,0.017,0.0544,0.2481,0.2667,0.4138,1,0,0.021,0.0521,0.2702,0.2614,0.3953,1,0,0.0255,0.0662,0.2503,0.2695,0.3885,1,0,0.0193,0.0488,0.2232,0.2543,0.4544,1,0,0.0188,0.0367,0.1757,0.2393,0.5295,1,0,0.0221,0.0654,0.2811,0.2436,0.3878,1,0,0.0255,0.0607,0.2219,0.2333,0.4586,1,0,0.0304,0.0714,0.2712,0.2584,0.3686,1,0,0.0304,0.0714,0.2712,0.2584,0.3686,1
4.2,0,0,0.0186,0.1419,0.239,0.6005,1,0,0,0.0287,0.1901,0.2286,0.5526,1,0,0,0.0316,0.2201,0.2756,0.4727,1,0,0,0.0307,0.2418,0.2722,0.4553,1,0,0,0.0393,0.2259,0.2833,0.4515,1,0,0,0.0281,0.1964,0.2607,0.5148,1,0,0,0.0208,0.1516,0.2402,0.5874,1,0,0,0.0388,0.254,0.2562,0.451,1,0,0,0.0355,0.1974,0.2417,0.5254,1,0,0,0.0428,0.2481,0.2753,0.4338,1,0,0,0.0428,0.2481,0.2753,0.4338,1
4.4,0,0,0.0064,0.111,0.2262,0.6564,1,0,0,0.0102,0.1517,0.2209,0.6172,1,0,0,0.0115,0.1791,0.2714,0.538,1,0,0,0.0112,0.1978,0.2697,0.5213,1,0,0,0.0144,0.1855,0.2816,0.5185,1,0,0,0.01,0.1577,0.2536,0.5787,1,0,0,0.0073,0.119,0.2285,0.6452,1,0,0,0.0141,0.2094,0.2558,0.5207,1,0,0,0.0127,0.1591,0.2359,0.5923,1,0,0,0.0158,0.2053,0.2761,0.5028,1,0,0,0.0158,0.2053,0.2761,0.5028,1
4.6,0,0,0,0.0798,0.2103,0.7099,1,0,0,0,0.1112,0.2093,0.6795,1,0,0,0,0.1337,0.2622,0.6041,1,0,0,0,0.1489,0.2624,0.5887,1,0,0,0,0.1397,0.2742,0.5861,1,0,0,0,0.1166,0.2421,0.6413,1,0,0,0,0.086,0.2135,0.7005,1,0,0,0,0.1584,0.2502,0.5914,1,0,0,0,0.1177,0.2255,0.6568,1,0,0,0,0.156,0.2709,0.5731,1,0,0,0,0.156,0.2709,0.5731,1
4.8,0,0,0,0.0426,0.1867,0.7707,1,0,0,0,0.0603,0.1891,0.7506,1,0,0,0,0.0744,0.2425,0.6831,1,0,0,0,0.0836,0.2447,0.6717,1,0,0,0,0.0781,0.2549,0.667,1,0,0,0,0.064,0.2207,0.7153,1,0,0,0,0.046,0.1902,0.7638,1,0,0,0,0.0892,0.2342,0.6766,1,0,0,0,0.0644,0.2049,0.7307,1,0,0,0,0.088,0.2542,0.6578,1,0,0,0,0.088,0.2542,0.6578,1
5,0,0,0,0,0.1621,0.8379,1,0,0,0,0,0.1673,0.8327,1,0,0,0,0,0.2207,0.7793,1,0,0,0,0,0.2252,0.7748,1,0,0,0,0,0.2338,0.7662,1,0,0,0,0,0.1975,0.8025,1,0,0,0,0,0.1658,0.8342,1,0,0,0,0,0.2163,0.7837,1,0,0,0,0,0.1828,0.8172,1,0,0,0,0,0.2356,0.7644,1,0,0,0,0,0.2356,0.7644,1
